"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Travis Kelce","TE","KC","2020",14,14,"ppr","1","8","10","136","17.0","32","4","1","0","0","0","0","1","27.6","27.6","100.0%"
"2","Mike Gesicki","TE","MIA","2020",14,14,"ppr","2","5","6","65","13.0","29","1","2","0","0","0","0","1","23.5","23.5","37.4%"
"3","T.J. Hockenson","TE","MIN","2020",14,14,"ppr","3","6","11","43","7.2","16","0","1","0","0","0","0","1","16.3","16.3","98.5%"
"4","Irv Smith Jr.","TE","MIN","2020",14,14,"ppr","4","4","4","63","15.8","25","1","1","0","0","0","0","1","16.3","16.3","13.5%"
"5","Robert Tonyan","TE","GB","2020",14,14,"ppr","5","5","5","36","7.2","11","0","1","0","0","0","0","1","14.6","14.6","25.9%"
"6","Darren Waller","TE","LV","2020",14,14,"ppr","6","7","10","75","10.7","29","1","0","0","0","0","0","1","14.5","14.5","74.7%"
"7","Mark Andrews","TE","BAL","2020",14,14,"ppr","7","5","6","78","15.6","39","2","0","0","0","0","0","1","12.8","12.8","99.9%"
"8","Jared Cook","TE","FA","2020",14,14,"ppr","8","3","4","37","12.3","20","1","1","0","0","0","0","1","12.7","12.7","0.0%"
"9","Geoff Swaim","TE","TEN","2020",14,14,"ppr","9","3","3","34","11.3","16","0","1","0","0","0","0","1","12.4","12.4","0.0%"
"10","Jimmy Graham","TE","FA","2020",14,14,"ppr","10","4","4","23","5.8","12","0","1","0","0","0","0","1","12.3","12.3","0.0%"
"11","Nick Vannett","TE","NYG","2020",14,14,"ppr","11","4","4","20","5.0","8","0","1","0","0","0","0","1","12.0","12.0","0.0%"
"12","Foster Moreau","TE","LV","2020",14,14,"ppr","12","1","2","47","47.0","47","3","1","0","0","0","0","1","11.7","11.7","29.1%"
"13","Dan Arnold","TE","JAC","2020",14,14,"ppr","13","2","4","27","13.5","20","1","1","0","0","0","0","1","10.7","10.7","0.1%"
"14","Will Dissly","TE","SEA","2020",14,14,"ppr","14","2","2","23","11.5","13","0","1","0","0","0","0","1","10.3","10.3","3.3%"
"15","Logan Thomas","TE","WAS","2020",14,14,"ppr","15","6","7","43","7.2","12","0","0","0","0","0","0","1","10.3","10.3","6.9%"
"16","Hunter Henry","TE","NE","2020",14,14,"ppr","16","6","8","41","6.8","15","0","0","0","0","0","0","1","10.1","10.1","38.7%"
"17","Troy Fumagalli","TE","FA","2020",14,14,"ppr","17","4","5","53","13.3","29","1","0","0","0","0","0","1","9.3","9.3","0.0%"
"18","Tyler Conklin","TE","NYJ","2020",14,14,"ppr","18","5","5","40","8.0","15","0","0","0","0","0","0","1","9.0","9.0","35.3%"
"19","Dallas Goedert","TE","PHI","2020",14,14,"ppr","19","4","6","43","10.8","19","0","0","0","0","0","0","1","8.3","8.3","88.2%"
"20","Cole Kmet","TE","CHI","2020",14,14,"ppr","20","4","7","41","10.3","16","0","0","0","0","0","0","1","8.1","8.1","69.3%"
"21","David Njoku","TE","CLE","2020",14,14,"ppr","21","3","4","45","15.0","20","1","0","0","0","0","0","1","7.5","7.5","87.0%"
"22","Jack Doyle","TE","FA","2020",14,14,"ppr","22","3","3","44","14.7","28","1","0","0","0","0","0","1","7.4","7.4","2.0%"
"23","Rob Gronkowski","TE","FA","2020",14,14,"ppr","23","1","2","2","2.0","2","0","1","0","0","0","0","1","7.2","7.2","1.0%"
"24","Eric Ebron","TE","FA","2020",14,14,"ppr","24","2","5","30","15.0","17","0","0","0","0","0","0","1","7.0","7.0","0.0%"
"25","Dalton Schultz","TE","DAL","2020",14,14,"ppr","25","3","3","34","11.3","15","0","0","0","0","0","0","1","6.4","6.4","96.1%"
"26","Dawson Knox","TE","BUF","2020",14,14,"ppr","26","4","7","34","8.5","16","0","0","0","0","0","1","1","5.4","5.4","74.4%"
