"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Justin Jefferson","WR","MIN","2020",6,6,"ppr","1","9","11","166","18.4","49","5","2","0","0","0","0","1","39.6","39.6","100.0%"
"2","Julio Jones","WR","TB","2020",6,6,"ppr","2","8","10","137","17.1","40","7","2","0","0","0","0","1","33.7","33.7","18.9%"
"3","William Fuller V","WR","FA","2020",6,6,"ppr","3","6","11","123","20.5","53","5","1","0","0","0","0","1","24.3","24.3","0.1%"
"4","A.J. Brown","WR","PHI","2020",6,6,"ppr","4","5","7","58","11.6","18","0","2","0","0","0","0","1","22.8","22.8","99.9%"
"5","Christian Kirk","WR","JAC","2020",6,6,"ppr","5","2","3","86","43.0","80","4","2","0","0","0","0","1","22.6","22.6","94.9%"
"6","Brandin Cooks","WR","HOU","2020",6,6,"ppr","6","9","9","68","7.6","19","0","1","0","0","0","0","1","21.8","21.8","64.4%"
"7","Amari Cooper","WR","CLE","2020",6,6,"ppr","7","7","10","79","11.3","26","1","1","0","0","0","0","1","20.9","20.9","96.2%"
"8","Keelan Cole Sr.","WR","LV","2020",6,6,"ppr","8","6","9","143","23.8","51","7","0","0","0","0","0","1","20.3","20.3","0.1%"
"9","Travis Fulgham","WR","GB","2020",6,6,"ppr","9","6","10","75","12.5","19","0","1","0","0","0","0","1","19.5","19.5","0.0%"
"10","Calvin Ridley","WR","JAC","2020",6,6,"ppr","10","6","7","61","10.2","18","0","1","1","8","0","0","1","18.9","18.9","1.6%"
"11","Tee Higgins","WR","CIN","2020",6,6,"ppr","11","6","8","125","20.8","67","5","0","1","2","0","0","1","18.7","18.7","99.1%"
"12","Adam Humphries","WR","FA","2020",6,6,"ppr","12","6","6","64","10.7","22","1","1","0","0","0","0","1","18.4","18.4","1.0%"
"13","Chase Claypool","WR","CHI","2020",6,6,"ppr","13","4","4","74","18.5","36","3","0","2","7","1","0","1","18.1","18.1","47.7%"
"14","Deebo Samuel","WR","SF","2020",6,6,"ppr","14","6","6","66","11.0","35","2","1","1","-6","0","0","1","18.0","18.0","95.6%"
"15","A.J. Green","WR","ARI","2020",6,6,"ppr","15","8","11","96","12.0","19","0","0","0","0","0","0","1","17.6","17.6","1.7%"
"16","James Washington","WR","DAL","2020",6,6,"ppr","16","4","7","68","17.0","28","2","1","0","0","0","0","1","16.8","16.8","0.7%"
"17","Stefon Diggs","WR","BUF","2020",6,6,"ppr","17","6","8","46","7.7","15","0","1","0","0","0","0","1","16.6","16.6","100.0%"
"18","Marcus Johnson","WR","NYG","2020",6,6,"ppr","18","5","8","108","21.6","55","6","0","0","0","0","0","1","15.8","15.8","0.0%"
"19","Zach Pascal","WR","PHI","2020",6,6,"ppr","19","4","7","54","13.5","22","1","1","0","0","0","0","1","15.4","15.4","0.1%"
"20","Cole Beasley","WR","BUF","2020",6,6,"ppr","20","4","7","45","11.3","22","1","1","0","0","0","0","1","14.5","14.5","1.5%"
"21","Kenny Golladay","WR","NYG","2020",6,6,"ppr","21","4","6","105","26.3","48","5","0","0","0","0","0","1","14.5","14.5","6.7%"
"22","Terry McLaurin","WR","WAS","2020",6,6,"ppr","22","7","12","74","10.6","20","1","0","0","0","0","0","1","14.4","14.4","98.1%"
"23","DJ Moore","WR","CAR","2020",6,6,"ppr","23","5","11","93","18.6","38","3","0","0","0","0","0","1","14.3","14.3","91.8%"
"24","Adam Thielen","WR","MIN","2020",6,6,"ppr","24","3","5","51","17.0","35","2","1","0","0","0","0","1","14.1","14.1","90.7%"
"25","Tim Patrick","WR","DEN","2020",6,6,"ppr","25","4","8","101","25.3","41","5","0","0","0","0","0","1","14.1","14.1","0.7%"
"26","Robert Woods","WR","TEN","2020",6,6,"ppr","26","4","10","29","7.3","12","0","1","2","11","0","0","1","14.0","14.0","44.0%"
"27","CeeDee Lamb","WR","DAL","2020",6,6,"ppr","27","7","11","64","9.1","27","1","0","0","0","0","0","1","13.4","13.4","99.9%"
"28","Tyler Boyd","WR","CIN","2020",6,6,"ppr","28","5","8","54","10.8","23","2","0","1","25","0","0","1","12.9","12.9","74.0%"
"29","Josh Reynolds","WR","DET","2020",6,6,"ppr","29","2","5","45","22.5","40","3","1","0","0","0","0","1","12.5","12.5","6.3%"
"30","Davante Adams","WR","LV","2020",6,6,"ppr","30","6","10","61","10.2","18","0","0","0","0","0","0","1","12.1","12.1","100.0%"
"31","Demarcus Robinson","WR","BAL","2020",6,6,"ppr","31","5","6","69","13.8","22","2","0","0","0","0","0","1","11.9","11.9","11.1%"
"32","Darius Slayton","WR","NYG","2020",6,6,"ppr","32","2","4","41","20.5","23","1","1","1","-3","0","0","1","11.8","11.8","52.9%"
"33","Jamison Crowder","WR","BUF","2020",6,6,"ppr","33","7","13","48","6.9","13","0","0","0","0","0","0","1","11.8","11.8","1.3%"
"34","Robbie Anderson","WR","ARI","2020",6,6,"ppr","34","4","5","77","19.3","39","3","0","0","0","0","0","1","11.7","11.7","6.7%"
"35","DJ Chark Jr.","WR","DET","2020",6,6,"ppr","35","7","14","45","6.4","14","0","0","0","0","0","0","1","11.5","11.5","40.6%"
"36","Randall Cobb","WR","GB","2020",6,6,"ppr","36","3","4","17","5.7","7","0","1","0","0","0","0","1","10.7","10.7","5.6%"
"37","Russell Gage","WR","TB","2020",6,6,"ppr","37","4","4","65","16.3","27","1","0","0","0","0","0","1","10.5","10.5","17.4%"
"38","Allen Robinson II","WR","LAR","2020",6,6,"ppr","38","5","9","53","10.6","23","1","0","0","0","0","0","1","10.3","10.3","36.3%"
"39","Breshad Perriman","WR","TB","2020",6,6,"ppr","39","4","8","62","15.5","22","2","0","0","0","0","0","1","10.2","10.2","0.2%"
"40","Chris Godwin","WR","TB","2020",6,6,"ppr","40","5","7","48","9.6","25","1","0","0","0","0","0","1","9.8","9.8","96.0%"
"41","Preston Williams","WR","CAR","2020",6,6,"ppr","41","2","3","18","9.0","15","0","1","0","0","0","0","1","9.8","9.8","0.0%"
"42","Marquise Brown","WR","ARI","2020",6,6,"ppr","42","4","6","57","14.3","20","1","0","0","0","0","0","1","9.7","9.7","88.1%"
"43","Dontrelle Inman","WR","FA","2020",6,6,"ppr","43","5","5","45","9.0","15","0","0","0","0","0","0","1","9.5","9.5","0.0%"
"44","DeAndre Hopkins","WR","ARI","2020",6,6,"ppr","44","2","8","73","36.5","60","4","0","0","0","0","0","1","9.3","9.3","98.4%"
"45","Cam Sims","WR","WAS","2020",6,6,"ppr","45","1","1","22","22.0","22","1","1","0","0","0","0","1","9.2","9.2","0.0%"
"46","Brandon Aiyuk","WR","SF","2020",6,6,"ppr","46","2","3","12","6.0","10","0","1","0","0","0","0","1","9.2","9.2","91.7%"
"47","Jakeem Grant Sr.","WR","CLE","2020",6,6,"ppr","47","4","4","48","12.0","30","2","0","0","0","0","0","1","8.8","8.8","0.0%"
"48","Rashard Higgins","WR","CAR","2020",6,6,"ppr","48","1","2","13","13.0","13","0","1","0","0","0","0","1","8.3","8.3","0.1%"
"49","Tyler Johnson","WR","TB","2020",6,6,"ppr","49","1","1","7","7.0","7","0","1","0","0","0","0","1","7.7","7.7","0.0%"
