"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Baltimore Ravens","DST","BAL","2017",8,8,"ppr",1,3,2,0,0,3,0,0,1,29,29,"89.6%"
"2","Kansas City Chiefs","DST","KC","2017",8,8,"ppr",2,3,3,2,1,1,0,0,1,20,20,"47.9%"
"3","Philadelphia Eagles","DST","PHI","2017",8,8,"ppr",3,4,2,0,0,1,0,0,1,19,19,"58.2%"
"4","Dallas Cowboys","DST","DAL","2017",8,8,"ppr",4,4,1,2,1,1,0,0,1,18,18,"90.0%"
"5","Carolina Panthers","DST","CAR","2017",8,8,"ppr",5,3,2,1,1,0,0,0,1,16,16,"14.1%"
"6","Buffalo Bills","DST","BUF","2017",8,8,"ppr",6,0,2,2,2,1,0,0,1,15,15,"99.0%"
"7","Cincinnati Bengals","DST","CIN","2017",8,8,"ppr",7,4,1,0,0,1,0,0,1,13,13,"31.6%"
"8","Seattle Seahawks","DST","SEA","2017",8,8,"ppr",8,5,3,0,0,1,0,0,1,13,13,"20.5%"
"9","New England Patriots","DST","NE","2017",8,8,"ppr",9,1,1,0,0,0,1,0,1,10,10,"54.0%"
"10","Indianapolis Colts","DST","IND","2017",8,8,"ppr",10,3,0,2,2,0,0,0,1,9,9,"52.4%"
"11","New Orleans Saints","DST","NO","2017",8,8,"ppr",11,2,1,0,0,0,0,0,1,8,8,"65.3%"
"12","Minnesota Vikings","DST","MIN","2017",8,8,"ppr",12,3,0,2,1,0,0,0,1,8,8,"23.7%"
"13","Chicago Bears","DST","CHI","2017",8,8,"ppr",13,2,0,2,2,0,0,0,1,7,7,"2.2%"
"14","Atlanta Falcons","DST","ATL","2017",8,8,"ppr",14,3,0,1,1,0,0,0,1,6,6,"1.7%"
"15","Pittsburgh Steelers","DST","PIT","2017",8,8,"ppr",15,2,0,1,0,0,0,0,1,5,5,"53.2%"
"16","San Francisco 49ers","DST","SF","2017",8,8,"ppr",16,3,1,0,0,0,0,0,1,5,5,"95.5%"
"17","New York Jets","DST","NYJ","2017",8,8,"ppr",17,1,0,2,0,0,0,0,1,5,5,"21.1%"
"18","Detroit Lions","DST","DET","2017",8,8,"ppr",18,0,1,1,1,0,0,0,1,5,5,"2.5%"
"19","Denver Broncos","DST","DEN","2017",8,8,"ppr",19,1,1,1,1,0,0,0,1,5,5,"38.8%"
"20","Washington Commanders","DST","WAS","2017",8,8,"ppr",20,2,0,1,1,0,0,0,1,4,4,"54.8%"
"21","Los Angeles Chargers","DST","LAC","2017",8,8,"ppr",21,3,0,0,0,0,0,0,1,3,3,"30.2%"
"22","Cleveland Browns","DST","CLE","2017",8,8,"ppr",22,1,1,0,1,0,0,0,1,3,3,"37.2%"
"23","Tampa Bay Buccaneers","DST","TB","2017",8,8,"ppr",23,0,1,0,0,0,0,0,1,3,3,"81.2%"
"24","Houston Texans","DST","HOU","2017",8,8,"ppr",24,2,1,0,1,0,0,0,1,0,0,"0.8%"
"25","Miami Dolphins","DST","MIA","2017",8,8,"ppr",25,0,0,0,0,0,0,0,1,0,0,"25.9%"
"26","Las Vegas Raiders","DST","LV","2017",8,8,"ppr",26,0,0,0,0,0,0,0,1,-1,-1,"14.2%"
