"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Jerick McKinnon","RB","KC","2022",15,15,"ppr","1","6","22","3.7","7","0","0","7","9","112","16.0","2","0","1","32.4","32.4","68.7%"
"2","Christian McCaffrey","RB","SF","2022",15,15,"ppr","2","14","119","8.5","38","3","1","2","3","34","17.0","1","0","1","29.3","29.3","100.0%"
"3","Miles Sanders","RB","PHI","2022",15,15,"ppr","3","17","144","8.5","40","4","2","1","3","11","11.0","0","0","1","28.5","28.5","96.5%"
"4","Austin Ekeler","RB","LAC","2022",15,15,"ppr","4","15","45","3.0","12","0","1","8","8","59","7.4","0","0","1","24.4","24.4","100.0%"
"5","James Conner","RB","ARI","2022",15,15,"ppr","5","15","85","5.7","23","1","1","6","7","29","4.8","0","0","1","23.4","23.4","97.8%"
"6","Tony Pollard","RB","DAL","2022",15,15,"ppr","6","10","42","4.2","18","0","1","4","5","20","5.0","1","0","1","22.2","22.2","96.8%"
"7","Derrick Henry","RB","TEN","2022",15,15,"ppr","7","17","121","7.1","50","5","1","3","5","34","11.3","0","2","1","20.5","20.5","100.0%"
"8","Josh Jacobs","RB","LV","2022",15,15,"ppr","8","27","99","3.7","15","0","1","2","2","15","7.5","0","0","1","19.4","19.4","99.3%"
"9","Chuba Hubbard","RB","CAR","2022",15,15,"ppr","9","14","74","5.3","12","0","1","3","3","25","8.3","0","0","1","18.9","18.9","32.2%"
"10","J.K. Dobbins","RB","BAL","2022",15,15,"ppr","10","15","120","8.0","44","3","1","0","0","0","0","0","0","1","18.0","18.0","80.2%"
"11","Ezekiel Elliott","RB","DAL","2022",15,15,"ppr","11","15","62","4.1","25","1","1","3","5","19","6.3","0","0","1","17.1","17.1","97.0%"
"12","Pierre Strong Jr.","RB","NE","2022",15,15,"ppr","12","5","70","14.0","44","3","1","2","2","20","10.0","0","0","1","17.0","17.0","10.3%"
"13","Marlon Mack","RB","DEN","2022",15,15,"ppr","13","3","15","5.0","6","0","0","2","3","62","31.0","1","0","1","15.7","15.7","5.3%"
"14","Zonovan Knight","RB","NYJ","2022",15,15,"ppr","14","17","71","4.2","13","0","1","2","2","6","3.0","0","0","1","15.7","15.7","73.3%"
"15","Najee Harris","RB","PIT","2022",15,15,"ppr","15","12","33","2.8","8","0","1","2","3","17","8.5","0","0","1","13.0","13.0","97.4%"
"16","Joe Mixon","RB","CIN","2022",15,15,"ppr","16","14","96","6.9","40","3","0","2","2","10","5.0","0","0","1","12.6","12.6","99.9%"
