"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Travis Kelce","TE","KC","2018",11,11,"ppr","1","10","15","127","12.7","37","4","1","0","0","0","0","1","28.7","28.7","100.0%"
"2","Jordan Reed","TE","FA","2018",11,11,"ppr","2","7","11","71","10.1","24","1","1","0","0","0","0","1","20.1","20.1","19.0%"
"3","Gerald Everett","TE","LAC","2018",11,11,"ppr","3","3","4","49","16.3","40","3","2","0","0","0","0","1","19.9","19.9","84.7%"
"4","Antonio Gates","TE","FA","2018",11,11,"ppr","4","5","7","80","16.0","27","2","1","0","0","0","0","1","19.0","19.0","0.2%"
"5","O.J. Howard","TE","HOU","2018",11,11,"ppr","5","5","6","78","15.6","24","3","0","0","0","0","0","1","12.8","12.8","0.3%"
"6","Robert Tonyan","TE","GB","2018",11,11,"ppr","6","1","1","54","54.0","54","4","1","0","0","0","0","1","12.4","12.4","25.9%"
"7","Tyler Higbee","TE","LAR","2018",11,11,"ppr","7","6","7","63","10.5","16","0","0","0","0","0","0","1","12.3","12.3","71.9%"
"8","Jared Cook","TE","FA","2018",11,11,"ppr","8","3","6","31","10.3","23","1","1","0","0","0","0","1","12.1","12.1","0.0%"
"9","Vance McDonald","TE","FA","2018",11,11,"ppr","9","3","6","27","9.0","11","0","1","0","0","0","0","1","11.7","11.7","0.0%"
"10","Jonnu Smith","TE","NE","2018",11,11,"ppr","10","6","8","44","7.3","9","0","0","0","0","0","0","1","10.4","10.4","1.1%"
"11","Greg Olsen","TE","FA","2018",11,11,"ppr","11","2","3","9","4.5","8","0","1","0","0","0","0","1","8.9","8.9","7.0%"
"12","Evan Engram","TE","JAC","2018",11,11,"ppr","12","2","2","66","33.0","54","4","0","0","0","0","0","1","8.6","8.6","68.5%"
"13","Ed Dickson","TE","FA","2018",11,11,"ppr","13","1","1","15","15.0","15","0","1","0","0","0","0","1","8.5","8.5","0.0%"
"14","Jack Doyle","TE","FA","2018",11,11,"ppr","14","4","4","43","10.8","16","0","0","0","0","0","0","1","8.3","8.3","2.0%"
"15","Nick Boyle","TE","BAL","2018",11,11,"ppr","15","4","4","36","9.0","16","0","0","0","0","0","0","1","7.6","7.6","0.0%"
"16","Matt Lengel","TE","FA","2018",11,11,"ppr","16","1","1","4","4.0","4","0","1","0","0","0","0","1","7.4","7.4","0.0%"
"17","Anthony Firkser","TE","ATL","2018",11,11,"ppr","17","3","3","44","14.7","28","1","0","0","0","0","0","1","7.4","7.4","0.0%"
"18","C.J. Uzomah","TE","NYJ","2018",11,11,"ppr","18","3","5","41","13.7","20","1","0","0","0","0","0","1","7.1","7.1","0.3%"
"19","Austin Hooper","TE","TEN","2018",11,11,"ppr","19","4","8","27","6.8","9","0","0","0","0","0","0","1","6.7","6.7","13.8%"
"20","Geoff Swaim","TE","TEN","2018",11,11,"ppr","20","4","5","24","6.0","12","0","0","0","0","0","0","1","6.4","6.4","0.0%"
