"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Chicago Bears","DST","CHI","2018",14,14,"ppr",1,3,4,0,1,0,1,0,1,20,20,"2.2%"
"2","New York Giants","DST","NYG","2018",14,14,"ppr",2,5,3,0,0,1,0,0,1,18,18,"6.2%"
"3","Detroit Lions","DST","DET","2018",14,14,"ppr",3,3,1,0,2,1,0,0,1,18,18,"2.5%"
"4","Seattle Seahawks","DST","SEA","2018",14,14,"ppr",4,2,0,1,1,1,0,0,1,15,15,"20.5%"
"5","Green Bay Packers","DST","GB","2018",14,14,"ppr",5,2,1,1,1,1,0,0,1,13,13,"80.7%"
"6","Tennessee Titans","DST","TEN","2018",14,14,"ppr",6,4,0,1,1,0,0,0,1,10,10,"26.3%"
"7","New York Jets","DST","NYJ","2018",14,14,"ppr",7,3,2,1,1,0,0,0,1,10,10,"21.1%"
"8","Philadelphia Eagles","DST","PHI","2018",14,14,"ppr",8,3,2,1,1,0,0,0,1,8,8,"58.2%"
"9","Los Angeles Rams","DST","LAR","2018",14,14,"ppr",9,1,3,0,0,0,0,0,1,8,8,"34.3%"
"10","New Orleans Saints","DST","NO","2018",14,14,"ppr",10,4,1,0,1,0,0,0,1,8,8,"65.3%"
"11","Arizona Cardinals","DST","ARI","2018",14,14,"ppr",11,1,0,1,1,0,0,0,1,7,7,"12.3%"
"12","Pittsburgh Steelers","DST","PIT","2018",14,14,"ppr",12,4,0,1,0,0,0,0,1,6,6,"53.2%"
"13","Denver Broncos","DST","DEN","2018",14,14,"ppr",13,3,1,0,2,0,0,0,1,6,6,"38.8%"
"14","Minnesota Vikings","DST","MIN","2018",14,14,"ppr",14,2,1,0,0,0,0,0,1,5,5,"23.7%"
"15","New England Patriots","DST","NE","2018",14,14,"ppr",15,5,0,0,1,0,0,0,1,5,5,"54.0%"
"16","Indianapolis Colts","DST","IND","2018",14,14,"ppr",16,5,0,0,0,0,0,0,1,5,5,"52.4%"
"17","Baltimore Ravens","DST","BAL","2018",14,14,"ppr",17,3,1,0,0,0,0,0,1,5,5,"89.6%"
"18","Carolina Panthers","DST","CAR","2018",14,14,"ppr",18,1,0,2,2,0,0,0,1,5,5,"14.1%"
"19","Tampa Bay Buccaneers","DST","TB","2018",14,14,"ppr",19,1,1,1,1,0,0,0,1,4,4,"81.2%"
"20","Kansas City Chiefs","DST","KC","2018",14,14,"ppr",20,2,0,1,1,0,0,0,1,4,4,"47.9%"
"21","Jacksonville Jaguars","DST","JAC","2018",14,14,"ppr",21,1,1,0,0,0,1,0,1,4,4,"3.8%"
"22","Houston Texans","DST","HOU","2018",14,14,"ppr",22,2,1,0,0,0,0,0,1,4,4,"0.8%"
"23","Dallas Cowboys","DST","DAL","2018",14,14,"ppr",23,2,0,1,1,0,0,0,1,4,4,"90.0%"
"24","Cleveland Browns","DST","CLE","2018",14,14,"ppr",24,1,1,0,0,0,0,0,1,4,4,"37.2%"
"25","Buffalo Bills","DST","BUF","2018",14,14,"ppr",25,0,1,1,0,0,0,0,1,4,4,"99.0%"
"26","San Francisco 49ers","DST","SF","2018",14,14,"ppr",26,2,0,0,1,0,0,0,1,3,3,"95.5%"
"27","Washington Commanders","DST","WAS","2018",14,14,"ppr",27,2,1,0,0,0,0,0,1,3,3,"54.8%"
"28","Los Angeles Chargers","DST","LAC","2018",14,14,"ppr",28,3,0,0,0,0,0,0,1,3,3,"30.2%"
"29","Las Vegas Raiders","DST","LV","2018",14,14,"ppr",29,1,1,0,0,0,0,0,1,3,3,"14.2%"
"30","Atlanta Falcons","DST","ATL","2018",14,14,"ppr",30,4,0,0,0,0,0,0,1,3,3,"1.7%"
"31","Cincinnati Bengals","DST","CIN","2018",14,14,"ppr",31,2,0,0,0,0,0,0,1,2,2,"31.6%"
"32","Miami Dolphins","DST","MIA","2018",14,14,"ppr",32,2,0,0,0,0,0,0,1,1,1,"25.9%"
