"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Davante Adams","WR","GB","8","12","9","14","12","16","bye","7","9","7","12","8","13","11","13","18","-","169","11.3"
"Antonio Brown","WR","PIT","16","17","9","11","13","6","bye","8","10","6","13","13","13","7","7","19","-","168","11.2"
"Julio Jones","WR","ATL","19","9","6","12","9","14","12","bye","10","11","9","14","8","11","8","5","13","170","10.6"
"JuJu Smith-Schuster","WR","PIT","8","19","11","11","4","10","bye","6","9","5","10","17","9","12","10","15","10","166","10.4"
"Odell Beckham Jr.","WR","NYG","15","9","10","11","14","10","11","11","bye","11","4","9","9","-","-","-","-","124","10.3"
"DeAndre Hopkins","WR","HOU","11","11","10","12","13","6","8","7","12","bye","6","6","12","10","11","12","16","163","10.2"
"Stefon Diggs","WR","MIN","6","13","10","15","11","4","15","11","-","bye","18","11","6","6","7","6","10","149","9.9"
"Zach Ertz","TE","PHI","10","13","10","14","11","9","11","6","bye","16","3","8","10","8","7","16","4","156","9.8"
"Adam Thielen","WR","MIN","12","13","19","12","10","13","10","7","7","bye","12","9","10","7","2","6","4","153","9.6"
"Travis Kelce","TE","KC","6","10","10","12","8","9","5","10","9","7","15","bye","13","9","9","9","9","150","9.4"
"Jarvis Landry","WR","CLE","15","7","14","10","11","10","15","12","7","5","bye","5","9","4","8","8","9","149","9.3"
"Michael Thomas","WR","NO","17","13","10","4","5","bye","9","6","15","8","4","6","8","13","9","13","7","147","9.2"
"Julian Edelman","WR","NE","-","-","-","-","9","7","8","10","10","12","bye","5","8","12","11","10","6","108","9.0"
"Mike Evans","WR","TB","7","12","11","9","bye","5","11","13","10","6","7","8","6","6","9","10","8","138","8.6"
"T.Y. Hilton","WR","IND","11","11","10","6","-","-","4","5","bye","7","9","10","13","12","8","8","6","120","8.6"
"A.J. Green","WR","CIN","8","9","8","8","10","12","14","7","bye","-","-","-","1","-","-","-","-","77","8.6"
"Tyreek Hill","WR","KC","8","6","5","13","7","12","10","4","5","10","14","bye","6","14","7","9","7","137","8.6"
