"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Tyler Boyd","WR","CIN","2019",16,16,"ppr","1","9","15","128","14.2","34","3","2","0","0","0","0","1","33.8","33.8","74.0%"
"2","Michael Thomas","WR","NO","2019",16,16,"ppr","2","12","17","136","11.3","26","2","1","0","0","0","0","1","31.6","31.6","26.7%"
"3","Julio Jones","WR","TB","2019",16,16,"ppr","3","10","15","166","16.6","32","4","0","0","0","0","0","1","26.6","26.6","18.9%"
"4","Steven Sims Jr.","WR","PIT","2019",16,16,"ppr","4","6","10","64","10.7","32","2","2","2","9","0","0","1","25.3","25.3","0.3%"
"5","Tajae Sharpe","WR","FA","2019",16,16,"ppr","5","5","6","69","13.8","36","2","2","0","0","0","0","1","23.9","23.9","0.0%"
"6","Hunter Renfrow","WR","LV","2019",16,16,"ppr","6","7","9","107","15.3","56","4","1","0","0","0","0","1","23.7","23.7","26.2%"
"7","Davante Adams","WR","LV","2019",16,16,"ppr","7","13","16","116","8.9","18","0","0","0","0","0","1","1","22.6","22.6","100.0%"
"8","Diontae Johnson","WR","PIT","2019",16,16,"ppr","8","8","9","81","10.1","29","1","1","0","0","0","0","1","22.1","22.1","85.3%"
"9","DeVante Parker","WR","NE","2019",16,16,"ppr","9","5","15","111","22.2","51","5","1","0","0","0","0","1","22.1","22.1","13.6%"
"10","Robert Woods","WR","TEN","2019",16,16,"ppr","10","8","11","117","14.6","29","3","0","2","6","0","0","1","20.3","20.3","44.0%"
"11","Sterling Shepard","WR","NYG","2019",16,16,"ppr","11","6","6","76","12.7","23","2","1","0","0","0","0","1","19.6","19.6","1.3%"
"12","Kenny Golladay","WR","NYG","2019",16,16,"ppr","12","6","12","66","11.0","35","2","1","0","0","0","0","1","18.6","18.6","6.7%"
"13","DaeSean Hamilton","WR","MIA","2019",16,16,"ppr","13","6","6","65","10.8","20","1","1","0","0","0","0","1","18.5","18.5","0.0%"
"14","Cole Beasley","WR","BUF","2019",16,16,"ppr","14","7","12","108","15.4","28","2","0","0","0","0","0","1","17.8","17.8","1.5%"
"15","Breshad Perriman","WR","TB","2019",16,16,"ppr","15","7","12","102","14.6","27","1","0","0","0","0","0","1","17.2","17.2","0.2%"
"16","Deebo Samuel","WR","SF","2019",16,16,"ppr","16","4","6","31","7.8","18","0","0","3","28","1","0","1","15.9","15.9","95.6%"
"17","Albert Wilson","WR","LV","2019",16,16,"ppr","17","7","7","79","11.3","35","2","0","1","9","0","0","1","15.8","15.8","0.0%"
"18","Terry McLaurin","WR","WAS","2019",16,16,"ppr","18","7","9","86","12.3","34","2","0","0","0","0","0","1","15.6","15.6","98.1%"
"19","Golden Tate","WR","FA","2019",16,16,"ppr","19","6","11","96","16.0","32","4","0","0","0","0","0","1","15.6","15.6","0.0%"
"20","Cody Latimer","WR","FA","2019",16,16,"ppr","20","5","7","44","8.8","14","0","1","0","0","0","0","1","15.4","15.4","0.0%"
"21","A.J. Brown","WR","PHI","2019",16,16,"ppr","21","1","2","34","34.0","34","2","0","1","49","1","0","1","15.3","15.3","99.9%"
"22","Justin Watson","WR","KC","2019",16,16,"ppr","22","5","10","43","8.6","12","0","1","0","0","0","0","1","15.3","15.3","0.9%"
"23","John Ross","WR","FA","2019",16,16,"ppr","23","6","13","84","14.0","34","2","0","2","6","0","0","1","15.0","15.0","0.0%"
"24","Larry Fitzgerald","WR","FA","2019",16,16,"ppr","24","4","7","48","12.0","21","1","1","0","0","0","0","1","14.8","14.8","0.1%"
"25","Michael Gallup","WR","DAL","2019",16,16,"ppr","25","5","11","98","19.6","41","3","0","0","0","0","0","1","14.8","14.8","65.8%"
"26","Stefon Diggs","WR","BUF","2019",16,16,"ppr","26","3","5","57","19.0","28","2","1","0","0","0","0","1","14.7","14.7","100.0%"
"27","Jarvis Landry","WR","NO","2019",16,16,"ppr","27","7","9","74","10.6","33","2","0","0","0","0","0","1","14.4","14.4","21.3%"
"28","Odell Beckham Jr.","WR","FA","2019",16,16,"ppr","28","4","6","44","11.0","22","1","1","0","0","0","0","1","14.4","14.4","19.2%"
