"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Stephen Gostkowski","K","FA","2017",11,11,"ppr",1,4,4,100,62,0,1,0,1,2,3,3,1,20,20,"0.0%"
"2","Chris Boswell","K","PIT","2017",11,11,"ppr",2,4,4,100,50,0,2,0,1,1,4,4,1,19,19,"14.1%"
"3","Nick Novak","K","FA","2017",11,11,"ppr",3,4,5,80,39,0,2,2,0,0,6,6,1,18,18,"0.1%"
"4","Wil Lutz","K","NO","2017",11,11,"ppr",4,4,4,100,52,0,2,0,1,1,2,2,1,17,17,"8.0%"
"5","Patrick Murray","K","FA","2017",11,11,"ppr",5,3,4,75,35,0,0,3,0,0,3,3,1,12,12,"1.0%"
"6","Blair Walsh","K","FA","2017",11,11,"ppr",6,3,4,75,46,0,0,2,1,0,2,2,1,12,12,"0.1%"
"7","Mike Nugent","K","FA","2017",11,11,"ppr",7,3,3,100,48,0,1,0,2,0,0,0,1,11,11,"1.0%"
"8","Matt Prater","K","ARI","2017",11,11,"ppr",8,2,2,100,52,0,1,0,0,1,3,3,1,11,11,"14.9%"
"9","Justin Tucker","K","BAL","2017",11,11,"ppr",9,3,3,100,39,0,1,2,0,0,2,2,1,11,11,"99.0%"
"10","Matt Bryant","K","FA","2017",11,11,"ppr",10,2,2,100,44,1,0,0,1,0,4,4,1,11,11,"1.1%"
"11","Harrison Butker","K","KC","2017",11,11,"ppr",11,3,3,100,31,0,1,2,0,0,0,0,1,9,9,"91.8%"
"12","Stephen Hauschka","K","FA","2017",11,11,"ppr",12,1,1,100,50,0,0,0,0,1,3,3,1,8,8,"0.0%"
"13","Cody Parkey","K","FA","2017",11,11,"ppr",13,2,2,100,31,0,1,1,0,0,2,2,1,8,8,"0.0%"
"14","Josh Lambo","K","FA","2017",11,11,"ppr",14,2,3,66.7,39,0,0,2,0,0,1,1,1,7,7,"0.0%"
"15","Ka'imi Fairbairn","K","HOU","2017",11,11,"ppr",15,1,1,100,34,0,0,1,0,0,4,4,1,7,7,"2.0%"
"16","Nick Rose","K","FA","2017",11,11,"ppr",16,1,1,100,38,0,0,1,0,0,4,4,1,7,7,"0.0%"
"17","Kai Forbath","K","LAR","2017",11,11,"ppr",17,1,3,33.3,39,0,0,1,0,0,3,3,1,6,6,"3.0%"
"18","Brandon McManus","K","DEN","2017",11,11,"ppr",18,1,2,50,45,0,0,0,1,0,2,2,1,6,6,"36.0%"
"19","Ryan Succop","K","TB","2017",11,11,"ppr",19,1,2,50,44,0,0,0,1,0,2,2,1,6,6,"34.3%"
"20","Connor Barth","K","FA","2017",11,11,"ppr",20,1,2,50,23,0,1,0,0,0,3,3,1,6,6,"0.0%"
"21","Aldrick Rosas","K","FA","2017",11,11,"ppr",21,2,2,100,26,0,2,0,0,0,0,1,1,6,6,"0.0%"
"22","Phil Dawson","K","FA","2017",11,11,"ppr",22,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"0.1%"
"23","Randy Bullock","K","TEN","2017",11,11,"ppr",23,0,0,0,0,0,0,0,0,0,2,3,1,2,2,"1.5%"
"24","Jake Elliott","K","PHI","2017",11,11,"ppr",24,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"27.9%"
"25","Greg Zuerlein","K","NYJ","2017",11,11,"ppr",25,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"15.9%"
"26","Zane Gonzalez","K","CAR","2017",11,11,"ppr",26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0.1%"
"27","Mason Crosby","K","GB","2017",11,11,"ppr",27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"3.2%"
"28","Giorgio Tavecchio","K","FA","2017",11,11,"ppr",28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1.0%"
