"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Matt Ryan","QB","IND","2016",9,9,"ppr","1","25","34","73.5","344","10.1","4","0","2","2","0","0","1","1","27.8","27.8","10.6%"
"2","Russell Wilson","QB","DEN","2016",9,9,"ppr","2","20","26","76.9","282","10.8","2","0","4","3","10","1","0","1","26.3","26.3","43.7%"
"3","Aaron Rodgers","QB","GB","2016",9,9,"ppr","3","26","43","60.5","297","6.9","3","1","3","6","43","0","0","1","26.2","26.2","75.1%"
"4","Marcus Mariota","QB","ATL","2016",9,9,"ppr","4","27","43","62.8","313","7.3","3","2","0","3","14","1","1","1","25.9","25.9","19.4%"
"5","Tyrod Taylor","QB","NYG","2016",9,9,"ppr","5","27","38","71.1","289","7.6","1","1","5","8","43","1","0","1","25.9","25.9","0.1%"
"6","Drew Brees","QB","FA","2016",9,9,"ppr","6","28","39","71.8","323","8.3","3","0","1","2","-2","0","0","1","24.7","24.7","35.7%"
"7","Dak Prescott","QB","DAL","2016",9,9,"ppr","7","21","27","77.8","247","9.1","3","0","0","4","20","0","0","1","23.9","23.9","93.5%"
"8","Colin Kaepernick","QB","FA","2016",9,9,"ppr","8","24","39","61.5","398","10.2","2","1","1","5","23","0","1","1","22.2","22.2","0.1%"
"9","Eli Manning","QB","FA","2016",9,9,"ppr","9","22","36","61.1","257","7.1","4","2","1","2","-4","0","0","1","21.9","21.9","2.3%"
"10","Blake Bortles","QB","FA","2016",9,9,"ppr","10","22","41","53.7","252","6.1","2","1","2","6","54","0","0","1","21.5","21.5","0.0%"
"11","Jameis Winston","QB","NO","2016",9,9,"ppr","11","23","37","62.2","261","7.1","3","0","2","3","11","0","1","1","21.5","21.5","5.6%"
"12","Ben Roethlisberger","QB","FA","2016",9,9,"ppr","12","23","45","51.1","264","5.9","1","1","2","3","3","1","0","1","18.9","18.9","13.6%"
"13","Philip Rivers","QB","FA","2016",9,9,"ppr","13","24","33","72.7","275","8.3","2","0","1","3","-3","0","0","1","18.7","18.7","20.6%"
"14","Sam Bradford","QB","FA","2016",9,9,"ppr","14","31","40","77.5","273","6.8","1","0","2","0","0","0","0","1","16.4","16.4","0.0%"
"15","Trevor Siemian","QB","CHI","2016",9,9,"ppr","15","18","37","48.6","283","7.6","2","1","2","0","0","0","1","1","15.3","15.3","0.1%"
"16","Matthew Stafford","QB","LAR","2016",9,9,"ppr","16","23","36","63.9","219","6.1","2","1","1","0","0","0","0","1","14.8","14.8","29.7%"
"17","Joe Flacco","QB","NYJ","2016",9,9,"ppr","17","18","30","60.0","241","8.0","1","1","3","3","12","0","0","1","14.8","14.8","0.3%"
"18","Cam Newton","QB","FA","2016",9,9,"ppr","18","20","32","62.5","225","7.0","1","0","5","7","16","0","0","1","14.6","14.6","9.1%"
"19","Case Keenum","QB","BUF","2016",9,9,"ppr","19","27","46","58.7","296","6.4","1","1","4","0","0","0","0","1","13.8","13.8","0.4%"
"20","Cody Kessler","QB","FA","2016",9,9,"ppr","20","19","27","70.4","203","7.5","1","0","4","2","11","0","0","1","13.2","13.2","0.1%"
"21","Andrew Luck","QB","FA","2016",9,9,"ppr","21","23","36","63.9","281","7.8","1","2","2","7","15","0","0","1","12.7","12.7","2.2%"
"22","Nick Foles","QB","IND","2016",9,9,"ppr","22","20","33","60.6","187","5.7","1","0","2","3","-3","0","0","1","11.2","11.2","0.0%"
"23","Ryan Fitzpatrick","QB","FA","2016",9,9,"ppr","23","16","27","59.3","194","7.2","1","2","3","3","26","0","0","1","10.4","10.4","0.0%"
"24","Carson Wentz","QB","WAS","2016",9,9,"ppr","24","27","47","57.4","364","7.7","0","2","2","4","-4","0","0","1","10.2","10.2","6.5%"
"25","Ryan Tannehill","QB","TEN","2016",9,9,"ppr","25","17","28","60.7","149","5.3","1","0","1","2","-3","0","0","1","9.7","9.7","28.5%"
"26","Mike Glennon","QB","FA","2016",9,9,"ppr","26","10","11","90.9","75","6.8","1","0","0","0","0","0","0","1","9.0","9.0","1.0%"
"27","Derek Carr","QB","LV","2016",9,9,"ppr","27","20","31","64.5","184","5.9","0","0","2","4","3","0","0","1","7.7","7.7","64.3%"
"28","Bryce Petty","QB","FA","2016",9,9,"ppr","28","2","2","100.0","19","9.5","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"29","Ryan Mallett","QB","FA","2016",9,9,"ppr","29","1","1","100.0","9","9.0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"30","Mark Sanchez","QB","FA","2016",9,9,"ppr","30","1","1","100.0","8","8.0","0","0","0","2","-2","0","0","1","0.1","0.1","0.1%"
"31","Joe Webb III","QB","FA","2016",9,9,"ppr","31","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"32","Kellen Clemens","QB","FA","2016",9,9,"ppr","32","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"33","Josh Johnson","QB","FA","2016",9,9,"ppr","33","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"34","Matt Schaub","QB","FA","2016",9,9,"ppr","34","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
