"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Sammy Watkins","WR","KC","11","13","8","6","0","-","-","8","10","9","3","bye","3","8","4","5","2","90","6.4"
"Stefon Diggs","WR","MIN","2","7","3","7","4","11","8","7","5","6","5","bye","9","9","6","5","-","94","6.3"
"Nelson Agholor","WR","PHI","5","11","12","1","3","7","3","4","8","bye","9","-","6","-","-","-","-","69","6.3"
"DK Metcalf","WR","SEA","6","7","6","4","3","5","9","5","9","10","bye","6","7","6","4","1","12","100","6.3"
"Hunter Henry","TE","LAC","5","-","-","-","-","9","8","6","10","7","9","bye","3","4","2","7","6","76","6.3"
"James White","RB","NE","7","4","-","10","9","9","8","5","3","bye","7","3","11","7","4","5","3","95","6.3"
"Auden Tate","WR","CIN","0","2","10","6","6","11","6","13","bye","6","6","3","7","4","-","-","-","80","6.2"
"Robbie Anderson","WR","NYJ","7","6","5","bye","3","8","8","6","4","3","3","5","10","11","6","4","7","96","6.0"
"Mike Williams","WR","LAC","3","5","7","-","13","10","6","6","3","3","6","bye","7","3","9","4","5","90","6.0"
"Darius Slayton","WR","NYG","-","-","5","2","5","8","2","5","4","15","bye","7","9","8","3","2","9","84","6.0"
"Mohamed Sanu Sr.","WR","NE","6","7","6","12","5","4","2","5","14","bye","4","-","5","1","8","5","5","89","5.9"
"Greg Olsen","TE","CAR","9","9","7","4","2","7","bye","2","6","10","5","7","3","-","-","5","6","82","5.9"
"Tyler Higbee","TE","LAR","5","3","-","7","3","3","1","1","bye","4","0","6","8","11","14","11","12","89","5.9"
"Dallas Goedert","TE","PHI","3","-","1","3","3","8","4","5","5","bye","6","8","7","6","6","12","10","87","5.8"
"Diontae Johnson","WR","PIT","5","4","6","6","8","2","bye","7","2","6","4","6","5","8","7","9","7","92","5.8"
"JuJu Smith-Schuster","WR","PIT","8","8","7","4","7","3","bye","9","5","5","4","-","-","-","-","4","6","70","5.8"
"Emmanuel Sanders","WR","SF","7","13","5","9","1","3","6","5","9","4","5","1","6","9","4","6","4","97","5.7"
"Greg Ward","WR","PHI","-","-","0","-","-","-","-","-","-","bye","-","7","3","9","9","5","7","40","5.7"
"Mike Gesicki","TE","MIA","6","2","3","0","bye","7","4","3","6","6","6","7","7","5","8","12","7","89","5.6"
"Chris Conley","WR","JAC","7","5","3","4","3","3","7","7","7","bye","8","9","5","3","8","5","6","90","5.6"
"Saquon Barkley","RB","NYG","6","7","5","-","-","-","5","10","8","5","bye","3","7","4","5","4","4","73","5.6"
"Randall Cobb","WR","DAL","5","6","4","6","6","-","3","bye","8","8","7","7","3","5","2","7","6","83","5.5"
"Hunter Renfrow","WR","OAK","3","8","4","3","5","-","3","4","7","5","6","5","-","-","-","9","9","71","5.5"
