"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Justin Jefferson","WR","MIN","2022",12,12,"ppr","1","9","11","139","15.4","37","5","1","0","0","0","0","1","29.3","29.3","100.0%"
"2","Chris Godwin","WR","TB","2022",12,12,"ppr","2","12","13","110","9.2","23","2","1","0","0","0","0","1","29.0","29.0","96.0%"
"3","Amon-Ra St. Brown","WR","DET","2022",12,12,"ppr","3","9","10","122","13.6","26","1","1","1","7","0","0","1","27.9","27.9","99.2%"
"4","Zay Jones","WR","JAC","2022",12,12,"ppr","4","11","14","145","13.2","29","3","0","0","0","0","0","1","27.5","27.5","61.7%"
"5","Garrett Wilson","WR","NYJ","2022",12,12,"ppr","5","5","8","95","19.0","54","4","2","1","-1","0","0","1","26.4","26.4","90.6%"
"6","Tee Higgins","WR","CIN","2022",12,12,"ppr","6","7","9","114","16.3","29","3","1","0","0","0","0","1","24.4","24.4","99.1%"
"7","Isaiah McKenzie","WR","BUF","2022",12,12,"ppr","7","6","10","96","16.0","30","3","1","2","7","0","0","1","22.3","22.3","32.2%"
"8","Stefon Diggs","WR","BUF","2022",12,12,"ppr","8","8","15","77","9.6","36","2","1","0","0","0","0","1","21.7","21.7","100.0%"
"9","Adam Thielen","WR","MIN","2022",12,12,"ppr","9","9","10","61","6.8","16","0","1","0","0","0","0","1","21.1","21.1","90.7%"
"10","Christian Watson","WR","GB","2022",12,12,"ppr","10","4","6","110","27.5","63","5","1","0","0","0","0","1","21.0","21.0","87.6%"
"11","DJ Moore","WR","CAR","2022",12,12,"ppr","11","4","6","103","25.8","52","6","1","0","0","0","0","1","20.3","20.3","91.8%"
"12","DeAndre Carter","WR","LAC","2022",12,12,"ppr","12","7","10","73","10.4","33","2","1","0","0","0","0","1","20.3","20.3","14.3%"
"13","DK Metcalf","WR","SEA","2022",12,12,"ppr","13","11","15","90","8.2","24","1","0","0","0","0","0","1","20.0","20.0","97.8%"
"14","Michael Pittman Jr.","WR","IND","2022",12,12,"ppr","14","7","11","61","8.7","28","1","1","0","0","0","0","1","19.1","19.1","97.0%"
"15","DeAndre Hopkins","WR","ARI","2022",12,12,"ppr","15","4","6","87","21.8","33","4","1","0","0","0","0","1","18.7","18.7","98.4%"
"16","Nelson Agholor","WR","NE","2022",12,12,"ppr","16","6","8","65","10.8","34","2","1","0","0","0","0","1","18.5","18.5","3.8%"
