"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","C.J. Anderson","RB","FA","2018",17,17,"ppr","1","23","132","5.7","13","0","1","3","3","22","7.3","0","0","1","24.4","24.4","1.0%"
"2","Jordan Howard","RB","FA","2018",17,17,"ppr","2","21","109","5.2","42","3","2","1","2","5","5.0","0","0","1","24.4","24.4","0.0%"
"3","Saquon Barkley","RB","NYG","2018",17,17,"ppr","3","17","109","6.4","68","5","1","4","8","33","8.3","0","0","1","24.2","24.2","100.0%"
"4","Chris Carson","RB","FA","2018",17,17,"ppr","4","19","122","6.4","61","4","1","1","1","7","7.0","0","0","1","19.9","19.9","0.3%"
"5","Zach Zenner","RB","FA","2018",17,17,"ppr","5","21","93","4.4","13","0","1","1","2","30","30.0","0","0","1","19.3","19.3","0.0%"
"6","Marlon Mack","RB","DEN","2018",17,17,"ppr","6","25","119","4.8","21","1","1","3","3","-1","-0.3","0","1","1","18.8","18.8","5.3%"
"7","Alfred Morris","RB","FA","2018",17,17,"ppr","7","16","111","6.9","51","5","1","1","1","4","4.0","0","0","1","18.5","18.5","0.0%"
"8","Royce Freeman","RB","HOU","2018",17,17,"ppr","8","17","60","3.5","9","0","0","8","10","43","5.4","0","0","1","18.3","18.3","0.0%"
"9","James White","RB","FA","2018",17,17,"ppr","9","4","30","7.5","21","1","0","4","5","39","9.8","1","0","1","16.9","16.9","0.1%"
"10","Kenyan Drake","RB","BAL","2018",17,17,"ppr","10","11","43","3.9","9","0","0","5","5","52","10.4","0","0","1","14.5","14.5","26.8%"
"11","Cameron Artis-Payne","RB","FA","2018",17,17,"ppr","11","16","56","3.5","15","0","1","2","2","2","1.0","0","0","1","13.8","13.8","0.0%"
"12","Mike Davis","RB","FA","2018",17,17,"ppr","12","7","44","6.3","17","0","1","2","3","12","6.0","0","0","1","13.6","13.6","1.0%"
"13","Lamar Miller","RB","FA","2018",17,17,"ppr","13","17","56","3.3","14","0","1","2","2","0","0.0","0","0","1","13.6","13.6","0.0%"
"14","Rod Smith","RB","FA","2018",17,17,"ppr","14","12","35","2.9","13","0","1","2","3","14","7.0","0","0","1","12.9","12.9","0.0%"
"15","Kenneth Dixon","RB","FA","2018",17,17,"ppr","15","12","117","9.8","37","3","0","1","1","2","2.0","0","0","1","12.9","12.9","0.1%"
"16","Damien Williams","RB","FA","2018",17,17,"ppr","16","11","51","4.6","15","0","1","1","1","8","8.0","0","0","1","12.9","12.9","1.1%"
"17","James Conner","RB","ARI","2018",17,17,"ppr","17","14","64","4.6","16","0","0","3","3","30","10.0","0","0","1","12.4","12.4","97.8%"
"18","LeSean McCoy","RB","FA","2018",17,17,"ppr","18","10","26","2.6","9","0","1","2","3","18","9.0","0","0","1","12.4","12.4","2.0%"
"19","Tevin Coleman","RB","SF","2018",17,17,"ppr","19","8","45","5.6","23","1","1","1","1","9","9.0","0","0","1","12.4","12.4","0.6%"
"20","Austin Ekeler","RB","LAC","2018",17,17,"ppr","20","8","58","7.3","41","3","1","0","1","0","0","0","0","1","11.8","11.8","100.0%"
"21","David Johnson","RB","NO","2018",17,17,"ppr","21","17","62","3.6","15","0","0","3","4","6","2.0","0","0","1","11.8","11.8","0.1%"
"22","Wendell Smallwood","RB","FA","2018",17,17,"ppr","22","12","53","4.4","13","0","0","4","4","24","6.0","0","0","1","11.7","11.7","0.0%"
"23","Joe Mixon","RB","CIN","2018",17,17,"ppr","23","13","105","8.1","51","5","0","1","1","2","2.0","0","0","1","11.7","11.7","99.9%"
"24","Derrick Henry","RB","TEN","2018",17,17,"ppr","24","16","93","5.8","33","2","0","1","1","13","13.0","0","0","1","11.6","11.6","100.0%"
"25","Josh Adams","RB","FA","2018",17,17,"ppr","25","11","50","4.5","13","0","0","3","3","33","11.0","0","0","1","11.3","11.3","0.0%"
"26","Jaylen Samuels","RB","FA","2018",17,17,"ppr","26","2","2","1.0","4","0","0","7","8","40","5.7","0","0","1","11.2","11.2","0.0%"
"27","Tarik Cohen","RB","FA","2018",17,17,"ppr","27","5","24","4.8","8","0","1","2","3","8","4.0","0","0","1","11.2","11.2","0.0%"
"28","Andy Janovich","RB","FA","2018",17,17,"ppr","28","0","0","0","0","0","0","2","2","30","15.0","1","0","1","11.0","11.0","0.0%"
"29","Dwayne Washington","RB","NO","2018",17,17,"ppr","29","11","108","9.8","28","2","0","0","0","0","0","0","0","1","10.8","10.8","0.2%"
"30","Rex Burkhead","RB","HOU","2018",17,17,"ppr","30","5","14","2.8","8","0","0","1","2","18","18.0","1","0","1","10.2","10.2","12.7%"
"31","Chris Ivory","RB","FA","2018",17,17,"ppr","31","14","45","3.2","10","0","0","1","1","46","46.0","0","0","1","10.1","10.1","0.0%"
"32","Wayne Gallman Jr.","RB","SEA","2018",17,17,"ppr","32","6","23","3.8","9","0","1","1","1","7","7.0","0","0","1","10.0","10.0","0.1%"
"33","Dalvin Cook","RB","MIN","2018",17,17,"ppr","33","11","39","3.5","10","0","0","4","5","21","5.3","0","0","1","10.0","10.0","100.0%"
"34","Melvin Gordon III","RB","KC","2018",17,17,"ppr","34","10","42","4.2","9","0","0","3","3","24","8.0","0","0","1","9.6","9.6","29.3%"
"35","Doug Martin","RB","FA","2018",17,17,"ppr","35","21","100","4.8","15","0","0","1","2","1","1.0","0","1","1","9.1","9.1","0.0%"
"36","Devontae Booker","RB","FA","2018",17,17,"ppr","36","5","14","2.8","6","0","0","5","7","20","4.0","0","0","1","8.4","8.4","0.0%"
"37","Peyton Barber","RB","FA","2018",17,17,"ppr","37","15","66","4.4","9","0","0","1","1","2","2.0","0","0","1","7.8","7.8","1.0%"
"38","Gus Edwards","RB","BAL","2018",17,17,"ppr","38","12","76","6.3","24","1","0","0","0","0","0","0","0","1","7.6","7.6","39.7%"
"39","Chris Thompson","RB","FA","2018",17,17,"ppr","39","2","10","5.0","9","0","0","5","8","14","2.8","0","0","1","7.4","7.4","0.0%"
