"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Minnesota Vikings","DST","MIN","2016",1,1,"ppr",1,2,1,2,1,2,0,0,1,21,21,"23.7%"
"2","San Francisco 49ers","DST","SF","2016",1,1,"ppr",2,2,2,0,0,0,0,0,1,16,16,"95.5%"
"3","Miami Dolphins","DST","MIA","2016",1,1,"ppr",3,3,1,1,0,0,0,0,1,12,12,"25.9%"
"4","Philadelphia Eagles","DST","PHI","2016",1,1,"ppr",4,3,1,0,1,0,1,0,1,11,11,"58.2%"
"5","Buffalo Bills","DST","BUF","2016",1,1,"ppr",5,4,0,1,0,0,0,0,1,10,10,"99.0%"
"6","Seattle Seahawks","DST","SEA","2016",1,1,"ppr",6,5,0,0,2,0,0,0,1,10,10,"20.5%"
"7","New York Jets","DST","NYJ","2016",1,1,"ppr",7,7,1,0,0,0,0,0,1,9,9,"21.1%"
"8","Houston Texans","DST","HOU","2016",1,1,"ppr",8,5,1,0,1,0,0,0,1,8,8,"0.8%"
"9","Carolina Panthers","DST","CAR","2016",1,1,"ppr",9,2,2,1,1,0,0,0,1,8,8,"14.1%"
"10","Arizona Cardinals","DST","ARI","2016",1,1,"ppr",10,2,0,2,2,0,0,0,1,6,6,"12.3%"
"11","Baltimore Ravens","DST","BAL","2016",1,1,"ppr",11,2,0,0,0,0,0,0,1,6,6,"89.6%"
"12","Denver Broncos","DST","DEN","2016",1,1,"ppr",12,3,1,0,0,0,0,0,1,6,6,"38.8%"
"13","Green Bay Packers","DST","GB","2016",1,1,"ppr",13,3,1,0,1,0,0,0,1,5,5,"80.7%"
"14","Pittsburgh Steelers","DST","PIT","2016",1,1,"ppr",14,0,2,0,1,0,0,0,1,5,5,"53.2%"
"15","Dallas Cowboys","DST","DAL","2016",1,1,"ppr",15,2,1,0,1,0,0,0,1,5,5,"90.0%"
"16","Tennessee Titans","DST","TEN","2016",1,1,"ppr",16,0,0,0,0,0,0,0,1,4,4,"26.3%"
"17","Chicago Bears","DST","CHI","2016",1,1,"ppr",17,2,1,0,1,0,0,0,1,4,4,"2.2%"
"18","Los Angeles Chargers","DST","LAC","2016",1,1,"ppr",18,3,1,0,0,0,0,0,1,4,4,"30.2%"
"19","Cincinnati Bengals","DST","CIN","2016",1,1,"ppr",19,1,1,0,0,0,0,0,1,4,4,"31.6%"
"20","Tampa Bay Buccaneers","DST","TB","2016",1,1,"ppr",20,3,0,0,0,0,0,0,1,3,3,"81.2%"
"21","New England Patriots","DST","NE","2016",1,1,"ppr",21,3,0,0,0,0,0,0,1,3,3,"54.0%"
"22","Las Vegas Raiders","DST","LV","2016",1,1,"ppr",22,1,0,1,2,0,0,0,1,2,2,"14.2%"
"23","New York Giants","DST","NYG","2016",1,1,"ppr",23,0,0,0,0,0,0,0,1,1,1,"6.2%"
"24","Los Angeles Rams","DST","LAR","2016",1,1,"ppr",24,0,0,1,2,0,0,0,1,1,1,"34.3%"
"25","Atlanta Falcons","DST","ATL","2016",1,1,"ppr",25,0,1,0,0,0,0,0,1,1,1,"1.7%"
"26","Kansas City Chiefs","DST","KC","2016",1,1,"ppr",26,1,0,0,0,0,0,0,1,1,1,"47.9%"
"27","Jacksonville Jaguars","DST","JAC","2016",1,1,"ppr",27,1,0,0,0,0,0,0,1,1,1,"3.8%"
"28","Cleveland Browns","DST","CLE","2016",1,1,"ppr",28,2,0,0,0,0,0,0,1,1,1,"37.2%"
"29","Detroit Lions","DST","DET","2016",1,1,"ppr",29,2,0,0,0,0,1,0,1,0,0,"2.5%"
"30","Washington Commanders","DST","WAS","2016",1,1,"ppr",30,1,1,0,1,0,0,0,1,-1,-1,"54.8%"
"31","Indianapolis Colts","DST","IND","2016",1,1,"ppr",31,1,0,0,0,0,0,0,1,-3,-3,"52.4%"
"32","New Orleans Saints","DST","NO","2016",1,1,"ppr",32,0,0,0,0,0,0,0,1,-4,-4,"65.3%"
