"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Ty Long","K","FA","2019",4,4,"ppr",1,3,3,100,51,0,0,0,2,1,3,3,1,16,16,"0.7%"
"2","Matt Prater","K","ARI","2019",4,4,"ppr",2,3,3,100,53,0,1,0,1,1,3,3,1,15,15,"14.9%"
"3","Matt Gay","K","LAR","2019",4,4,"ppr",3,2,2,100,58,0,1,0,0,1,7,7,1,15,15,"41.5%"
"4","Josh Lambo","K","FA","2019",4,4,"ppr",4,4,4,100,40,0,1,2,1,0,2,2,1,15,15,"0.0%"
"5","Wil Lutz","K","NO","2019",4,4,"ppr",5,4,4,100,42,1,1,0,2,0,0,0,1,14,14,"8.0%"
"6","Joey Slye","K","WAS","2019",4,4,"ppr",6,3,3,100,55,0,1,0,1,1,1,1,1,13,13,"2.0%"
"7","Greg Zuerlein","K","NYJ","2019",4,4,"ppr",7,2,2,100,58,0,0,0,1,1,4,4,1,13,13,"15.9%"
"8","Harrison Butker","K","KC","2019",4,4,"ppr",8,2,3,66.7,44,0,1,0,1,0,4,4,1,11,11,"91.8%"
"9","Austin Seibert","K","FA","2019",4,4,"ppr",9,2,2,100,43,0,1,0,1,0,4,4,1,11,11,"0.3%"
"10","Eddy Pineiro","K","CAR","2019",4,4,"ppr",10,3,3,100,38,0,1,2,0,0,1,1,1,10,10,"2.2%"
"11","Chris Boswell","K","PIT","2019",4,4,"ppr",11,2,2,100,49,0,1,0,1,0,3,3,1,10,10,"14.1%"
"12","Mason Crosby","K","GB","2019",4,4,"ppr",12,2,2,100,31,0,0,2,0,0,3,3,1,9,9,"3.2%"
"13","Jason Myers","K","SEA","2019",4,4,"ppr",13,2,2,100,33,0,1,1,0,0,3,3,1,9,9,"55.6%"
"14","Daniel Carlson","K","LV","2019",4,4,"ppr",14,1,1,100,26,0,1,0,0,0,4,4,1,7,7,"96.6%"
"15","Cairo Santos","K","CHI","2019",4,4,"ppr",15,1,1,100,45,0,0,0,1,0,3,3,1,7,7,"13.3%"
"16","Aldrick Rosas","K","FA","2019",4,4,"ppr",16,1,1,100,30,0,0,1,0,0,3,3,1,6,6,"0.0%"
"17","Brandon McManus","K","DEN","2019",4,4,"ppr",17,1,1,100,33,0,0,1,0,0,3,3,1,6,6,"36.0%"
"18","Justin Tucker","K","BAL","2019",4,4,"ppr",18,1,1,100,41,0,0,0,1,0,2,2,1,6,6,"99.0%"
"19","Adam Vinatieri","K","FA","2019",4,4,"ppr",19,1,2,50,26,0,1,0,0,0,3,3,1,6,6,"0.2%"
"20","Matt Bryant","K","FA","2019",4,4,"ppr",20,1,2,50,42,0,0,0,1,0,1,1,1,5,5,"1.1%"
"21","Jason Sanders","K","MIA","2019",4,4,"ppr",21,1,3,33.3,30,0,0,1,0,0,1,1,1,4,4,"13.2%"
"22","Zane Gonzalez","K","CAR","2019",4,4,"ppr",22,1,3,33.3,33,0,0,1,0,0,1,1,1,4,4,"0.1%"
"23","Ka'imi Fairbairn","K","HOU","2019",4,4,"ppr",23,1,2,50,37,0,0,1,0,0,1,1,1,4,4,"2.0%"
"24","Jake Elliott","K","PHI","2019",4,4,"ppr",24,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"27.9%"
"25","Brett Maher","K","DAL","2019",4,4,"ppr",25,1,1,100,28,0,1,0,0,0,1,1,1,4,4,"75.1%"
"26","Randy Bullock","K","TEN","2019",4,4,"ppr",26,1,1,100,28,0,1,0,0,0,0,0,1,3,3,"1.5%"
"27","Dustin Hopkins","K","LAC","2019",4,4,"ppr",27,1,1,100,21,0,1,0,0,0,0,0,1,3,3,"2.7%"
"28","Stephen Hauschka","K","FA","2019",4,4,"ppr",28,1,2,50,46,0,0,0,0,0,1,1,1,1,1,"0.0%"
"29","Stephen Gostkowski","K","FA","2019",4,4,"ppr",29,1,1,100,23,0,0,0,0,0,1,2,1,1,1,"0.0%"
"30","Michael Palardy","K","NE","2019",4,4,"ppr",30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
"31","Dan Bailey","K","FA","2019",4,4,"ppr",31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
