"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"210","Tay Martin","WR","SF","2022",7,7,"ppr","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Kaylon Geiger Sr.","WR","TB","2022",7,7,"ppr","211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Kalil Pimpleton","WR","NYG","2022",7,7,"ppr","212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Jalen Virgil","WR","DEN","2022",7,7,"ppr","213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"214","Stanley Berryhill III","WR","DET","2022",7,7,"ppr","214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Tanner Conner","WR","MIA","2022",7,7,"ppr","215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Velus Jones Jr.","WR","CHI","2022",7,7,"ppr","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"217","Danny Gray","WR","SF","2022",7,7,"ppr","217","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"218","Jalen Nailor","WR","MIN","2022",7,7,"ppr","218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Deven Thompkins","WR","TB","2022",7,7,"ppr","219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Thomas Hennigan","WR","MIN","2022",7,7,"ppr","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Johnny Johnson III","WR","HOU","2022",7,7,"ppr","221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Simi Fehoko","WR","DAL","2022",7,7,"ppr","222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Jacob Harris","WR","LAR","2022",7,7,"ppr","223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Jahan Dotson","WR","WAS","2022",7,7,"ppr","224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.2%"
"225","C.J. Saunders","WR","CAR","2022",7,7,"ppr","225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Dillon Stoner","WR","LV","2022",7,7,"ppr","226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Mike Strachan","WR","IND","2022",7,7,"ppr","227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Austin Trammell","WR","LAR","2022",7,7,"ppr","228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
