"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Dallas Cowboys","DST","DAL","2021",10,10,"ppr",1,2,3,0,1,0,0,1,1,23,23,"90.0%"
"2","Miami Dolphins","DST","MIA","2021",10,10,"ppr",2,4,1,1,2,1,0,0,1,18,18,"25.9%"
"3","Green Bay Packers","DST","GB","2021",10,10,"ppr",3,3,2,0,0,0,0,0,1,17,17,"80.7%"
"4","San Francisco 49ers","DST","SF","2021",10,10,"ppr",4,2,2,0,0,1,0,0,1,16,16,"95.5%"
"5","Philadelphia Eagles","DST","PHI","2021",10,10,"ppr",5,1,0,1,2,1,0,0,1,15,15,"58.2%"
"6","Indianapolis Colts","DST","IND","2021",10,10,"ppr",6,3,0,1,1,0,0,1,1,14,14,"52.4%"
"7","Buffalo Bills","DST","BUF","2021",10,10,"ppr",7,1,4,1,1,0,0,0,1,12,12,"99.0%"
"8","Carolina Panthers","DST","CAR","2021",10,10,"ppr",8,4,1,1,1,0,0,0,1,12,12,"14.1%"
"9","New England Patriots","DST","NE","2021",10,10,"ppr",9,5,1,0,2,0,0,0,1,11,11,"54.0%"
"10","Kansas City Chiefs","DST","KC","2021",10,10,"ppr",10,2,1,1,1,0,0,0,1,7,7,"47.9%"
"11","Detroit Lions","DST","DET","2021",10,10,"ppr",11,0,1,2,2,0,0,0,1,7,7,"2.5%"
"12","Tennessee Titans","DST","TEN","2021",10,10,"ppr",12,4,0,1,0,0,0,0,1,6,6,"26.3%"
"13","Tampa Bay Buccaneers","DST","TB","2021",10,10,"ppr",13,5,0,1,1,0,0,0,1,6,6,"81.2%"
"14","Pittsburgh Steelers","DST","PIT","2021",10,10,"ppr",14,4,0,0,0,0,0,0,1,5,5,"53.2%"
"15","Minnesota Vikings","DST","MIN","2021",10,10,"ppr",15,2,1,0,0,0,0,0,1,5,5,"23.7%"
"16","Washington Commanders","DST","WAS","2021",10,10,"ppr",16,0,2,0,0,0,0,0,1,5,5,"54.8%"
"17","Baltimore Ravens","DST","BAL","2021",10,10,"ppr",17,4,0,0,2,0,0,0,1,5,5,"89.6%"
"18","Denver Broncos","DST","DEN","2021",10,10,"ppr",18,2,1,0,1,0,0,0,1,4,4,"38.8%"
"19","Los Angeles Chargers","DST","LAC","2021",10,10,"ppr",19,2,0,1,1,0,0,0,1,4,4,"30.2%"
"20","Seattle Seahawks","DST","SEA","2021",10,10,"ppr",20,1,1,0,0,0,0,0,1,4,4,"20.5%"
"21","Arizona Cardinals","DST","ARI","2021",10,10,"ppr",21,0,1,1,0,0,0,0,1,3,3,"12.3%"
"22","Jacksonville Jaguars","DST","JAC","2021",10,10,"ppr",22,1,0,0,0,0,0,0,1,2,2,"3.8%"
"23","New Orleans Saints","DST","NO","2021",10,10,"ppr",23,2,0,0,0,0,0,0,1,2,2,"65.3%"
"24","New York Jets","DST","NYJ","2021",10,10,"ppr",24,2,1,1,1,0,0,0,1,2,2,"21.1%"
"25","Los Angeles Rams","DST","LAR","2021",10,10,"ppr",25,1,0,0,0,0,0,0,1,1,1,"34.3%"
"26","Atlanta Falcons","DST","ATL","2021",10,10,"ppr",26,0,0,1,1,0,0,0,1,-2,-2,"1.7%"
"27","Las Vegas Raiders","DST","LV","2021",10,10,"ppr",27,0,0,1,1,0,0,0,1,-2,-2,"14.2%"
"28","Cleveland Browns","DST","CLE","2021",10,10,"ppr",28,2,0,0,0,0,0,0,1,-2,-2,"37.2%"
