"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Josh Allen","QB","BUF","2019",11,11,"ppr","1","21","33","63.6","256","7.8","3","0","0","7","56","1","0","1","33.8","33.8","100.0%"
"2","Lamar Jackson","QB","BAL","2019",11,11,"ppr","2","17","24","70.8","222","9.3","4","0","0","10","79","0","0","1","32.8","32.8","96.8%"
"3","Jimmy Garoppolo","QB","SF","2019",11,11,"ppr","3","34","45","75.6","424","9.4","4","2","2","1","7","0","0","1","31.7","31.7","16.2%"
"4","Dak Prescott","QB","DAL","2019",11,11,"ppr","4","29","46","63.0","444","9.7","3","0","1","6","18","0","0","1","31.6","31.6","93.5%"
"5","Jeff Driskel","QB","HOU","2019",11,11,"ppr","5","15","26","57.7","209","8.0","2","0","3","8","51","1","0","1","27.5","27.5","11.6%"
"6","Kyler Murray","QB","ARI","2019",11,11,"ppr","6","24","33","72.7","150","4.5","2","0","4","8","67","1","0","1","26.7","26.7","62.1%"
"7","Sam Darnold","QB","CAR","2019",11,11,"ppr","7","19","30","63.3","293","9.8","4","1","2","2","-3","0","0","1","26.4","26.4","3.9%"
"8","Kirk Cousins","QB","MIN","2019",11,11,"ppr","8","29","35","82.9","319","9.1","3","0","5","2","1","0","1","1","22.9","22.9","87.8%"
"9","Baker Mayfield","QB","LAR","2019",11,11,"ppr","9","17","32","53.1","193","6.0","2","0","1","1","1","1","0","1","21.8","21.8","6.6%"
"10","Drew Brees","QB","FA","2019",11,11,"ppr","10","28","35","80.0","228","6.5","3","0","0","3","0","0","0","1","21.1","21.1","35.7%"
"11","Derek Carr","QB","LV","2019",11,11,"ppr","11","25","29","86.2","292","10.1","1","1","3","5","1","1","0","1","20.8","20.8","64.3%"
"12","Jameis Winston","QB","NO","2019",11,11,"ppr","12","30","51","58.8","313","6.1","2","4","2","2","23","0","0","1","18.8","18.8","5.6%"
"13","Nick Foles","QB","IND","2019",11,11,"ppr","13","33","47","70.2","296","6.3","2","1","2","0","0","0","0","1","18.8","18.8","0.0%"
"14","Dwayne Haskins","QB","FA","2019",11,11,"ppr","14","19","35","54.3","214","6.1","2","1","6","4","5","0","0","1","18.1","18.1","0.1%"
"15","Matt Ryan","QB","IND","2019",11,11,"ppr","15","21","31","67.7","311","10.0","1","0","3","2","0","0","0","1","16.4","16.4","10.6%"
"16","Patrick Mahomes II","QB","KC","2019",11,11,"ppr","16","19","32","59.4","182","5.7","1","1","1","5","59","0","0","1","16.2","16.2","100.0%"
"17","Philip Rivers","QB","FA","2019",11,11,"ppr","17","28","52","53.8","353","6.8","1","4","2","0","0","0","0","1","16.1","16.1","20.6%"
"18","Jacoby Brissett","QB","CLE","2019",11,11,"ppr","18","15","24","62.5","148","6.2","1","1","3","2","12","1","0","1","16.1","16.1","4.8%"
"19","Brandon Allen","QB","CIN","2019",11,11,"ppr","19","17","39","43.6","240","6.2","1","1","2","3","18","0","0","1","14.4","14.4","0.1%"
"20","Ryan Fitzpatrick","QB","FA","2019",11,11,"ppr","20","32","45","71.1","323","7.2","0","0","7","1","0","0","0","1","12.9","12.9","0.0%"
"21","Carson Wentz","QB","WAS","2019",11,11,"ppr","21","20","40","50.0","214","5.4","1","0","5","3","17","0","1","1","12.3","12.3","6.5%"
"22","Mitch Trubisky","QB","PIT","2019",11,11,"ppr","22","24","43","55.8","190","4.4","1","1","1","1","4","0","0","1","11.0","11.0","0.8%"
"23","Mason Rudolph","QB","PIT","2019",11,11,"ppr","23","23","44","52.3","221","5.0","1","4","4","2","15","0","0","1","10.3","10.3","0.1%"
"24","Kyle Allen","QB","HOU","2019",11,11,"ppr","24","31","50","62.0","325","6.5","0","4","5","1","7","0","0","1","9.7","9.7","0.7%"
"25","Tom Brady","QB","TB","2019",11,11,"ppr","25","26","47","55.3","216","4.6","0","0","1","1","-1","0","0","1","8.5","8.5","86.0%"
"26","Ryan Finley","QB","FA","2019",11,11,"ppr","26","13","31","41.9","115","3.7","0","1","5","3","47","0","1","1","6.3","6.3","0.0%"
"27","Jared Goff","QB","DET","2019",11,11,"ppr","27","11","18","61.1","173","9.6","0","1","0","3","3","0","0","1","6.2","6.2","60.4%"
"28","Deshaun Watson","QB","CLE","2019",11,11,"ppr","28","18","29","62.1","169","5.8","0","1","6","3","12","0","1","1","5.0","5.0","75.7%"
"29","Taysom Hill","QB","NO","2019",11,11,"ppr","29","0","0","0","0","0","0","0","1","1","2","0","0","1","1.4","1.4","45.3%"
"30","Robert Griffin III","QB","FA","2019",11,11,"ppr","30","2","2","100.0","15","7.5","0","0","0","1","-1","0","0","1","0.5","0.5","1.0%"
"31","Chase Daniel","QB","LAC","2019",11,11,"ppr","31","1","4","25.0","9","2.3","0","0","2","0","0","0","0","1","0.4","0.4","0.1%"
"32","AJ McCarron","QB","FA","2019",11,11,"ppr","32","0","1","0.0","0","0.0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"33","Garrett Gilbert","QB","NE","2019",11,11,"ppr","33","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"34","Matt Schaub","QB","FA","2019",11,11,"ppr","34","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"35","Brian Hoyer","QB","NE","2019",11,11,"ppr","35","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.1%"
