"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Ben Roethlisberger","QB","FA","2016",10,10,"ppr","1","37","46","80.4","408","8.9","3","0","1","1","1","0","0","1","28.4","28.4","13.6%"
"2","Marcus Mariota","QB","ATL","2016",10,10,"ppr","2","19","26","73.1","295","11.3","4","0","1","5","0","0","0","1","27.8","27.8","19.4%"
"3","Aaron Rodgers","QB","GB","2016",10,10,"ppr","3","31","51","60.8","371","7.3","2","2","5","3","27","1","0","1","27.5","27.5","75.1%"
"4","Russell Wilson","QB","DEN","2016",10,10,"ppr","4","25","37","67.6","348","9.4","3","0","3","3","6","0","0","1","26.5","26.5","43.7%"
"5","Colin Kaepernick","QB","FA","2016",10,10,"ppr","5","17","30","56.7","210","7.0","1","0","3","10","55","1","0","1","23.9","23.9","0.1%"
"6","Cam Newton","QB","FA","2016",10,10,"ppr","6","23","38","60.5","261","6.9","1","1","2","12","54","1","0","1","23.8","23.8","9.1%"
"7","Joe Flacco","QB","NYJ","2016",10,10,"ppr","7","30","41","73.2","296","7.2","3","2","2","1","3","0","0","1","22.1","22.1","0.3%"
"8","Drew Brees","QB","FA","2016",10,10,"ppr","8","21","29","72.4","303","10.4","3","2","1","2","9","0","0","1","21.0","21.0","35.7%"
"9","Ryan Tannehill","QB","TEN","2016",10,10,"ppr","9","17","24","70.8","240","10.0","2","0","1","3","16","0","0","1","19.2","19.2","28.5%"
"10","Dak Prescott","QB","DAL","2016",10,10,"ppr","10","22","32","68.8","319","10.0","2","0","2","0","0","0","1","1","18.8","18.8","93.5%"
"11","Jameis Winston","QB","NO","2016",10,10,"ppr","11","23","33","69.7","312","9.5","2","1","4","0","0","0","0","1","18.5","18.5","5.6%"
"12","Kirk Cousins","QB","MIN","2016",10,10,"ppr","12","22","33","66.7","262","7.9","2","0","1","1","-1","0","0","1","18.4","18.4","87.8%"
"13","Sam Bradford","QB","FA","2016",10,10,"ppr","13","31","40","77.5","307","7.7","2","1","3","0","0","0","0","1","18.3","18.3","0.0%"
"14","Eli Manning","QB","FA","2016",10,10,"ppr","14","28","44","63.6","240","5.5","3","2","1","3","4","0","0","1","18.0","18.0","2.3%"
"15","Blake Bortles","QB","FA","2016",10,10,"ppr","15","32","49","65.3","265","5.4","2","1","2","3","11","0","1","1","17.7","17.7","0.0%"
"16","Philip Rivers","QB","FA","2016",10,10,"ppr","16","23","44","52.3","326","7.4","3","4","3","0","0","0","0","1","17.0","17.0","20.6%"
"17","Trevor Siemian","QB","CHI","2016",10,10,"ppr","17","25","40","62.5","258","6.5","2","2","6","6","5","0","0","1","14.8","14.8","0.1%"
"18","Carson Palmer","QB","FA","2016",10,10,"ppr","18","30","49","61.2","376","7.7","1","2","2","1","16","0","1","1","14.6","14.6","5.6%"
"19","Brock Osweiler","QB","FA","2016",10,10,"ppr","19","14","27","51.9","99","3.7","2","0","1","3","23","0","0","1","14.3","14.3","0.0%"
"20","Matt Ryan","QB","IND","2016",10,10,"ppr","20","18","33","54.5","267","8.1","1","1","2","0","0","0","0","1","12.7","12.7","10.6%"
"21","Andy Dalton","QB","NO","2016",10,10,"ppr","21","16","29","55.2","204","7.0","1","1","3","1","15","0","0","1","11.7","11.7","12.2%"
"22","Tom Brady","QB","TB","2016",10,10,"ppr","22","23","32","71.9","316","9.9","0","1","2","5","7","0","0","1","11.3","11.3","86.0%"
"23","Bryce Petty","QB","FA","2016",10,10,"ppr","23","19","32","59.4","163","5.1","1","1","1","0","0","0","0","1","8.5","8.5","0.0%"
"24","Alex Smith","QB","FA","2016",10,10,"ppr","24","25","38","65.8","178","4.7","0","1","3","4","13","0","0","1","8.4","8.4","5.0%"
"25","Carson Wentz","QB","WAS","2016",10,10,"ppr","25","25","36","69.4","231","6.4","0","0","2","4","10","0","1","1","8.2","8.2","6.5%"
"26","Cody Kessler","QB","FA","2016",10,10,"ppr","26","11","18","61.1","91","5.1","1","0","1","1","3","0","0","1","7.9","7.9","0.1%"
"27","Case Keenum","QB","BUF","2016",10,10,"ppr","27","17","30","56.7","165","5.5","0","0","3","5","11","0","0","1","7.7","7.7","0.4%"
"28","Jay Cutler","QB","FA","2016",10,10,"ppr","28","16","30","53.3","182","6.1","1","2","4","1","7","0","1","1","6.0","6.0","0.2%"
"29","Brett Hundley","QB","BAL","2016",10,10,"ppr","29","1","4","25.0","8","2.0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"30","Kevin Hogan","QB","TEN","2016",10,10,"ppr","30","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.0%"
"31","Landry Jones","QB","FA","2016",10,10,"ppr","31","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"32","Mike Glennon","QB","FA","2016",10,10,"ppr","32","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"33","Kellen Clemens","QB","FA","2016",10,10,"ppr","33","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"34","Joe Webb III","QB","FA","2016",10,10,"ppr","34","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Ryan Mallett","QB","FA","2016",10,10,"ppr","35","0","0","0","0","0","0","0","0","2","-3","0","0","1","-0.3","-0.3","0.0%"
