"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Tyler Huntley","QB","BAL","2021",15,15,"ppr","1","28","40","70.0","215","5.4","2","0","1","13","73","2","0","1","35.9","35.9","22.0%"
"2","Patrick Mahomes II","QB","KC","2021",15,15,"ppr","2","31","47","66.0","410","8.7","3","1","1","3","32","0","1","1","30.6","30.6","100.0%"
"3","Jalen Hurts","QB","PHI","2021",15,15,"ppr","3","20","26","76.9","296","11.4","1","1","3","8","38","2","1","1","28.6","28.6","99.9%"
"4","Cam Newton","QB","FA","2021",15,15,"ppr","4","18","38","47.4","156","4.1","1","1","4","15","71","1","0","1","24.3","24.3","9.1%"
"5","Justin Herbert","QB","LAC","2021",15,15,"ppr","5","22","38","57.9","236","6.2","2","1","0","5","16","1","0","1","24.0","24.0","98.8%"
"6","Aaron Rodgers","QB","GB","2021",15,15,"ppr","6","23","31","74.2","268","8.6","3","0","3","4","11","0","0","1","23.8","23.8","75.1%"
"7","Josh Allen","QB","BUF","2021",15,15,"ppr","7","19","34","55.9","210","6.2","3","1","4","3","24","0","0","1","21.8","21.8","100.0%"
"8","Jared Goff","QB","DET","2021",15,15,"ppr","8","21","26","80.8","216","8.3","3","0","2","0","0","0","0","1","20.6","20.6","60.4%"
"9","Mac Jones","QB","NE","2021",15,15,"ppr","9","26","45","57.8","299","6.6","2","2","1","1","12","0","0","1","19.2","19.2","14.1%"
"10","Justin Fields","QB","CHI","2021",15,15,"ppr","10","26","39","66.7","285","7.3","1","0","3","7","35","0","1","1","16.9","16.9","95.3%"
"11","Matthew Stafford","QB","LAR","2021",15,15,"ppr","11","21","29","72.4","244","8.4","2","1","4","3","-3","0","0","1","16.5","16.5","29.7%"
"12","Tua Tagovailoa","QB","MIA","2021",15,15,"ppr","12","16","27","59.3","196","7.3","2","2","1","7","19","0","0","1","15.7","15.7","94.7%"
"13","Davis Mills","QB","HOU","2021",15,15,"ppr","13","19","30","63.3","209","7.0","2","1","1","1","2","0","0","1","15.6","15.6","3.4%"
"14","Jimmy Garoppolo","QB","SF","2021",15,15,"ppr","14","18","23","78.3","235","10.2","1","0","0","3","4","0","0","1","13.8","13.8","16.2%"
"15","Kyler Murray","QB","ARI","2021",15,15,"ppr","15","23","41","56.1","257","6.3","1","1","2","4","3","0","0","1","13.6","13.6","62.1%"
"16","Matt Ryan","QB","IND","2021",15,15,"ppr","16","19","32","59.4","236","7.4","1","0","3","5","20","0","1","1","13.4","13.4","10.6%"
"17","Joe Burrow","QB","CIN","2021",15,15,"ppr","17","15","22","68.2","157","7.1","1","0","3","5","25","0","0","1","12.8","12.8","99.4%"
"18","Zach Wilson","QB","NYJ","2021",15,15,"ppr","18","13","23","56.5","170","7.4","0","0","6","4","12","1","1","1","12.0","12.0","5.7%"
"19","Ben Roethlisberger","QB","FA","2021",15,15,"ppr","19","16","25","64.0","148","5.9","0","0","3","3","0","1","0","1","11.9","11.9","13.6%"
"20","Kirk Cousins","QB","MIN","2021",15,15,"ppr","20","12","24","50.0","87","3.6","2","1","4","2","10","0","0","1","11.5","11.5","87.8%"
"21","Derek Carr","QB","LV","2021",15,15,"ppr","21","25","38","65.8","236","6.2","1","1","2","3","7","0","1","1","11.1","11.1","64.3%"
"22","Ryan Tannehill","QB","TEN","2021",15,15,"ppr","22","23","32","71.9","153","4.8","0","1","4","5","18","1","1","1","10.9","10.9","28.5%"
"23","Dak Prescott","QB","DAL","2021",15,15,"ppr","23","28","37","75.7","217","5.9","1","0","3","2","-1","0","1","1","10.6","10.6","93.5%"
"24","Trevor Lawrence","QB","JAC","2021",15,15,"ppr","24","22","38","57.9","210","5.5","0","0","3","5","21","0","0","1","10.5","10.5","75.8%"
"25","Nick Mullens","QB","MIN","2021",15,15,"ppr","25","20","30","66.7","147","4.9","1","0","0","0","0","0","0","1","9.9","9.9","0.0%"
"26","Taysom Hill","QB","NO","2021",15,15,"ppr","26","13","27","48.1","154","5.7","0","0","2","11","33","0","0","1","9.5","9.5","45.3%"
"27","Garrett Gilbert","QB","NE","2021",15,15,"ppr","27","20","31","64.5","194","6.3","0","0","2","0","0","0","0","1","7.8","7.8","0.0%"
"28","Carson Wentz","QB","WAS","2021",15,15,"ppr","28","5","12","41.7","57","4.8","1","1","1","8","17","0","0","1","7.0","7.0","6.5%"
"29","Tom Brady","QB","TB","2021",15,15,"ppr","29","26","48","54.2","214","4.5","0","1","4","1","2","0","1","1","5.8","5.8","86.0%"
"30","Drew Lock","QB","SEA","2021",15,15,"ppr","30","6","12","50.0","88","7.3","1","0","1","1","-2","0","1","1","5.3","5.3","0.2%"
"31","Russell Wilson","QB","DEN","2021",15,15,"ppr","31","17","31","54.8","156","5.0","0","1","3","0","0","0","0","1","5.2","5.2","43.7%"
"32","Teddy Bridgewater","QB","MIA","2021",15,15,"ppr","32","12","22","54.5","98","4.5","0","0","2","3","10","0","0","1","4.9","4.9","0.6%"
"33","Jake Fromm","QB","WAS","2021",15,15,"ppr","33","6","12","50.0","82","6.8","0","0","1","0","0","0","0","1","3.3","3.3","1.0%"
"34","Colt McCoy","QB","ARI","2021",15,15,"ppr","34","6","9","66.7","56","6.2","0","0","0","1","3","0","0","1","2.5","2.5","2.3%"
"35","Mike Glennon","QB","FA","2021",15,15,"ppr","35","13","24","54.2","99","4.1","0","3","0","1","0","0","0","1","1.0","1.0","1.0%"
