"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Dallas Cowboys","DST","DAL","2020",15,15,"ppr",1,2,2,2,1,0,0,1,1,15,15,"90.0%"
"2","Buffalo Bills","DST","BUF","2020",15,15,"ppr",2,3,0,1,1,1,0,0,1,12,12,"99.0%"
"3","Arizona Cardinals","DST","ARI","2020",15,15,"ppr",3,6,0,0,3,0,1,0,1,10,10,"12.3%"
"4","Baltimore Ravens","DST","BAL","2020",15,15,"ppr",4,5,0,1,1,0,1,0,1,10,10,"89.6%"
"5","Indianapolis Colts","DST","IND","2020",15,15,"ppr",5,5,0,2,3,0,0,0,1,10,10,"52.4%"
"6","Seattle Seahawks","DST","SEA","2020",15,15,"ppr",6,4,2,0,1,0,0,0,1,9,9,"20.5%"
"7","Miami Dolphins","DST","MIA","2020",15,15,"ppr",7,3,0,1,3,0,0,0,1,9,9,"25.9%"
"8","Cleveland Browns","DST","CLE","2020",15,15,"ppr",8,1,0,0,0,0,0,0,1,8,8,"37.2%"
"9","Cincinnati Bengals","DST","CIN","2020",15,15,"ppr",9,1,1,2,2,0,0,0,1,8,8,"31.6%"
"10","New York Jets","DST","NYJ","2020",15,15,"ppr",10,3,1,0,0,0,0,0,1,8,8,"21.1%"
"11","New Orleans Saints","DST","NO","2020",15,15,"ppr",11,4,0,1,1,0,1,0,1,7,7,"65.3%"
"12","Green Bay Packers","DST","GB","2020",15,15,"ppr",12,3,0,1,2,0,0,0,1,6,6,"80.7%"
"13","Philadelphia Eagles","DST","PHI","2020",15,15,"ppr",13,1,1,2,2,0,0,0,1,6,6,"58.2%"
"14","Tennessee Titans","DST","TEN","2020",15,15,"ppr",14,0,1,2,2,0,0,0,1,6,6,"26.3%"
"15","Chicago Bears","DST","CHI","2020",15,15,"ppr",15,3,1,0,1,0,0,0,1,5,5,"2.2%"
"16","Carolina Panthers","DST","CAR","2020",15,15,"ppr",16,5,0,0,0,0,0,0,1,5,5,"14.1%"
"17","New England Patriots","DST","NE","2020",15,15,"ppr",17,2,1,0,0,0,0,0,1,4,4,"54.0%"
"18","Tampa Bay Buccaneers","DST","TB","2020",15,15,"ppr",18,3,0,0,0,0,0,0,1,3,3,"81.2%"
"19","Los Angeles Chargers","DST","LAC","2020",15,15,"ppr",19,1,1,0,0,0,0,0,1,3,3,"30.2%"
"20","Washington Commanders","DST","WAS","2020",15,15,"ppr",20,0,1,0,0,0,0,0,1,3,3,"54.8%"
"21","New York Giants","DST","NYG","2020",15,15,"ppr",21,1,0,0,0,0,0,0,1,2,2,"6.2%"
"22","Pittsburgh Steelers","DST","PIT","2020",15,15,"ppr",22,2,0,0,0,0,0,0,1,2,2,"53.2%"
"23","Minnesota Vikings","DST","MIN","2020",15,15,"ppr",23,1,1,0,0,0,0,0,1,2,2,"23.7%"
"24","Atlanta Falcons","DST","ATL","2020",15,15,"ppr",24,3,0,0,1,0,0,0,1,2,2,"1.7%"
"25","Los Angeles Rams","DST","LAR","2020",15,15,"ppr",25,2,0,0,1,0,0,0,1,2,2,"34.3%"
"26","Kansas City Chiefs","DST","KC","2020",15,15,"ppr",26,1,1,0,0,0,0,0,1,2,2,"47.9%"
"27","Houston Texans","DST","HOU","2020",15,15,"ppr",27,1,0,0,0,0,0,0,1,1,1,"0.8%"
"28","Las Vegas Raiders","DST","LV","2020",15,15,"ppr",28,1,0,0,1,0,0,0,1,0,0,"14.2%"
"29","Detroit Lions","DST","DET","2020",15,15,"ppr",29,1,0,0,0,0,1,0,1,-1,-1,"2.5%"
"30","Jacksonville Jaguars","DST","JAC","2020",15,15,"ppr",30,1,1,0,2,0,0,0,1,-1,-1,"3.8%"
"31","Denver Broncos","DST","DEN","2020",15,15,"ppr",31,1,0,1,1,0,0,0,1,-1,-1,"38.8%"
"32","San Francisco 49ers","DST","SF","2020",15,15,"ppr",32,2,0,0,0,0,0,0,1,-2,-2,"95.5%"
