"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Dalvin Cook","RB","MIN","2021",14,14,"ppr","1","27","205","7.6","30","4","2","1","3","17","17.0","0","0","1","35.2","35.2","100.0%"
"2","James Conner","RB","ARI","2021",14,14,"ppr","2","13","31","2.4","13","0","2","9","9","94","10.4","0","0","1","33.5","33.5","97.8%"
"3","Rashaad Penny","RB","SEA","2021",14,14,"ppr","3","16","137","8.6","47","5","2","1","1","1","1.0","0","0","1","26.8","26.8","15.7%"
"4","Najee Harris","RB","PIT","2021",14,14,"ppr","4","20","94","4.7","23","1","1","3","3","10","3.3","1","0","1","25.4","25.4","97.4%"
"5","Alvin Kamara","RB","NO","2021",14,14,"ppr","5","27","120","4.4","16","0","1","4","5","25","6.3","0","0","1","24.5","24.5","99.3%"
"6","Leonard Fournette","RB","TB","2021",14,14,"ppr","6","19","113","5.9","47","4","1","4","7","19","4.8","0","0","1","23.2","23.2","96.9%"
"7","Melvin Gordon III","RB","KC","2021",14,14,"ppr","7","24","111","4.6","16","0","2","0","0","0","0","0","0","1","23.1","23.1","29.3%"
"8","Aaron Jones","RB","GB","2021",14,14,"ppr","8","5","35","7.0","15","0","1","3","3","30","10.0","1","0","1","21.5","21.5","99.6%"
"9","Javonte Williams","RB","DEN","2021",14,14,"ppr","9","15","73","4.9","9","0","1","1","2","10","10.0","1","0","1","21.3","21.3","24.5%"
"10","Clyde Edwards-Helaire","RB","KC","2021",14,14,"ppr","10","10","37","3.7","7","0","2","3","3","5","1.7","0","0","1","19.2","19.2","40.4%"
"11","Saquon Barkley","RB","NYG","2021",14,14,"ppr","11","16","64","4.0","13","0","0","3","3","31","10.3","1","0","1","18.5","18.5","100.0%"
"12","Derrick Gore","RB","NO","2021",14,14,"ppr","12","9","66","7.3","51","4","1","2","2","23","11.5","0","0","1","16.9","16.9","0.0%"
"13","Austin Ekeler","RB","LAC","2021",14,14,"ppr","13","12","67","5.6","17","0","1","2","4","17","8.5","0","0","1","16.4","16.4","100.0%"
"14","Devin Singletary","RB","BUF","2021",14,14,"ppr","14","4","52","13.0","29","1","0","6","7","37","6.2","0","0","1","14.9","14.9","91.7%"
"15","D'Onta Foreman","RB","CAR","2021",14,14,"ppr","15","13","47","3.6","8","0","1","2","2","15","7.5","0","0","1","14.2","14.2","83.0%"
"16","David Montgomery","RB","CHI","2021",14,14,"ppr","16","10","42","4.2","20","1","0","6","7","39","6.5","0","0","1","14.1","14.1","95.6%"
"17","Cordarrelle Patterson","RB","ATL","2021",14,14,"ppr","17","16","58","3.6","11","0","1","2","5","1","0.5","0","0","1","13.9","13.9","85.6%"
