"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Patrick Mahomes II","QB","KC","2022",1,1,"ppr","1","30","39","76.9","360","9.2","5","0","0","3","5","0","0","1","34.9","34.9","100.0%"
"2","Josh Allen","QB","BUF","2022",1,1,"ppr","2","26","31","83.9","297","9.6","3","2","2","10","56","1","0","1","33.5","33.5","100.0%"
"3","Carson Wentz","QB","WAS","2022",1,1,"ppr","3","27","41","65.9","313","7.6","4","2","1","6","12","0","0","1","29.7","29.7","6.5%"
"4","Jalen Hurts","QB","PHI","2022",1,1,"ppr","4","18","32","56.3","243","7.6","0","0","1","17","90","1","0","1","24.7","24.7","99.9%"
"5","Justin Herbert","QB","LAC","2022",1,1,"ppr","5","26","34","76.5","279","8.2","3","0","0","4","1","0","0","1","23.3","23.3","98.8%"
"6","Joe Burrow","QB","CIN","2022",1,1,"ppr","6","33","53","62.3","338","6.4","2","4","7","6","47","0","1","1","22.2","22.2","99.4%"
"7","Jameis Winston","QB","NO","2022",1,1,"ppr","7","23","34","67.6","269","7.9","2","0","4","2","9","0","0","1","21.7","21.7","5.6%"
"8","Lamar Jackson","QB","BAL","2022",1,1,"ppr","8","17","30","56.7","213","7.1","3","1","2","6","17","0","0","1","21.2","21.2","96.8%"
"9","Kyler Murray","QB","ARI","2022",1,1,"ppr","9","22","34","64.7","193","5.7","2","0","2","5","29","0","0","1","20.6","20.6","62.1%"
"10","Marcus Mariota","QB","ATL","2022",1,1,"ppr","10","20","33","60.6","215","6.5","0","0","0","12","72","1","1","1","19.8","19.8","19.4%"
"11","Ryan Tannehill","QB","TEN","2022",1,1,"ppr","11","20","33","60.6","266","8.1","2","0","1","2","7","0","0","1","19.3","19.3","28.5%"
"12","Kirk Cousins","QB","MIN","2022",1,1,"ppr","12","23","32","71.9","277","8.7","2","0","1","0","0","0","0","1","19.1","19.1","87.8%"
"13","Baker Mayfield","QB","LAR","2022",1,1,"ppr","13","16","27","59.3","235","8.7","1","1","4","5","6","1","0","1","19.0","19.0","6.6%"
"14","Russell Wilson","QB","DEN","2022",1,1,"ppr","14","29","42","69.0","340","8.1","1","0","2","1","2","0","0","1","17.8","17.8","43.7%"
"15","Geno Smith","QB","SEA","2022",1,1,"ppr","15","23","28","82.1","195","7.0","2","0","2","6","14","0","0","1","17.2","17.2","87.0%"
"16","Daniel Jones","QB","NYG","2022",1,1,"ppr","16","17","21","81.0","188","9.0","2","1","5","6","25","0","1","1","17.0","17.0","58.2%"
"17","Derek Carr","QB","LV","2022",1,1,"ppr","17","22","37","59.5","295","8.0","2","3","5","0","0","0","0","1","16.8","16.8","64.3%"
"18","Jared Goff","QB","DET","2022",1,1,"ppr","18","21","37","56.8","215","5.8","2","1","1","2","9","0","0","1","16.5","16.5","60.4%"
"19","Matt Ryan","QB","IND","2022",1,1,"ppr","19","32","50","64.0","352","7.0","1","1","2","4","12","0","1","1","16.3","16.3","10.6%"
"20","Davis Mills","QB","HOU","2022",1,1,"ppr","20","23","37","62.2","240","6.5","2","0","3","2","-1","0","1","1","15.5","15.5","3.4%"
"21","Joe Flacco","QB","NYJ","2022",1,1,"ppr","21","37","59","62.7","309","5.2","1","1","3","1","0","0","0","1","15.4","15.4","0.3%"
"22","Tua Tagovailoa","QB","MIA","2022",1,1,"ppr","22","23","33","69.7","270","8.2","1","0","3","2","0","0","0","1","14.8","14.8","94.7%"
"23","Justin Fields","QB","CHI","2022",1,1,"ppr","23","8","17","47.1","121","7.1","2","1","2","11","28","0","0","1","14.6","14.6","95.3%"
"24","Trevor Lawrence","QB","JAC","2022",1,1,"ppr","24","24","42","57.1","275","6.5","1","1","2","2","4","0","0","1","14.4","14.4","75.8%"
"25","Mitch Trubisky","QB","PIT","2022",1,1,"ppr","25","21","38","55.3","194","5.1","1","0","1","3","9","0","0","1","12.7","12.7","0.8%"
"26","Tom Brady","QB","TB","2022",1,1,"ppr","26","18","27","66.7","212","7.9","1","1","2","2","-1","0","0","1","11.4","11.4","86.0%"
"27","Trey Lance","QB","SF","2022",1,1,"ppr","27","13","28","46.4","164","5.9","0","1","2","13","54","0","0","1","11.0","11.0","15.3%"
