"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Andrew Luck","QB","FA","2016",7,7,"ppr","1","27","39","69.2","353","9.1","3","0","2","5","17","0","0","1","27.8","27.8","2.2%"
"2","Drew Brees","QB","FA","2016",7,7,"ppr","2","37","48","77.1","367","7.6","3","1","1","0","0","0","0","1","24.7","24.7","35.7%"
"3","Tyrod Taylor","QB","NYG","2016",7,7,"ppr","3","14","28","50.0","221","7.9","1","0","4","7","35","1","0","1","24.3","24.3","0.1%"
"4","Aaron Rodgers","QB","GB","2016",7,7,"ppr","4","39","56","69.6","326","5.8","3","0","2","2","7","0","1","1","23.7","23.7","75.1%"
"5","Kirk Cousins","QB","MIN","2016",7,7,"ppr","5","30","39","76.9","301","7.7","1","0","2","3","15","1","1","1","21.5","21.5","87.8%"
"6","Jameis Winston","QB","NO","2016",7,7,"ppr","6","21","30","70.0","269","9.0","3","1","2","1","-1","0","0","1","20.7","20.7","5.6%"
"7","Andy Dalton","QB","NO","2016",7,7,"ppr","7","19","28","67.9","308","11.0","2","0","3","0","0","0","0","1","20.3","20.3","12.2%"
"8","Tom Brady","QB","TB","2016",7,7,"ppr","8","19","26","73.1","222","8.5","2","0","0","5","13","0","0","1","18.2","18.2","86.0%"
"9","Matthew Stafford","QB","LAR","2016",7,7,"ppr","9","18","29","62.1","266","9.2","1","0","3","2","32","0","0","1","17.8","17.8","29.7%"
"10","Alex Smith","QB","FA","2016",7,7,"ppr","10","17","24","70.8","214","8.9","2","0","0","4","7","0","0","1","17.3","17.3","5.0%"
"11","Marcus Mariota","QB","ATL","2016",7,7,"ppr","11","22","37","59.5","232","6.3","2","0","3","2","14","0","1","1","16.7","16.7","19.4%"
"12","Kevin Hogan","QB","TEN","2016",7,7,"ppr","12","12","24","50.0","100","4.2","0","2","2","7","104","1","0","1","16.4","16.4","0.0%"
"13","Ryan Tannehill","QB","TEN","2016",7,7,"ppr","13","15","25","60.0","204","8.2","1","0","1","6","21","0","0","1","16.3","16.3","28.5%"
"14","Philip Rivers","QB","FA","2016",7,7,"ppr","14","27","44","61.4","371","8.4","1","1","4","1","-2","0","1","1","14.6","14.6","20.6%"
"15","Carson Palmer","QB","FA","2016",7,7,"ppr","15","29","49","59.2","342","7.0","0","0","4","1","8","0","0","1","14.5","14.5","5.6%"
"16","Colin Kaepernick","QB","FA","2016",7,7,"ppr","16","16","34","47.1","143","4.2","1","1","4","9","84","0","1","1","14.1","14.1","0.1%"
"17","Matt Ryan","QB","IND","2016",7,7,"ppr","17","22","34","64.7","273","8.0","1","1","3","3","8","0","0","1","13.7","13.7","10.6%"
"18","Landry Jones","QB","FA","2016",7,7,"ppr","18","29","47","61.7","281","6.0","1","1","0","0","0","0","0","1","13.2","13.2","0.0%"
"19","Blake Bortles","QB","FA","2016",7,7,"ppr","19","23","43","53.5","246","5.7","1","2","1","5","33","0","0","1","13.1","13.1","0.0%"
"20","Derek Carr","QB","LV","2016",7,7,"ppr","20","23","37","62.2","200","5.4","1","0","0","4","4","0","0","1","12.4","12.4","64.3%"
"21","Trevor Siemian","QB","CHI","2016",7,7,"ppr","21","14","25","56.0","157","6.3","1","0","0","1","-1","0","0","1","10.2","10.2","0.1%"
"22","Russell Wilson","QB","DEN","2016",7,7,"ppr","22","24","37","64.9","225","6.1","0","0","1","1","-2","0","0","1","9.7","9.7","43.7%"
"23","Ryan Fitzpatrick","QB","FA","2016",7,7,"ppr","23","9","14","64.3","120","8.6","1","0","3","1","-1","0","0","1","8.7","8.7","0.0%"
"24","Geno Smith","QB","SEA","2016",7,7,"ppr","24","4","8","50.0","95","11.9","1","0","2","1","7","0","0","1","8.5","8.5","87.0%"
"25","Case Keenum","QB","BUF","2016",7,7,"ppr","25","32","53","60.4","291","5.5","1","4","3","1","3","0","0","1","7.9","7.9","0.4%"
"26","Eli Manning","QB","FA","2016",7,7,"ppr","26","24","37","64.9","196","5.3","0","0","0","2","-2","0","0","1","7.6","7.6","2.3%"
"27","Sam Bradford","QB","FA","2016",7,7,"ppr","27","24","41","58.5","224","5.5","1","1","6","1","-1","0","2","1","6.9","6.9","0.0%"
"28","Carson Wentz","QB","WAS","2016",7,7,"ppr","28","16","28","57.1","138","4.9","1","2","0","5","6","0","1","1","6.1","6.1","6.5%"
"29","Joe Flacco","QB","NYJ","2016",7,7,"ppr","29","25","44","56.8","248","5.6","0","2","2","1","1","0","0","1","6.0","6.0","0.3%"
"30","Brock Osweiler","QB","FA","2016",7,7,"ppr","30","22","41","53.7","131","3.2","0","0","1","3","16","0","1","1","4.8","4.8","0.0%"
"31","Cody Kessler","QB","FA","2016",7,7,"ppr","31","9","11","81.8","82","7.5","0","0","0","1","-2","0","0","1","3.1","3.1","0.1%"
"32","Brian Hoyer","QB","NE","2016",7,7,"ppr","32","4","11","36.4","49","4.5","0","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"33","Kellen Clemens","QB","FA","2016",7,7,"ppr","33","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"34","Matt Barkley","QB","BUF","2016",7,7,"ppr","34","6","15","40.0","81","5.4","0","2","1","1","-1","0","0","1","-0.9","-0.9","0.0%"
