"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Harrison Butker","K","KC","2017",8,8,"ppr",1,5,5,100,51,0,1,1,2,1,2,2,1,21,21,"91.8%"
"2","Matt Prater","K","ARI","2017",8,8,"ppr",2,5,5,100,51,1,0,2,1,1,0,0,1,18,18,"14.9%"
"3","Mike Nugent","K","FA","2017",8,8,"ppr",3,4,5,80,48,0,1,2,1,0,3,3,1,16,16,"1.0%"
"4","Kai Forbath","K","LAR","2017",8,8,"ppr",4,4,4,100,51,0,0,2,1,1,1,2,1,16,16,"3.0%"
"5","Stephen Gostkowski","K","FA","2017",8,8,"ppr",5,4,6,66.7,43,0,2,1,1,0,1,1,1,14,14,"0.0%"
"6","Matt Bryant","K","FA","2017",8,8,"ppr",6,4,4,100,45,0,2,1,1,0,1,1,1,14,14,"1.1%"
"7","Justin Tucker","K","BAL","2017",8,8,"ppr",7,2,3,66.7,55,0,0,0,1,1,4,4,1,13,13,"99.0%"
"8","Blair Walsh","K","FA","2017",8,8,"ppr",8,2,2,100,21,0,2,0,0,0,5,5,1,11,11,"0.1%"
"9","Stephen Hauschka","K","FA","2017",8,8,"ppr",9,2,2,100,44,0,0,1,1,0,4,4,1,11,11,"0.0%"
"10","Adam Vinatieri","K","FA","2017",8,8,"ppr",10,3,3,100,33,0,2,1,0,0,2,2,1,11,11,"0.2%"
"11","Jake Elliott","K","PHI","2017",8,8,"ppr",11,2,2,100,51,0,0,0,1,1,1,3,1,10,10,"27.9%"
"12","Chandler Catanzaro","K","FA","2017",8,8,"ppr",12,2,4,50,46,0,0,0,2,0,2,2,1,10,10,"0.0%"
"13","Wil Lutz","K","NO","2017",8,8,"ppr",13,2,2,100,49,0,0,0,2,0,2,2,1,10,10,"8.0%"
"14","Chris Boswell","K","PIT","2017",8,8,"ppr",14,2,2,100,38,0,0,2,0,0,2,2,1,8,8,"14.1%"
"15","Nick Rose","K","FA","2017",8,8,"ppr",15,2,3,66.7,42,0,0,1,1,0,1,2,1,8,8,"0.0%"
"16","Ka'imi Fairbairn","K","HOU","2017",8,8,"ppr",16,1,1,100,31,0,0,1,0,0,5,5,1,8,8,"2.0%"
"17","Brandon McManus","K","DEN","2017",8,8,"ppr",17,2,2,100,34,0,1,1,0,0,1,1,1,7,7,"36.0%"
"18","Connor Barth","K","FA","2017",8,8,"ppr",18,2,3,66.7,44,0,1,0,1,0,0,0,1,7,7,"0.0%"
"19","Randy Bullock","K","TEN","2017",8,8,"ppr",19,1,2,50,29,0,1,0,0,0,3,3,1,6,6,"1.5%"
"20","Robbie Gould","K","SF","2017",8,8,"ppr",20,1,2,50,50,0,0,0,0,1,1,1,1,6,6,"42.9%"
"21","Graham Gano","K","NYG","2017",8,8,"ppr",21,1,1,100,28,0,1,0,0,0,2,2,1,5,5,"61.0%"
"22","Zane Gonzalez","K","CAR","2017",8,8,"ppr",22,1,2,50,23,0,1,0,0,0,1,2,1,4,4,"0.1%"
"23","Patrick Murray","K","FA","2017",8,8,"ppr",23,1,1,100,41,0,0,0,1,0,0,0,1,4,4,"1.0%"
"24","Giorgio Tavecchio","K","FA","2017",8,8,"ppr",24,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"1.0%"
"25","Nick Novak","K","FA","2017",8,8,"ppr",25,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"0.1%"
"26","Cody Parkey","K","FA","2017",8,8,"ppr",26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"27","Michael Palardy","K","NE","2017",8,8,"ppr",27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
