"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Harrison Butker","K","KC","2017",16,16,"ppr",1,5,6,83.3,49,0,2,2,1,0,2,2,1,18,18,"91.8%"
"2","Randy Bullock","K","TEN","2017",16,16,"ppr",2,4,4,100,51,0,2,1,0,1,2,2,1,16,16,"1.5%"
"3","Dan Bailey","K","FA","2017",16,16,"ppr",3,4,6,66.7,51,0,0,2,0,2,0,0,1,16,16,"0.0%"
"4","Stephen Gostkowski","K","FA","2017",16,16,"ppr",4,3,3,100,40,0,1,1,1,0,4,4,1,14,14,"0.0%"
"5","Patrick Murray","K","FA","2017",16,16,"ppr",5,4,5,80,41,0,2,1,1,0,1,1,1,14,14,"1.0%"
"6","Wil Lutz","K","NO","2017",16,16,"ppr",6,3,3,100,45,0,1,0,2,0,2,2,1,13,13,"8.0%"
"7","Justin Tucker","K","BAL","2017",16,16,"ppr",7,3,3,100,39,0,0,3,0,0,2,2,1,11,11,"99.0%"
"8","Stephen Hauschka","K","FA","2017",16,16,"ppr",8,3,4,75,41,0,1,1,1,0,1,1,1,11,11,"0.0%"
"9","Kai Forbath","K","LAR","2017",16,16,"ppr",9,3,3,100,49,0,2,0,1,0,1,1,1,11,11,"3.0%"
"10","Ryan Succop","K","TB","2017",16,16,"ppr",10,3,4,75,37,0,2,1,0,0,2,2,1,11,11,"34.3%"
"11","Adam Vinatieri","K","FA","2017",16,16,"ppr",11,3,5,60,48,0,0,2,1,0,1,1,1,11,11,"0.2%"
"12","Chris Boswell","K","PIT","2017",16,16,"ppr",12,2,2,100,36,0,0,2,0,0,4,4,1,10,10,"14.1%"
"13","Graham Gano","K","NYG","2017",16,16,"ppr",13,3,3,100,30,0,2,1,0,0,1,2,1,10,10,"61.0%"
"14","Dustin Hopkins","K","LAC","2017",16,16,"ppr",14,2,2,100,29,0,2,0,0,0,3,3,1,9,9,"2.7%"
"15","Jake Elliott","K","PHI","2017",16,16,"ppr",15,2,3,66.7,48,0,0,1,1,0,1,1,1,8,8,"27.9%"
"16","Robbie Gould","K","SF","2017",16,16,"ppr",16,1,1,100,27,0,1,0,0,0,5,6,1,8,8,"42.9%"
"17","Matt Bryant","K","FA","2017",16,16,"ppr",17,2,2,100,48,0,0,1,1,0,1,1,1,8,8,"1.1%"
"18","Cody Parkey","K","FA","2017",16,16,"ppr",18,2,3,66.7,44,0,1,0,1,0,1,1,1,8,8,"0.0%"
"19","Josh Lambo","K","FA","2017",16,16,"ppr",19,1,1,100,45,0,0,0,1,0,2,3,1,6,6,"0.0%"
"20","Matt Prater","K","ARI","2017",16,16,"ppr",20,1,2,50,23,0,1,0,0,0,2,2,1,5,5,"14.9%"
"21","Phil Dawson","K","FA","2017",16,16,"ppr",21,1,1,100,21,0,1,0,0,0,2,3,1,5,5,"0.1%"
"22","Giorgio Tavecchio","K","FA","2017",16,16,"ppr",22,1,2,50,25,0,1,0,0,0,1,1,1,4,4,"1.0%"
"23","Zane Gonzalez","K","CAR","2017",16,16,"ppr",23,1,1,100,48,0,0,0,1,0,0,0,1,4,4,"0.1%"
"24","Sam Ficken","K","DET","2017",16,16,"ppr",24,0,1,0,0,0,0,0,0,0,3,4,1,3,3,"0.0%"
"25","Brandon McManus","K","DEN","2017",16,16,"ppr",25,1,1,100,31,0,0,1,0,0,0,0,1,3,3,"36.0%"
"26","Blair Walsh","K","FA","2017",16,16,"ppr",26,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"0.1%"
"27","Nick Rose","K","FA","2017",16,16,"ppr",27,0,1,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"28","Mike Nugent","K","FA","2017",16,16,"ppr",28,0,0,0,0,0,0,0,0,0,2,3,1,2,2,"1.0%"
"29","Chandler Catanzaro","K","FA","2017",16,16,"ppr",29,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0.0%"
"30","Ka'imi Fairbairn","K","HOU","2017",16,16,"ppr",30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2.0%"
"31","Aldrick Rosas","K","FA","2017",16,16,"ppr",31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"32","Mason Crosby","K","GB","2017",16,16,"ppr",32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"3.2%"
"33","Michael Palardy","K","NE","2017",16,16,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
