"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Travis Kelce","TE","KC","2021",15,15,"ppr","1","10","13","191","19.1","69","7","2","0","0","0","0","1","41.1","41.1","100.0%"
"2","Mark Andrews","TE","BAL","2021",15,15,"ppr","2","10","13","136","13.6","43","4","2","0","0","0","0","1","35.6","35.6","99.9%"
"3","Hunter Henry","TE","NE","2021",15,15,"ppr","3","6","8","77","12.8","25","1","2","0","0","0","0","1","25.7","25.7","38.7%"
"4","Dalton Schultz","TE","DAL","2021",15,15,"ppr","4","8","8","67","8.4","15","0","1","0","0","0","0","1","20.7","20.7","96.1%"
"5","Dallas Goedert","TE","PHI","2021",15,15,"ppr","5","7","9","135","19.3","45","5","0","0","0","0","0","1","20.5","20.5","88.2%"
"6","George Kittle","TE","SF","2021",15,15,"ppr","6","6","6","93","15.5","28","2","0","0","0","0","0","1","15.3","15.3","98.9%"
"7","Foster Moreau","TE","LV","2021",15,15,"ppr","7","7","9","65","9.3","14","0","0","0","0","0","0","1","13.5","13.5","29.1%"
"8","Zach Ertz","TE","ARI","2021",15,15,"ppr","8","6","11","74","12.3","20","1","0","0","0","0","0","1","13.4","13.4","32.6%"
"9","Cole Kmet","TE","CHI","2021",15,15,"ppr","9","6","9","71","11.8","23","1","0","0","0","0","0","1","13.1","13.1","69.3%"
"10","Kyle Pitts","TE","ATL","2021",15,15,"ppr","10","4","7","77","19.3","49","3","0","0","0","0","0","1","11.7","11.7","41.3%"
"11","Noah Fant","TE","SEA","2021",15,15,"ppr","11","5","6","57","11.4","28","1","0","0","0","0","0","1","10.7","10.7","30.3%"
"12","Gerald Everett","TE","LAC","2021",15,15,"ppr","12","4","4","60","15.0","34","2","0","0","0","0","0","1","10.0","10.0","84.7%"
"13","James O'Shaughnessy","TE","MIN","2021",15,15,"ppr","13","4","4","60","15.0","30","2","0","0","0","0","0","1","10.0","10.0","0.0%"
"14","Mike Gesicki","TE","MIA","2021",15,15,"ppr","14","5","8","43","8.6","20","1","0","0","0","0","0","1","9.3","9.3","37.4%"
"15","Harrison Bryant","TE","CLE","2021",15,15,"ppr","15","2","2","11","5.5","6","0","1","0","0","0","0","1","9.1","9.1","2.2%"
"16","Jesper Horsted","TE","LV","2021",15,15,"ppr","16","1","1","19","19.0","19","0","1","0","0","0","0","1","8.9","8.9","0.0%"
"17","Albert Okwuegbunam","TE","DEN","2021",15,15,"ppr","17","3","4","58","19.3","24","2","0","0","0","0","0","1","8.8","8.8","6.1%"
"18","Dawson Knox","TE","BUF","2021",15,15,"ppr","18","4","5","38","9.5","15","0","0","0","0","0","0","1","7.8","7.8","74.4%"
"19","Pat Freiermuth","TE","PIT","2021",15,15,"ppr","19","4","4","37","9.3","14","0","0","0","0","0","0","1","7.7","7.7","93.9%"
"20","Evan Engram","TE","JAC","2021",15,15,"ppr","20","4","5","33","8.3","15","0","0","0","0","0","0","1","7.3","7.3","68.5%"
"21","Marcedes Lewis","TE","GB","2021",15,15,"ppr","21","3","3","40","13.3","23","1","0","0","0","0","0","1","7.0","7.0","0.1%"
"22","Ricky Seals-Jones","TE","FA","2021",15,15,"ppr","22","4","7","29","7.3","12","0","0","0","0","0","0","1","6.9","6.9","0.0%"
"23","Jared Cook","TE","FA","2021",15,15,"ppr","23","3","7","32","10.7","15","0","0","0","0","0","0","1","6.2","6.2","0.0%"
"24","David Njoku","TE","CLE","2021",15,15,"ppr","24","3","5","29","9.7","13","0","0","0","0","0","0","1","5.9","5.9","87.0%"
"25","Ryan Griffin","TE","CHI","2021",15,15,"ppr","25","2","2","39","19.5","23","1","0","0","0","0","0","1","5.9","5.9","0.0%"
"26","Tyler Kroft","TE","SF","2021",15,15,"ppr","26","2","2","35","17.5","24","1","0","0","0","0","0","1","5.5","5.5","0.0%"
"27","Rob Gronkowski","TE","FA","2021",15,15,"ppr","27","2","11","29","14.5","19","0","0","0","0","0","0","1","4.9","4.9","1.0%"
"28","C.J. Uzomah","TE","NYJ","2021",15,15,"ppr","28","3","4","18","6.0","8","0","0","0","0","0","0","1","4.8","4.8","0.3%"
"29","Josiah Deguara","TE","GB","2021",15,15,"ppr","29","3","5","16","5.3","9","0","0","0","0","0","0","1","4.6","4.6","0.1%"
"30","Jordan Akins","TE","HOU","2021",15,15,"ppr","30","2","3","24","12.0","18","0","0","0","0","0","0","1","4.4","4.4","0.8%"
"31","Cameron Brate","TE","TB","2021",15,15,"ppr","31","2","4","22","11.0","16","0","0","0","0","0","0","1","4.2","4.2","1.6%"
"32","Jeremy Sprinkle","TE","FA","2021",15,15,"ppr","32","2","2","21","10.5","11","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"33","John Bates","TE","WAS","2021",15,15,"ppr","33","1","1","29","29.0","29","1","0","0","0","0","0","1","3.9","3.9","0.1%"
"34","Tyler Davis","TE","GB","2021",15,15,"ppr","34","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"35","Trevon Wesco","TE","CHI","2021",15,15,"ppr","35","1","1","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"36","Zach Gentry","TE","PIT","2021",15,15,"ppr","36","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.1%"
"37","Hayden Hurst","TE","CIN","2021",15,15,"ppr","37","2","2","6","3.0","4","0","0","0","0","0","0","1","2.6","2.6","38.8%"
"38","Shane Zylstra","TE","DET","2021",15,15,"ppr","38","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"39","Pharaoh Brown","TE","CLE","2021",15,15,"ppr","39","2","2","5","2.5","3","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"40","Jimmy Graham","TE","FA","2021",15,15,"ppr","40","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"41","Stephen Anderson","TE","ARI","2021",15,15,"ppr","41","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"42","Chris Manhertz","TE","JAC","2021",15,15,"ppr","42","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"43","Anthony Firkser","TE","ATL","2021",15,15,"ppr","43","2","2","19","9.5","11","0","0","0","0","0","1","1","1.9","1.9","0.0%"
"44","Kyle Rudolph","TE","TB","2021",15,15,"ppr","44","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.6%"
"45","Brycen Hopkins","TE","LAR","2021",15,15,"ppr","45","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"46","Tommy Tremble","TE","CAR","2021",15,15,"ppr","46","1","4","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.3%"
"47","Tyler Conklin","TE","NYJ","2021",15,15,"ppr","47","1","3","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","35.3%"
"48","Jack Stoll","TE","PHI","2021",15,15,"ppr","48","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.3%"
"49","Ian Thomas","TE","CAR","2021",15,15,"ppr","49","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"50","Geoff Swaim","TE","TEN","2021",15,15,"ppr","50","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"51","Jonnu Smith","TE","NE","2021",15,15,"ppr","51","1","3","3","3.0","3","0","0","1","2","0","0","1","1.5","1.5","1.1%"
"52","Adam Trautman","TE","NO","2021",15,15,"ppr","52","1","2","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.7%"
"53","Durham Smythe","TE","MIA","2021",15,15,"ppr","53","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.1%"
