"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Mark Andrews","TE","BAL","2019",2,2,"ppr","1","8","9","112","14.0","28","3","1","0","0","0","0","1","25.2","25.2","99.9%"
"2","Travis Kelce","TE","KC","2019",2,2,"ppr","2","7","9","107","15.3","34","3","1","0","0","0","0","1","23.7","23.7","100.0%"
"3","Vance McDonald","TE","FA","2019",2,2,"ppr","3","7","7","38","5.4","8","0","2","0","0","0","0","1","22.8","22.8","0.0%"
"4","Will Dissly","TE","SEA","2019",2,2,"ppr","4","5","5","50","10.0","14","0","2","0","0","0","0","1","22.0","22.0","3.3%"
"5","Zach Ertz","TE","ARI","2019",2,2,"ppr","5","8","16","72","9.0","16","0","0","0","0","0","0","1","17.2","17.2","32.6%"
"6","Greg Olsen","TE","FA","2019",2,2,"ppr","6","6","9","110","18.3","41","5","0","0","0","0","0","1","17.0","17.0","7.0%"
"7","Jason Witten","TE","FA","2019",2,2,"ppr","7","4","4","25","6.3","18","0","1","0","0","0","0","1","12.5","12.5","0.0%"
"8","Darren Waller","TE","LV","2019",2,2,"ppr","8","6","7","63","10.5","16","0","0","0","0","0","0","1","12.3","12.3","74.7%"
"9","Eric Ebron","TE","FA","2019",2,2,"ppr","9","3","4","25","8.3","13","0","1","0","0","0","0","1","11.5","11.5","0.0%"
"10","Evan Engram","TE","JAC","2019",2,2,"ppr","10","6","8","48","8.0","33","2","0","0","0","0","0","1","10.8","10.8","68.5%"
"11","Tyler Eifert","TE","FA","2019",2,2,"ppr","11","3","5","9","3.0","8","0","1","0","0","0","0","1","9.9","9.9","0.0%"
"12","George Kittle","TE","SF","2019",2,2,"ppr","12","3","3","54","18.0","36","2","0","0","0","0","0","1","8.4","8.4","98.9%"
"13","Delanie Walker","TE","FA","2019",2,2,"ppr","13","4","6","39","9.8","15","0","0","0","0","0","0","1","7.9","7.9","0.1%"
"14","Austin Hooper","TE","TEN","2019",2,2,"ppr","14","4","6","34","8.5","14","0","0","0","0","0","0","1","7.4","7.4","13.8%"
"15","Noah Fant","TE","SEA","2019",2,2,"ppr","15","4","4","33","8.3","24","1","0","0","0","0","0","1","7.3","7.3","30.3%"
"16","Hayden Hurst","TE","CIN","2019",2,2,"ppr","16","1","1","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","38.8%"
"17","James O'Shaughnessy","TE","MIN","2019",2,2,"ppr","17","4","4","28","7.0","10","0","0","0","0","0","0","1","6.8","6.8","0.0%"
"18","Derek Carrier","TE","FA","2019",2,2,"ppr","18","3","5","33","11.0","25","1","0","0","0","0","0","1","6.3","6.3","0.0%"
"19","Jeff Heuerman","TE","FA","2019",2,2,"ppr","19","4","5","21","5.3","8","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"20","Vernon Davis","TE","FA","2019",2,2,"ppr","20","3","4","29","9.7","15","0","0","0","0","0","0","1","5.9","5.9","1.6%"
"21","Adam Shaheen","TE","MIA","2019",2,2,"ppr","21","3","3","24","8.0","9","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"22","Matt LaCosse","TE","FA","2019",2,2,"ppr","22","2","2","33","16.5","23","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"23","Gerald Everett","TE","LAC","2019",2,2,"ppr","23","3","4","21","7.0","11","0","0","1","0","0","0","1","5.1","5.1","84.7%"
"24","Jesse James","TE","CLE","2019",2,2,"ppr","24","3","4","18","6.0","7","0","0","0","0","0","0","1","4.8","4.8","0.0%"
"25","Jared Cook","TE","FA","2019",2,2,"ppr","25","2","7","25","12.5","18","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"26","Drew Sample","TE","CIN","2019",2,2,"ppr","26","2","3","25","12.5","21","1","0","0","0","0","0","1","4.5","4.5","0.0%"
"27","Jordan Akins","TE","HOU","2019",2,2,"ppr","27","2","3","25","12.5","16","0","0","0","0","0","0","1","4.5","4.5","0.8%"
"28","Geoff Swaim","TE","TEN","2019",2,2,"ppr","28","3","4","14","4.7","9","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"29","Ben Braunecker","TE","FA","2019",2,2,"ppr","29","2","3","24","12.0","18","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"30","Jack Doyle","TE","FA","2019",2,2,"ppr","30","2","3","21","10.5","13","0","0","0","0","0","0","1","4.1","4.1","2.0%"
"31","Tyler Higbee","TE","LAR","2019",2,2,"ppr","31","2","3","21","10.5","18","0","0","0","0","0","0","1","4.1","4.1","71.9%"
"32","Kyle Rudolph","TE","TB","2019",2,2,"ppr","32","3","4","9","3.0","5","0","0","0","0","0","0","1","3.9","3.9","0.6%"
"33","Durham Smythe","TE","MIA","2019",2,2,"ppr","33","1","1","24","24.0","24","1","0","0","0","0","0","1","3.4","3.4","0.1%"
"34","Blake Jarwin","TE","FA","2019",2,2,"ppr","34","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","4.0%"
"35","Maxx Williams","TE","ARI","2019",2,2,"ppr","35","1","1","21","21.0","21","1","0","0","0","0","0","1","3.1","3.1","0.0%"
"36","Cameron Brate","TE","TB","2019",2,2,"ppr","36","2","2","10","5.0","5","0","0","0","0","0","0","1","3.0","3.0","1.6%"
"37","Dawson Knox","TE","BUF","2019",2,2,"ppr","37","1","4","18","18.0","18","0","0","0","0","0","0","1","2.8","2.8","74.4%"
"38","Trey Burton","TE","FA","2019",2,2,"ppr","38","2","3","5","2.5","5","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"39","Nick Boyle","TE","BAL","2019",2,2,"ppr","39","1","3","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
