"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Austin Hooper","TE","TEN","2018",6,6,"ppr","1","9","10","71","7.9","14","0","1","0","0","0","0","1","22.1","22.1","13.8%"
"2","David Njoku","TE","CLE","2018",6,6,"ppr","2","7","12","55","7.9","22","1","1","0","0","0","0","1","18.5","18.5","87.0%"
"3","Zach Ertz","TE","ARI","2018",6,6,"ppr","3","7","9","43","6.1","15","0","1","0","0","0","0","1","17.3","17.3","32.6%"
"4","Eric Ebron","TE","FA","2018",6,6,"ppr","4","4","7","71","17.8","19","0","1","1","-1","0","0","1","17.0","17.0","0.0%"
"5","O.J. Howard","TE","HOU","2018",6,6,"ppr","5","4","4","62","15.5","21","1","1","0","0","0","0","1","16.2","16.2","0.3%"
"6","Jimmy Graham","TE","FA","2018",6,6,"ppr","6","5","9","104","20.8","54","5","0","0","0","0","0","1","15.4","15.4","0.0%"
"7","Nick O'Leary","TE","FA","2018",6,6,"ppr","7","4","4","49","12.3","19","0","1","0","0","0","0","1","14.9","14.9","0.0%"
"8","Vance McDonald","TE","FA","2018",6,6,"ppr","8","7","8","68","9.7","26","1","0","0","0","0","0","1","13.8","13.8","0.0%"
"9","Vernon Davis","TE","FA","2018",6,6,"ppr","9","3","3","48","16.0","22","2","1","0","0","0","0","1","13.8","13.8","1.6%"
"10","Chris Herndon IV","TE","FA","2018",6,6,"ppr","10","2","2","56","28.0","32","3","1","0","0","0","0","1","13.6","13.6","0.0%"
"11","Rob Gronkowski","TE","FA","2018",6,6,"ppr","11","3","4","97","32.3","42","5","0","0","0","0","0","1","12.7","12.7","1.0%"
"12","Trey Burton","TE","FA","2018",6,6,"ppr","12","4","4","23","5.8","9","0","1","0","0","0","0","1","12.3","12.3","0.0%"
"13","Ricky Seals-Jones","TE","FA","2018",6,6,"ppr","13","5","6","69","13.8","40","3","0","0","0","0","0","1","11.9","11.9","0.0%"
"14","C.J. Uzomah","TE","NYJ","2018",6,6,"ppr","14","6","7","54","9.0","13","0","0","0","0","0","0","1","11.4","11.4","0.3%"
"15","Travis Kelce","TE","KC","2018",6,6,"ppr","15","5","9","61","12.2","17","0","0","0","0","0","0","1","11.1","11.1","100.0%"
"16","Greg Olsen","TE","FA","2018",6,6,"ppr","16","4","7","48","12.0","18","0","0","0","0","0","0","1","8.8","8.8","7.0%"
"17","Jordan Reed","TE","FA","2018",6,6,"ppr","17","5","9","36","7.2","10","0","0","0","0","0","0","1","8.6","8.6","19.0%"
"18","Cameron Brate","TE","TB","2018",6,6,"ppr","18","1","1","15","15.0","15","0","1","0","0","0","0","1","8.5","8.5","1.6%"
"19","Kyle Rudolph","TE","TB","2018",6,6,"ppr","19","4","5","37","9.3","17","0","0","0","0","0","0","1","7.7","7.7","0.6%"
"20","Jesse James","TE","CLE","2018",6,6,"ppr","20","5","7","26","5.2","9","0","0","0","0","0","0","1","7.6","7.6","0.0%"
"21","Erik Swoope","TE","FA","2018",6,6,"ppr","21","1","2","2","2.0","2","0","1","0","0","0","0","1","7.2","7.2","0.0%"
"22","George Kittle","TE","SF","2018",6,6,"ppr","22","4","6","30","7.5","11","0","0","0","0","0","0","1","7.0","7.0","98.9%"
"23","Charles Clay","TE","FA","2018",6,6,"ppr","23","4","5","20","5.0","10","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"24","James O'Shaughnessy","TE","MIN","2018",6,6,"ppr","24","3","4","29","9.7","17","0","0","0","0","0","0","1","5.9","5.9","0.0%"
"25","Lance Kendricks","TE","FA","2018",6,6,"ppr","25","2","4","37","18.5","22","1","0","0","0","0","0","1","5.7","5.7","0.0%"
"26","Xavier Grimble","TE","FA","2018",6,6,"ppr","26","2","2","35","17.5","22","1","0","0","0","0","0","1","5.5","5.5","0.0%"
"27","Jeff Heuerman","TE","FA","2018",6,6,"ppr","27","3","5","23","7.7","11","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"28","Anthony Firkser","TE","ATL","2018",6,6,"ppr","28","2","2","25","12.5","18","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"29","Mo Alie-Cox","TE","IND","2018",6,6,"ppr","29","1","2","34","34.0","34","2","0","0","0","0","0","1","4.4","4.4","2.0%"
"30","Gerald Everett","TE","LAC","2018",6,6,"ppr","30","2","4","24","12.0","12","0","0","0","0","0","0","1","4.4","4.4","84.7%"
"31","Geoff Swaim","TE","TEN","2018",6,6,"ppr","31","2","2","21","10.5","11","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"32","Mark Andrews","TE","BAL","2018",6,6,"ppr","32","2","4","20","10.0","13","0","0","0","0","0","0","1","4.0","4.0","99.9%"
"33","Jermaine Gresham","TE","FA","2018",6,6,"ppr","33","1","1","26","26.0","26","1","0","0","0","0","0","1","3.6","3.6","0.0%"
"34","Scott Simonson","TE","FA","2018",6,6,"ppr","34","1","3","24","24.0","24","1","0","0","0","0","0","1","3.4","3.4","0.0%"
"35","Neal Sterling","TE","FA","2018",6,6,"ppr","35","2","2","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"36","Tyrone Swoopes","TE","FA","2018",6,6,"ppr","36","1","1","23","23.0","23","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"37","Jared Cook","TE","FA","2018",6,6,"ppr","37","2","2","10","5.0","8","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"38","Nick Boyle","TE","BAL","2018",6,6,"ppr","38","2","4","7","3.5","8","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"39","Rico Gathers","TE","FA","2018",6,6,"ppr","39","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"40","Jonnu Smith","TE","NE","2018",6,6,"ppr","40","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","1.1%"
"41","Mike Gesicki","TE","MIA","2018",6,6,"ppr","41","1","2","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","37.4%"
"42","Orson Charles","TE","FA","2018",6,6,"ppr","42","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"43","David Grinnage","TE","FA","2018",6,6,"ppr","43","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"44","Matt LaCosse","TE","FA","2018",6,6,"ppr","44","1","4","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"45","Dallas Goedert","TE","PHI","2018",6,6,"ppr","45","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","88.2%"
"46","Jordan Akins","TE","HOU","2018",6,6,"ppr","46","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.8%"
"47","Antony Auclair","TE","FA","2018",6,6,"ppr","47","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"48","Antonio Gates","TE","FA","2018",6,6,"ppr","48","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"49","Chris Manhertz","TE","JAC","2018",6,6,"ppr","49","1","2","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"50","Logan Thomas","TE","WAS","2018",6,6,"ppr","50","1","1","0","0.0","0","0","0","0","0","0","0","1","1.0","1.0","6.9%"
"51","Ross Dwelley","TE","SF","2018",6,6,"ppr","51","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"52","Garrett Dickerson","TE","FA","2018",6,6,"ppr","52","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"53","Durham Smythe","TE","MIA","2018",6,6,"ppr","53","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"54","Tyler Conklin","TE","NYJ","2018",6,6,"ppr","54","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","35.3%"
"55","Jordan Thomas","TE","FA","2018",6,6,"ppr","55","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Dwayne Allen","TE","FA","2018",6,6,"ppr","56","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","Logan Paulsen","TE","FA","2018",6,6,"ppr","57","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Luke Stocker","TE","FA","2018",6,6,"ppr","58","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Lee Smith","TE","FA","2018",6,6,"ppr","59","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Virgil Green","TE","FA","2018",6,6,"ppr","60","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Demetrius Harris","TE","FA","2018",6,6,"ppr","61","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Ryan Griffin","TE","CHI","2018",6,6,"ppr","62","0","5","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","Kelvin Benjamin","TE","FA","2018",6,6,"ppr","63","2","6","43","21.5","39","2","0","0","0","0","0","1","0.0","0.0","0.1%"
"64","Jordan Matthews","TE","SF","2018",6,6,"ppr","64","2","3","26","13.0","16","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Derek Carrier","TE","FA","2018",6,6,"ppr","65","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Garrett Celek","TE","FA","2018",6,6,"ppr","66","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Dion Sims","TE","FA","2018",6,6,"ppr","67","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Ian Thomas","TE","CAR","2018",6,6,"ppr","68","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"69","Clark Harris","TE","CIN","2018",6,6,"ppr","69","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Marcedes Lewis","TE","GB","2018",6,6,"ppr","70","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"71","Alan Cross","TE","FA","2018",6,6,"ppr","71","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Joshua Perkins","TE","FA","2018",6,6,"ppr","72","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Tyler Ott","TE","SEA","2018",6,6,"ppr","73","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Patrick Scales","TE","CHI","2018",6,6,"ppr","74","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Kevin McDermott","TE","FA","2018",6,6,"ppr","75","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Tyler Higbee","TE","LAR","2018",6,6,"ppr","76","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","71.9%"
"77","Seth DeValve","TE","FA","2018",6,6,"ppr","77","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"78","Ben Braunecker","TE","FA","2018",6,6,"ppr","78","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","David Morgan II","TE","FA","2018",6,6,"ppr","79","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Beau Brinkley","TE","ATL","2018",6,6,"ppr","80","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"81","Hayden Hurst","TE","CIN","2018",6,6,"ppr","81","0","1","0","0","0","0","0","1","0","0","0","1","0.0","0.0","38.8%"
"82","Blake Jarwin","TE","FA","2018",6,6,"ppr","82","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.0%"
"83","Jordan Leggett","TE","FA","2018",6,6,"ppr","83","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Jeremy Sprinkle","TE","FA","2018",6,6,"ppr","84","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Robert Tonyan","TE","GB","2018",6,6,"ppr","85","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","25.9%"
"86","Jacob Hollister","TE","FA","2018",6,6,"ppr","86","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Mason Schreck","TE","HOU","2018",6,6,"ppr","87","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Darrell Daniels","TE","FA","2018",6,6,"ppr","88","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Sean Culkin","TE","FA","2018",6,6,"ppr","89","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Eric Saubert","TE","DEN","2018",6,6,"ppr","90","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"91","Johnny Mundt","TE","MIN","2018",6,6,"ppr","91","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"92","Jason Croom","TE","FA","2018",6,6,"ppr","92","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","James Winchester","TE","KC","2018",6,6,"ppr","93","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Darren Fells","TE","FA","2018",6,6,"ppr","94","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Ryan Hewitt","TE","FA","2018",6,6,"ppr","95","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","Gabe Holmes","TE","FA","2018",6,6,"ppr","96","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","Brian Parker","TE","FA","2018",6,6,"ppr","97","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Eric Tomlinson","TE","DEN","2018",6,6,"ppr","98","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Daniel Brown","TE","FA","2018",6,6,"ppr","99","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Kyle Nelson","TE","FA","2018",6,6,"ppr","100","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"101","Devin Funchess","TE","FA","2018",6,6,"ppr","101","5","8","74","14.8","23","2","1","0","0","0","0","1","0.0","0.0","0.0%"
"102","Maxx Williams","TE","ARI","2018",6,6,"ppr","102","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","MyCole Pruitt","TE","ATL","2018",6,6,"ppr","103","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"104","Jake Fisher","TE","FA","2018",6,6,"ppr","104","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Matt Lengel","TE","FA","2018",6,6,"ppr","105","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Niles Paul","TE","FA","2018",6,6,"ppr","106","0","0","0","0","0","0","0","1","-3","0","0","1","-0.3","-0.3","0.0%"
