"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Chase McLaughlin","K","IND","2021",3,3,"ppr",1,4,4,100,57,0,1,0,1,2,2,2,1,19,19,"4.0%"
"2","Justin Tucker","K","BAL","2021",3,3,"ppr",2,4,5,80,66,0,0,2,0,2,1,1,1,17,17,"99.0%"
"3","Mason Crosby","K","GB","2021",3,3,"ppr",3,3,3,100,54,0,0,1,0,2,3,3,1,16,16,"3.2%"
"4","Brandon McManus","K","DEN","2021",3,3,"ppr",4,4,4,100,47,0,1,1,2,0,2,2,1,16,16,"36.0%"
"5","Tyler Bass","K","BUF","2021",3,3,"ppr",5,3,3,100,48,0,2,0,1,0,4,4,1,14,14,"94.4%"
"6","Greg Joseph","K","MIN","2021",3,3,"ppr",6,3,3,100,43,0,1,1,1,0,3,3,1,13,13,"28.3%"
"7","Daniel Carlson","K","LV","2021",3,3,"ppr",7,3,3,100,50,0,1,1,0,1,2,3,1,13,13,"96.6%"
"8","Rodrigo Blankenship","K","FA","2021",3,3,"ppr",8,3,4,75,43,0,2,0,1,0,1,1,1,11,11,"0.7%"
"9","Matt Gay","K","LAR","2021",3,3,"ppr",9,2,2,100,48,0,1,0,1,0,4,4,1,11,11,"41.5%"
"10","Jason Sanders","K","MIA","2021",3,3,"ppr",10,2,3,66.7,50,0,0,0,1,1,2,2,1,11,11,"13.2%"
"11","Nick Folk","K","NE","2021",3,3,"ppr",11,2,2,100,45,0,1,0,1,0,1,1,1,8,8,"75.5%"
"12","Jason Myers","K","SEA","2021",3,3,"ppr",12,1,2,50,53,0,0,0,0,1,2,2,1,7,7,"55.6%"
"13","Cairo Santos","K","CHI","2021",3,3,"ppr",13,2,2,100,47,0,1,0,1,0,0,0,1,7,7,"13.3%"
"14","Matt Prater","K","ARI","2021",3,3,"ppr",14,1,2,50,34,0,0,1,0,0,4,4,1,7,7,"14.9%"
"15","Evan McPherson","K","CIN","2021",3,3,"ppr",15,1,1,100,43,0,0,0,1,0,3,3,1,7,7,"86.6%"
"16","Zane Gonzalez","K","CAR","2021",3,3,"ppr",16,1,1,100,21,0,1,0,0,0,3,3,1,6,6,"0.1%"
"17","Harrison Butker","K","KC","2021",3,3,"ppr",17,1,1,100,34,0,0,1,0,0,3,3,1,6,6,"91.8%"
"18","Ryan Succop","K","TB","2021",3,3,"ppr",18,1,2,50,26,0,1,0,0,0,3,3,1,6,6,"34.3%"
"19","Graham Gano","K","NYG","2021",3,3,"ppr",19,2,2,100,31,0,1,1,0,0,0,0,1,6,6,"61.0%"
"20","Younghoe Koo","K","ATL","2021",3,3,"ppr",20,1,1,100,40,0,0,0,1,0,2,2,1,6,6,"46.2%"
"21","Ryan Santoso","K","FA","2021",3,3,"ppr",21,1,1,100,35,0,0,1,0,0,2,2,1,5,5,"0.0%"
"22","Joey Slye","K","WAS","2021",3,3,"ppr",22,1,1,100,53,0,0,0,0,1,0,1,1,5,5,"2.0%"
"23","Randy Bullock","K","TEN","2021",3,3,"ppr",23,1,1,100,32,0,0,1,0,0,2,2,1,5,5,"1.5%"
"24","Greg Zuerlein","K","NYJ","2021",3,3,"ppr",24,0,0,0,0,0,0,0,0,0,5,6,1,5,5,"15.9%"
"25","Robbie Gould","K","SF","2021",3,3,"ppr",25,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"42.9%"
"26","Tristan Vizcaino","K","NE","2021",3,3,"ppr",26,1,1,100,24,0,1,0,0,0,1,3,1,4,4,"0.1%"
"27","Chris Boswell","K","PIT","2021",3,3,"ppr",27,1,2,50,26,0,1,0,0,0,1,1,1,4,4,"14.1%"
"28","Aldrick Rosas","K","FA","2021",3,3,"ppr",28,0,2,0,0,0,0,0,0,0,4,4,1,4,4,"0.0%"
"29","Jake Elliott","K","PHI","2021",3,3,"ppr",29,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"27.9%"
"30","Dustin Hopkins","K","LAC","2021",3,3,"ppr",30,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"2.7%"
"31","Josh Lambo","K","FA","2021",3,3,"ppr",31,0,0,0,0,0,0,0,0,0,1,3,1,1,1,"0.0%"
"32","Cameron Nizialek","K","FA","2021",3,3,"ppr",32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"33","Matt Ammendola","K","FA","2021",3,3,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.1%"
"34","Michael Palardy","K","NE","2021",3,3,"ppr",34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
"35","Ty Long","K","FA","2021",3,3,"ppr",35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.7%"
