"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Cleveland Browns","DST","CLE","2020",11,11,"ppr",1,5,2,1,2,1,1,0,1,20,20,"37.2%"
"2","Pittsburgh Steelers","DST","PIT","2020",11,11,"ppr",2,2,4,0,1,0,0,0,1,17,17,"53.2%"
"3","Carolina Panthers","DST","CAR","2020",11,11,"ppr",3,5,0,1,0,0,0,0,1,17,17,"14.1%"
"4","New Orleans Saints","DST","NO","2020",11,11,"ppr",4,8,2,0,0,0,0,0,1,16,16,"65.3%"
"5","Washington Commanders","DST","WAS","2020",11,11,"ppr",5,4,1,1,1,0,0,0,1,12,12,"54.8%"
"6","Denver Broncos","DST","DEN","2020",11,11,"ppr",6,6,1,0,0,0,0,0,1,12,12,"38.8%"
"7","Los Angeles Chargers","DST","LAC","2020",11,11,"ppr",7,1,1,0,0,1,0,0,1,8,8,"30.2%"
"8","Philadelphia Eagles","DST","PHI","2020",11,11,"ppr",8,3,0,1,1,0,0,0,1,8,8,"58.2%"
"9","New York Jets","DST","NYJ","2020",11,11,"ppr",9,3,0,1,1,0,1,0,1,8,8,"21.1%"
"10","Indianapolis Colts","DST","IND","2020",11,11,"ppr",10,1,1,3,1,0,0,0,1,8,8,"52.4%"
"11","Detroit Lions","DST","DET","2020",11,11,"ppr",11,1,2,0,1,0,0,0,1,6,6,"2.5%"
"12","Atlanta Falcons","DST","ATL","2020",11,11,"ppr",12,3,0,1,1,0,0,0,1,5,5,"1.7%"
"13","Los Angeles Rams","DST","LAR","2020",11,11,"ppr",13,1,2,0,0,0,0,0,1,5,5,"34.3%"
"14","Seattle Seahawks","DST","SEA","2020",11,11,"ppr",14,3,0,0,0,0,1,0,1,5,5,"20.5%"
"15","Miami Dolphins","DST","MIA","2020",11,11,"ppr",15,0,1,1,1,0,0,0,1,5,5,"25.9%"
"16","Dallas Cowboys","DST","DAL","2020",11,11,"ppr",16,2,0,2,2,0,0,0,1,5,5,"90.0%"
"17","Cincinnati Bengals","DST","CIN","2020",11,11,"ppr",17,2,1,0,1,0,0,0,1,5,5,"31.6%"
"18","Minnesota Vikings","DST","MIN","2020",11,11,"ppr",18,1,1,0,0,0,0,0,1,4,4,"23.7%"
"19","Tampa Bay Buccaneers","DST","TB","2020",11,11,"ppr",19,0,2,0,0,0,0,0,1,4,4,"81.2%"
"20","Green Bay Packers","DST","GB","2020",11,11,"ppr",20,1,1,1,1,0,0,0,1,4,4,"80.7%"
"21","Tennessee Titans","DST","TEN","2020",11,11,"ppr",21,1,1,0,0,0,0,0,1,3,3,"26.3%"
"22","Houston Texans","DST","HOU","2020",11,11,"ppr",22,2,0,0,0,0,0,0,1,3,3,"0.8%"
"23","Baltimore Ravens","DST","BAL","2020",11,11,"ppr",23,2,1,0,1,0,0,0,1,3,3,"89.6%"
"24","Arizona Cardinals","DST","ARI","2020",11,11,"ppr",24,3,0,0,0,0,0,0,1,2,2,"12.3%"
"25","Jacksonville Jaguars","DST","JAC","2020",11,11,"ppr",25,0,1,0,0,0,0,0,1,2,2,"3.8%"
"26","Kansas City Chiefs","DST","KC","2020",11,11,"ppr",26,0,1,0,0,0,0,0,1,1,1,"47.9%"
"27","New England Patriots","DST","NE","2020",11,11,"ppr",27,0,0,0,0,0,0,0,1,0,0,"54.0%"
"28","Las Vegas Raiders","DST","LV","2020",11,11,"ppr",28,0,1,0,0,0,0,0,1,-2,-2,"14.2%"
