"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Buffalo Bills","DST","BUF","2021",4,4,"ppr",1,3,4,1,1,0,0,0,1,23,23,"99.0%"
"2","Baltimore Ravens","DST","BAL","2021",4,4,"ppr",2,5,1,0,0,0,0,0,1,11,11,"89.6%"
"3","Tampa Bay Buccaneers","DST","TB","2021",4,4,"ppr",3,4,1,1,1,0,0,0,1,9,9,"81.2%"
"4","Chicago Bears","DST","CHI","2021",4,4,"ppr",4,4,0,2,2,0,0,0,1,9,9,"2.2%"
"5","Indianapolis Colts","DST","IND","2021",4,4,"ppr",5,3,0,2,1,0,0,0,1,8,8,"52.4%"
"6","Cleveland Browns","DST","CLE","2021",4,4,"ppr",6,2,1,0,0,0,0,0,1,8,8,"37.2%"
"7","Dallas Cowboys","DST","DAL","2021",4,4,"ppr",7,5,2,0,0,0,0,0,1,8,8,"90.0%"
"8","Los Angeles Chargers","DST","LAC","2021",4,4,"ppr",8,4,1,0,1,0,0,0,1,7,7,"30.2%"
"9","Green Bay Packers","DST","GB","2021",4,4,"ppr",9,2,1,1,1,0,0,0,1,7,7,"80.7%"
"10","New York Jets","DST","NYJ","2021",4,4,"ppr",10,7,0,0,0,0,0,0,1,7,7,"21.1%"
"11","Washington Commanders","DST","WAS","2021",4,4,"ppr",11,1,0,0,1,0,0,1,1,6,6,"54.8%"
"12","Seattle Seahawks","DST","SEA","2021",4,4,"ppr",12,2,1,1,0,0,0,0,1,6,6,"20.5%"
"13","Pittsburgh Steelers","DST","PIT","2021",4,4,"ppr",13,3,0,1,1,0,0,0,1,5,5,"53.2%"
"14","Arizona Cardinals","DST","ARI","2021",4,4,"ppr",14,0,1,1,1,0,0,0,1,5,5,"12.3%"
"15","Miami Dolphins","DST","MIA","2021",4,4,"ppr",15,2,0,1,0,0,0,0,1,4,4,"25.9%"
"16","Minnesota Vikings","DST","MIN","2021",4,4,"ppr",16,3,0,0,0,0,0,0,1,4,4,"23.7%"
"17","Denver Broncos","DST","DEN","2021",4,4,"ppr",17,3,0,0,0,0,0,0,1,3,3,"38.8%"
"18","Tennessee Titans","DST","TEN","2021",4,4,"ppr",18,1,1,0,1,0,0,0,1,3,3,"26.3%"
"19","Detroit Lions","DST","DET","2021",4,4,"ppr",19,1,1,0,1,0,0,0,1,3,3,"2.5%"
"20","New England Patriots","DST","NE","2021",4,4,"ppr",20,1,0,0,0,0,0,0,1,2,2,"54.0%"
"21","New Orleans Saints","DST","NO","2021",4,4,"ppr",21,0,1,0,2,0,0,0,1,2,2,"65.3%"
"22","New York Giants","DST","NYG","2021",4,4,"ppr",22,0,1,0,0,0,0,0,1,2,2,"6.2%"
"23","San Francisco 49ers","DST","SF","2021",4,4,"ppr",23,3,0,0,2,0,0,0,1,2,2,"95.5%"
"24","Kansas City Chiefs","DST","KC","2021",4,4,"ppr",24,3,0,0,2,0,0,0,1,2,2,"47.9%"
"25","Cincinnati Bengals","DST","CIN","2021",4,4,"ppr",25,1,0,0,0,0,0,0,1,1,1,"31.6%"
"26","Jacksonville Jaguars","DST","JAC","2021",4,4,"ppr",26,1,0,0,0,0,0,0,1,1,1,"3.8%"
"27","Las Vegas Raiders","DST","LV","2021",4,4,"ppr",27,2,0,0,0,0,0,0,1,1,1,"14.2%"
"28","Atlanta Falcons","DST","ATL","2021",4,4,"ppr",28,1,0,0,0,0,0,0,1,0,0,"1.7%"
"29","Houston Texans","DST","HOU","2021",4,4,"ppr",29,1,1,0,2,0,0,0,1,-1,-1,"0.8%"
"30","Los Angeles Rams","DST","LAR","2021",4,4,"ppr",30,3,0,0,1,0,0,0,1,-1,-1,"34.3%"
"31","Philadelphia Eagles","DST","PHI","2021",4,4,"ppr",31,1,1,0,0,0,0,0,1,-1,-1,"58.2%"
"32","Carolina Panthers","DST","CAR","2021",4,4,"ppr",32,0,0,0,0,0,0,0,1,-4,-4,"14.1%"
