"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Deshaun Watson","QB","CLE","2019",6,6,"ppr","1","30","42","71.4","280","6.7","1","2","0","10","42","2","0","1","31.4","31.4","75.7%"
"2","Matt Ryan","QB","IND","2019",6,6,"ppr","2","30","36","83.3","356","9.9","4","0","2","2","7","0","0","1","30.9","30.9","10.6%"
"3","Lamar Jackson","QB","BAL","2019",6,6,"ppr","3","21","33","63.6","236","7.2","0","0","1","19","152","1","0","1","30.6","30.6","96.8%"
"4","Russell Wilson","QB","DEN","2019",6,6,"ppr","4","23","33","69.7","295","8.9","2","0","3","9","31","1","0","1","28.9","28.9","43.7%"
"5","Kyler Murray","QB","ARI","2019",6,6,"ppr","5","27","37","73.0","340","9.2","3","0","0","11","32","0","0","1","28.8","28.8","62.1%"
"6","Kirk Cousins","QB","MIN","2019",6,6,"ppr","6","22","29","75.9","333","11.5","4","1","1","2","0","0","0","1","28.3","28.3","87.8%"
"7","Tom Brady","QB","TB","2019",6,6,"ppr","7","31","41","75.6","334","8.1","0","1","3","7","6","2","1","1","23.0","23.0","86.0%"
"8","Baker Mayfield","QB","LAR","2019",6,6,"ppr","8","22","37","59.5","249","6.7","1","3","0","4","35","1","0","1","22.5","22.5","6.6%"
"9","Carson Wentz","QB","WAS","2019",6,6,"ppr","9","26","40","65.0","306","7.7","2","1","2","2","23","0","0","1","21.5","21.5","6.5%"
"10","Sam Darnold","QB","CAR","2019",6,6,"ppr","10","23","32","71.9","338","10.6","2","1","2","5","1","0","0","1","20.6","20.6","3.9%"
"11","Patrick Mahomes II","QB","KC","2019",6,6,"ppr","11","19","35","54.3","273","7.8","3","1","1","1","-1","0","1","1","19.8","19.8","100.0%"
"12","Aaron Rodgers","QB","GB","2019",6,6,"ppr","12","24","39","61.5","283","7.3","2","1","1","3","10","0","0","1","19.3","19.3","75.1%"
"13","Dak Prescott","QB","DAL","2019",6,6,"ppr","13","28","40","70.0","278","7.0","0","0","1","3","11","1","0","1","18.2","18.2","93.5%"
"14","Kyle Allen","QB","HOU","2019",6,6,"ppr","14","20","32","62.5","227","7.1","2","0","2","3","3","0","0","1","17.4","17.4","0.7%"
"15","Jameis Winston","QB","NO","2019",6,6,"ppr","15","30","54","55.6","400","7.4","1","5","7","1","1","0","1","1","17.1","17.1","5.6%"
"16","Philip Rivers","QB","FA","2019",6,6,"ppr","16","26","44","59.1","320","7.3","2","2","1","1","0","0","1","1","16.8","16.8","20.6%"
"17","Case Keenum","QB","BUF","2019",6,6,"ppr","17","13","25","52.0","166","6.6","2","0","0","4","10","0","0","1","15.6","15.6","0.4%"
"18","Andy Dalton","QB","NO","2019",6,6,"ppr","18","21","39","53.8","235","6.0","0","1","2","1","2","1","0","1","14.6","14.6","12.2%"
"19","Teddy Bridgewater","QB","MIA","2019",6,6,"ppr","19","24","36","66.7","240","6.7","1","0","3","3","0","0","0","1","13.6","13.6","0.6%"
"20","Jimmy Garoppolo","QB","SF","2019",6,6,"ppr","20","24","33","72.7","243","7.4","0","1","2","5","4","1","1","1","13.1","13.1","16.2%"
"21","Matthew Stafford","QB","LAR","2019",6,6,"ppr","21","18","32","56.3","265","8.3","0","0","3","3","9","0","0","1","11.5","11.5","29.7%"
"22","Ryan Fitzpatrick","QB","FA","2019",6,6,"ppr","22","12","18","66.7","132","7.3","1","0","0","2","5","0","0","1","9.8","9.8","0.0%"
"23","Devlin Hodges","QB","FA","2019",6,6,"ppr","23","15","20","75.0","132","6.6","1","1","0","3","8","0","0","1","9.1","9.1","0.0%"
"24","Daniel Jones","QB","NYG","2019",6,6,"ppr","24","15","31","48.4","161","5.2","1","3","1","2","8","0","0","1","8.2","8.2","58.2%"
"25","Joe Flacco","QB","NYJ","2019",6,6,"ppr","25","18","28","64.3","177","6.3","0","1","1","4","-1","0","0","1","6.0","6.0","0.3%"
"26","Gardner Minshew II","QB","PHI","2019",6,6,"ppr","26","14","29","48.3","163","5.6","0","1","2","2","1","0","0","1","5.6","5.6","0.2%"
"27","Ryan Tannehill","QB","TEN","2019",6,6,"ppr","27","13","16","81.3","144","9.0","0","1","4","1","6","0","0","1","5.4","5.4","28.5%"
"28","Taysom Hill","QB","NO","2019",6,6,"ppr","28","0","0","0","0","0","0","0","0","3","17","0","0","1","1.7","1.7","45.3%"
"29","Josh Rosen","QB","FA","2019",6,6,"ppr","29","15","25","60.0","85","3.4","0","2","5","0","0","0","0","1","1.4","1.4","0.0%"
"30","Jared Goff","QB","DET","2019",6,6,"ppr","30","13","24","54.2","78","3.3","0","0","4","1","0","0","1","1","1.1","1.1","60.4%"
"31","Marcus Mariota","QB","ATL","2019",6,6,"ppr","31","7","18","38.9","63","3.5","0","2","3","2","4","0","0","1","0.9","0.9","19.4%"
"32","Matt Schaub","QB","FA","2019",6,6,"ppr","32","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"33","Josh McCown","QB","FA","2019",6,6,"ppr","33","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
