"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Marvin Jones Jr.","WR","JAC","2016",3,3,"ppr","1","6","8","205","34.2","73","4","2","0","0","0","0","1","38.5","38.5","13.1%"
"2","Emmanuel Sanders","WR","FA","2016",3,3,"ppr","2","9","13","117","13.0","41","1","2","0","0","0","0","1","32.7","32.7","0.0%"
"3","Terrelle Pryor Sr.","WR","FA","2016",3,3,"ppr","3","8","14","144","18.0","40","3","0","4","21","1","0","1","31.9","31.9","0.0%"
"4","T.Y. Hilton","WR","DAL","2016",3,3,"ppr","4","8","11","174","21.8","63","3","1","0","0","0","0","1","31.4","31.4","3.8%"
"5","Doug Baldwin","WR","FA","2016",3,3,"ppr","5","8","10","164","20.5","59","3","1","1","-4","0","0","1","30.0","30.0","0.0%"
"6","Mike Evans","WR","TB","2016",3,3,"ppr","6","10","14","132","13.2","19","0","1","0","0","0","0","1","29.2","29.2","98.6%"
"7","Jordy Nelson","WR","FA","2016",3,3,"ppr","7","6","7","101","16.8","49","1","2","0","0","0","0","1","28.1","28.1","0.1%"
"8","Jarvis Landry","WR","NO","2016",3,3,"ppr","8","7","12","120","17.1","42","2","1","2","16","0","0","1","26.6","26.6","21.3%"
"9","Antonio Brown","WR","FA","2016",3,3,"ppr","9","12","18","140","11.7","20","2","0","0","0","0","0","1","26.0","26.0","0.2%"
"10","Allen Robinson II","WR","LAR","2016",3,3,"ppr","10","7","11","57","8.1","14","0","2","0","0","0","0","1","24.7","24.7","36.3%"
"11","Tavon Austin","WR","FA","2016",3,3,"ppr","11","5","8","82","16.4","43","1","1","2","22","0","0","1","21.4","21.4","0.0%"
"12","DeSean Jackson","WR","BAL","2016",3,3,"ppr","12","5","8","96","19.2","44","2","1","0","0","0","0","1","20.6","20.6","0.9%"
"13","Michael Thomas","WR","NO","2016",3,3,"ppr","13","7","11","71","10.1","25","1","1","0","0","0","0","1","20.1","20.1","26.7%"
"14","Demaryius Thomas","WR","FA","2016",3,3,"ppr","14","6","7","100","16.7","55","1","1","0","0","0","1","1","20.0","20.0","0.1%"
"15","Odell Beckham Jr.","WR","FA","2016",3,3,"ppr","15","7","11","121","17.3","26","2","0","0","0","0","0","1","19.1","19.1","19.2%"
"16","Adam Humphries","WR","FA","2016",3,3,"ppr","16","9","12","100","11.1","31","2","0","0","0","0","0","1","19.0","19.0","1.0%"
"17","Sterling Shepard","WR","NYG","2016",3,3,"ppr","17","5","7","73","14.6","23","1","1","0","0","0","0","1","18.3","18.3","1.3%"
"18","Michael Crabtree","WR","FA","2016",3,3,"ppr","18","8","11","102","12.8","31","2","0","0","0","0","0","1","18.2","18.2","0.0%"
"19","Jamison Crowder","WR","BUF","2016",3,3,"ppr","19","4","7","78","19.5","55","1","1","0","0","0","0","1","17.8","17.8","1.3%"
"20","Steve Smith","WR","FA","2016",3,3,"ppr","20","8","11","87","10.9","23","2","0","0","0","0","0","1","16.7","16.7","0.0%"
"21","A.J. Green","WR","ARI","2016",3,3,"ppr","21","8","11","77","9.6","20","1","0","0","0","0","0","1","15.7","15.7","1.7%"
"22","Brandon Coleman","WR","FA","2016",3,3,"ppr","22","7","8","78","11.1","28","1","0","0","0","0","0","1","14.8","14.8","0.0%"
"23","Cole Beasley","WR","BUF","2016",3,3,"ppr","23","7","7","73","10.4","29","1","0","0","0","0","0","1","14.3","14.3","1.5%"
"24","DeVante Parker","WR","NE","2016",3,3,"ppr","24","3","6","51","17.0","26","2","1","0","0","0","0","1","14.1","14.1","13.6%"
"25","Brian Quick","WR","FA","2016",3,3,"ppr","25","2","2","53","26.5","44","1","1","0","0","0","0","1","13.3","13.3","0.0%"
"26","John Brown","WR","BUF","2016",3,3,"ppr","26","6","11","70","11.7","19","0","0","0","0","0","0","1","13.0","13.0","0.1%"
"27","Larry Fitzgerald","WR","FA","2016",3,3,"ppr","27","7","12","60","8.6","13","0","0","0","0","0","0","1","13.0","13.0","0.1%"
"28","Dez Bryant","WR","FA","2016",3,3,"ppr","28","3","6","40","13.3","17","0","1","0","0","0","0","1","13.0","13.0","2.6%"
"29","Tyrell Williams","WR","FA","2016",3,3,"ppr","29","6","9","69","11.5","22","1","0","0","0","0","0","1","12.9","12.9","0.0%"
"30","Kenny Stills","WR","FA","2016",3,3,"ppr","30","5","8","76","15.2","28","1","0","0","0","0","0","1","12.6","12.6","0.0%"
"31","Anquan Boldin","WR","FA","2016",3,3,"ppr","31","4","6","22","5.5","7","0","1","0","0","0","0","1","12.2","12.2","0.1%"
"32","Kevin White","WR","NO","2016",3,3,"ppr","32","6","14","62","10.3","32","1","0","0","0","0","0","1","12.2","12.2","0.0%"
"33","Alshon Jeffery","WR","FA","2016",3,3,"ppr","33","5","7","70","14.0","22","1","0","0","0","0","0","1","12.0","12.0","0.0%"
"34","Robert Woods","WR","TEN","2016",3,3,"ppr","34","6","8","51","8.5","24","1","0","0","0","0","0","1","11.1","11.1","44.0%"
"35","Pierre Garcon","WR","FA","2016",3,3,"ppr","35","5","7","59","11.8","20","1","0","0","0","0","0","1","10.9","10.9","0.0%"
"36","Terrance Williams","WR","FA","2016",3,3,"ppr","36","4","4","88","22.0","47","1","0","0","0","0","1","1","10.8","10.8","0.0%"
"37","Seth Roberts","WR","FA","2016",3,3,"ppr","37","2","6","27","13.5","19","0","1","0","0","0","0","1","10.7","10.7","0.0%"
"38","Justin Hardy","WR","FA","2016",3,3,"ppr","38","2","2","26","13.0","22","1","1","0","0","0","0","1","10.6","10.6","0.0%"
"39","Michael Floyd","WR","FA","2016",3,3,"ppr","39","4","11","65","16.3","25","1","0","0","0","0","0","1","10.5","10.5","0.0%"
"40","Davante Adams","WR","LV","2016",3,3,"ppr","40","2","2","23","11.5","14","0","1","0","0","0","0","1","10.3","10.3","100.0%"
"41","Travis Benjamin","WR","FA","2016",3,3,"ppr","41","4","7","82","20.5","43","2","0","0","0","0","1","1","10.2","10.2","0.0%"
"42","Amari Cooper","WR","CLE","2016",3,3,"ppr","42","4","9","62","15.5","25","1","0","0","0","0","0","1","10.2","10.2","96.2%"
"43","Victor Cruz","WR","FA","2016",3,3,"ppr","43","3","3","70","23.3","37","1","0","0","0","0","0","1","10.0","10.0","0.1%"
"44","Jordan Matthews","WR","SF","2016",3,3,"ppr","44","2","3","19","9.5","12","0","1","0","0","0","0","1","9.9","9.9","0.0%"
"45","Ted Ginn Jr.","WR","FA","2016",3,3,"ppr","45","3","7","62","20.7","31","2","0","2","5","0","0","1","9.7","9.7","0.0%"
"46","Corey Brown","WR","FA","2016",3,3,"ppr","46","4","5","57","14.3","27","1","0","0","0","0","0","1","9.7","9.7","0.2%"
"47","DeAndre Hopkins","WR","ARI","2016",3,3,"ppr","47","4","8","56","14.0","16","0","0","0","0","0","0","1","9.6","9.6","98.4%"
"48","Marqise Lee","WR","FA","2016",3,3,"ppr","48","5","7","44","8.8","20","1","0","0","0","0","0","1","9.4","9.4","0.0%"
"49","Julian Edelman","WR","FA","2016",3,3,"ppr","49","4","6","38","9.5","23","1","0","3","14","0","0","1","9.2","9.2","12.1%"
"50","Stefon Diggs","WR","BUF","2016",3,3,"ppr","50","4","7","40","10.0","16","0","0","0","0","0","0","1","8.0","8.0","100.0%"
"51","Sammie Coates","WR","FA","2016",3,3,"ppr","51","3","4","50","16.7","41","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"52","Allen Hurns","WR","FA","2016",3,3,"ppr","52","4","8","40","10.0","17","0","0","0","0","0","0","1","8.0","8.0","0.0%"
"53","Jaron Brown","WR","FA","2016",3,3,"ppr","53","3","6","49","16.3","23","1","0","0","0","0","0","1","7.9","7.9","0.0%"
"54","Tajae Sharpe","WR","FA","2016",3,3,"ppr","54","3","7","48","16.0","23","1","0","0","0","0","0","1","7.8","7.8","0.0%"
"55","Quincy Enunwa","WR","FA","2016",3,3,"ppr","55","4","11","37","9.3","18","0","0","0","0","0","0","1","7.7","7.7","0.0%"
"56","Jeremy Maclin","WR","FA","2016",3,3,"ppr","56","4","7","35","8.8","17","0","0","0","0","0","0","1","7.5","7.5","0.0%"
"57","Chris Conley","WR","TEN","2016",3,3,"ppr","57","3","5","44","14.7","20","1","0","0","0","0","0","1","7.4","7.4","0.1%"
"58","Tommylee Lewis","WR","FA","2016",3,3,"ppr","58","3","4","43","14.3","26","1","0","1","1","0","0","1","7.4","7.4","0.0%"
