"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"46","Ronald Jones II","RB","KC","2018",6,6,"ppr","46","1","3","3.0","3","0","0","3","3","16","5.3","0","0","1","4.9","4.9","2.5%"
"47","Gus Edwards","RB","BAL","2018",6,6,"ppr","47","10","42","4.2","11","0","0","0","0","0","0","0","0","1","4.2","4.2","39.7%"
"48","Aaron Jones","RB","GB","2018",6,6,"ppr","48","8","41","5.1","16","0","0","0","1","0","0","0","0","1","4.1","4.1","99.6%"
"49","Kyle Juszczyk","RB","SF","2018",6,6,"ppr","49","0","0","0","0","0","0","3","3","30","10.0","0","1","1","4.0","4.0","0.4%"
"50","Derrick Henry","RB","TEN","2018",6,6,"ppr","50","7","21","3.0","6","0","0","1","1","5","5.0","0","0","1","3.6","3.6","100.0%"
"51","Mike Davis","RB","FA","2018",6,6,"ppr","51","6","21","3.5","8","0","0","1","3","5","5.0","0","0","1","3.6","3.6","1.0%"
"52","Dion Lewis","RB","FA","2018",6,6,"ppr","52","5","9","1.8","7","0","0","2","2","5","2.5","0","0","1","3.4","3.4","2.0%"
"53","Spencer Ware","RB","FA","2018",6,6,"ppr","53","2","5","2.5","4","0","0","2","3","9","4.5","0","0","1","3.4","3.4","0.0%"
"54","Carlos Hyde","RB","FA","2018",6,6,"ppr","54","14","34","2.4","9","0","0","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"55","Kapri Bibbs","RB","FA","2018",6,6,"ppr","55","2","11","5.5","8","0","0","1","2","6","6.0","0","0","1","2.7","2.7","0.1%"
"56","Nick Chubb","RB","CLE","2018",6,6,"ppr","56","3","25","8.3","19","0","0","0","0","0","0","0","0","1","2.5","2.5","99.9%"
"57","Malcolm Brown","RB","LAR","2018",6,6,"ppr","57","5","24","4.8","9","0","0","0","0","0","0","0","0","1","2.4","2.4","0.1%"
