"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Washington Commanders","DST","WAS","2018",10,10,"ppr",1,2,2,2,3,0,0,0,1,17,17,"54.8%"
"2","Pittsburgh Steelers","DST","PIT","2018",10,10,"ppr",2,5,1,1,1,1,0,0,1,15,15,"53.2%"
"3","Green Bay Packers","DST","GB","2018",10,10,"ppr",3,6,1,1,0,0,0,0,1,14,14,"80.7%"
"4","Los Angeles Chargers","DST","LAC","2018",10,10,"ppr",4,4,0,1,1,0,0,0,1,13,13,"30.2%"
"5","Chicago Bears","DST","CHI","2018",10,10,"ppr",5,6,2,1,3,0,0,0,1,12,12,"2.2%"
"6","Buffalo Bills","DST","BUF","2018",10,10,"ppr",6,3,2,0,0,1,0,0,1,11,11,"99.0%"
"7","Kansas City Chiefs","DST","KC","2018",10,10,"ppr",7,5,2,0,1,0,0,0,1,10,10,"47.9%"
"8","New Orleans Saints","DST","NO","2018",10,10,"ppr",8,4,2,0,0,0,0,0,1,9,9,"65.3%"
"9","Tennessee Titans","DST","TEN","2018",10,10,"ppr",9,3,0,0,0,0,0,0,1,7,7,"26.3%"
"10","Cleveland Browns","DST","CLE","2018",10,10,"ppr",10,2,0,2,2,0,0,0,1,7,7,"37.2%"
"11","Los Angeles Rams","DST","LAR","2018",10,10,"ppr",11,4,0,1,1,0,0,0,1,5,5,"34.3%"
"12","Arizona Cardinals","DST","ARI","2018",10,10,"ppr",12,5,0,0,1,0,0,0,1,5,5,"12.3%"
"13","Dallas Cowboys","DST","DAL","2018",10,10,"ppr",13,2,1,0,0,0,0,0,1,5,5,"90.0%"
"14","Miami Dolphins","DST","MIA","2018",10,10,"ppr",14,2,0,1,0,0,0,0,1,4,4,"25.9%"
"15","New York Giants","DST","NYG","2018",10,10,"ppr",15,0,2,0,0,0,0,0,1,4,4,"6.2%"
"16","Tampa Bay Buccaneers","DST","TB","2018",10,10,"ppr",16,3,0,0,0,0,0,0,1,4,4,"81.2%"
"17","Philadelphia Eagles","DST","PHI","2018",10,10,"ppr",17,4,0,0,1,0,0,0,1,4,4,"58.2%"
"18","Las Vegas Raiders","DST","LV","2018",10,10,"ppr",18,1,1,0,0,0,0,0,1,4,4,"14.2%"
"19","Indianapolis Colts","DST","IND","2018",10,10,"ppr",19,0,0,1,1,0,0,0,1,3,3,"52.4%"
"20","New England Patriots","DST","NE","2018",10,10,"ppr",20,2,0,0,1,0,0,0,1,1,1,"54.0%"
"21","Atlanta Falcons","DST","ATL","2018",10,10,"ppr",21,0,1,0,1,0,0,0,1,1,1,"1.7%"
"22","San Francisco 49ers","DST","SF","2018",10,10,"ppr",22,1,0,0,0,0,0,0,1,1,1,"95.5%"
"23","Jacksonville Jaguars","DST","JAC","2018",10,10,"ppr",23,0,1,0,0,0,0,0,1,1,1,"3.8%"
"24","Detroit Lions","DST","DET","2018",10,10,"ppr",24,1,0,0,0,0,0,0,1,0,0,"2.5%"
"25","Seattle Seahawks","DST","SEA","2018",10,10,"ppr",25,2,0,0,0,0,0,0,1,-2,-2,"20.5%"
"26","New York Jets","DST","NYJ","2018",10,10,"ppr",26,1,0,0,1,0,0,0,1,-3,-3,"21.1%"
"27","Carolina Panthers","DST","CAR","2018",10,10,"ppr",27,1,0,0,0,0,0,0,1,-3,-3,"14.1%"
"28","Cincinnati Bengals","DST","CIN","2018",10,10,"ppr",28,0,0,0,0,0,0,0,1,-4,-4,"31.6%"
