"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Dez Bryant","WR","FA","2016",11,11,"ppr","1","6","8","80","13.3","26","1","2","0","0","0","0","1","26.0","26.0","2.6%"
"2","Steve Smith","WR","FA","2016",11,11,"ppr","2","8","9","99","12.4","22","2","1","0","0","0","0","1","23.9","23.9","0.0%"
"3","Pierre Garcon","WR","FA","2016",11,11,"ppr","3","6","7","116","19.3","70","1","1","0","0","0","0","1","23.6","23.6","0.0%"
"4","Julian Edelman","WR","FA","2016",11,11,"ppr","4","8","17","77","9.6","21","1","1","2","12","0","0","1","22.9","22.9","12.1%"
"5","DeVante Parker","WR","NE","2016",11,11,"ppr","5","8","10","79","9.9","15","0","1","0","0","0","0","1","21.9","21.9","13.6%"
"6","Rishard Matthews","WR","FA","2016",11,11,"ppr","6","9","13","122","13.6","35","2","0","0","0","0","0","1","21.2","21.2","0.0%"
"7","T.Y. Hilton","WR","DAL","2016",11,11,"ppr","7","5","9","97","19.4","50","2","1","0","0","0","0","1","20.7","20.7","3.8%"
"8","Malcolm Mitchell","WR","FA","2016",11,11,"ppr","8","4","5","98","24.5","56","2","1","0","0","0","0","1","19.8","19.8","0.0%"
"9","Jamison Crowder","WR","BUF","2016",11,11,"ppr","9","3","3","102","34.0","53","2","1","0","0","0","0","1","19.2","19.2","1.3%"
"10","Doug Baldwin","WR","FA","2016",11,11,"ppr","10","4","5","104","26.0","44","2","0","0","0","0","0","1","19.0","19.0","0.0%"
"11","Adam Thielen","WR","MIN","2016",11,11,"ppr","11","5","5","65","13.0","22","1","1","0","0","0","0","1","17.5","17.5","90.7%"
"12","Tyler Boyd","WR","CIN","2016",11,11,"ppr","12","6","8","54","9.0","13","0","1","0","0","0","0","1","17.4","17.4","74.0%"
"13","Cole Beasley","WR","BUF","2016",11,11,"ppr","13","5","6","59","11.8","17","0","1","0","0","0","0","1","16.9","16.9","1.5%"
"14","Tajae Sharpe","WR","FA","2016",11,11,"ppr","14","4","7","68","17.0","34","1","1","0","0","0","0","1","16.8","16.8","0.0%"
"15","Mike Evans","WR","TB","2016",11,11,"ppr","15","6","13","105","17.5","31","2","0","0","0","0","0","1","16.5","16.5","98.6%"
"16","Dorial Green-Beckham","WR","FA","2016",11,11,"ppr","16","5","8","54","10.8","21","1","1","0","0","0","0","1","16.4","16.4","0.4%"
"17","Sterling Shepard","WR","NYG","2016",11,11,"ppr","17","5","11","50","10.0","15","0","1","0","0","0","0","1","16.0","16.0","1.3%"
"18","Marqise Lee","WR","FA","2016",11,11,"ppr","18","4","8","52","13.0","29","1","1","1","6","0","0","1","15.8","15.8","0.0%"
"19","Amari Cooper","WR","CLE","2016",11,11,"ppr","19","4","5","57","14.3","35","1","1","0","0","0","0","1","15.7","15.7","96.2%"
"20","Antonio Brown","WR","FA","2016",11,11,"ppr","20","8","10","76","9.5","21","1","0","0","0","0","0","1","15.6","15.6","0.2%"
"21","DeSean Jackson","WR","BAL","2016",11,11,"ppr","21","4","6","51","12.8","17","0","1","0","0","0","0","1","15.1","15.1","0.9%"
"22","Ted Ginn Jr.","WR","FA","2016",11,11,"ppr","22","3","4","46","15.3","40","1","1","1","13","0","0","1","14.9","14.9","0.0%"
"23","Terrelle Pryor Sr.","WR","FA","2016",11,11,"ppr","23","5","10","97","19.4","36","2","0","0","0","0","0","1","14.7","14.7","0.0%"
"24","Jarvis Landry","WR","NO","2016",11,11,"ppr","24","5","5","28","5.6","12","0","1","0","0","0","0","1","13.8","13.8","21.3%"
"25","Donte Moncrief","WR","FA","2016",11,11,"ppr","25","4","7","37","9.3","17","0","1","0","0","0","0","1","13.7","13.7","0.0%"
"26","Braxton Miller","WR","FA","2016",11,11,"ppr","26","5","7","25","5.0","12","0","1","1","1","0","0","1","13.6","13.6","0.0%"
"27","Mike Wallace","WR","FA","2016",11,11,"ppr","27","5","10","62","12.4","27","1","0","1","13","0","0","1","12.5","12.5","0.0%"
"28","Larry Fitzgerald","WR","FA","2016",11,11,"ppr","28","6","7","63","10.5","16","0","0","0","0","0","0","1","12.3","12.3","0.1%"
"29","Brandin Cooks","WR","HOU","2016",11,11,"ppr","29","7","8","42","6.0","12","0","0","2","7","0","0","1","11.9","11.9","64.4%"
"30","Albert Wilson","WR","LV","2016",11,11,"ppr","30","4","4","19","4.8","7","0","1","0","0","0","0","1","11.9","11.9","0.0%"
"31","Jordy Nelson","WR","FA","2016",11,11,"ppr","31","3","5","28","9.3","13","0","1","0","0","0","0","1","11.8","11.8","0.1%"
"32","Michael Thomas","WR","NO","2016",11,11,"ppr","32","5","5","68","13.6","21","1","0","0","0","0","0","1","11.8","11.8","26.7%"
"33","Randall Cobb","WR","GB","2016",11,11,"ppr","33","3","5","84","28.0","47","2","0","0","0","0","0","1","11.4","11.4","5.6%"
"34","Cecil Shorts","WR","FA","2016",11,11,"ppr","34","5","7","62","12.4","19","0","0","0","0","0","0","1","11.2","11.2","0.0%"
