"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"DeAndre Hopkins","WR","HOU","16","13","8","12","12","4","bye","11","16","14","9","10","14","16","13","6","-","174","11.6"
"Antonio Brown","WR","PIT","11","11","14","9","19","10","10","10","bye","7","13","12","16","18","3","-","-","163","11.6"
"Odell Beckham Jr.","WR","NYG","-","5","13","15","8","-","-","bye","-","-","-","-","-","-","-","-","-","41","10.3"
"Larry Fitzgerald","WR","ARI","13","6","15","7","10","11","3","bye","9","14","10","8","10","7","10","15","13","161","10.1"
"Jarvis Landry","WR","MIA","bye","15","11","7","10","14","11","12","7","10","11","9","6","8","13","7","10","161","10.1"
"Keenan Allen","WR","LAC","10","10","9","11","12","9","7","5","bye","7","13","14","14","8","8","10","12","159","9.9"
"Julio Jones","WR","ATL","5","9","12","4","bye","7","13","6","12","8","10","15","6","11","8","11","11","148","9.3"
"Michael Thomas","WR","NO","8","10","8","11","bye","6","11","8","11","10","11","8","9","14","11","5","8","149","9.3"
"Mike Evans","WR","TB","bye","9","12","11","8","8","10","10","6","-","10","12","6","5","8","8","13","136","9.1"
"David Johnson","RB","ARI","9","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","9","9.0"
"A.J. Green","WR","CIN","10","8","13","7","13","bye","6","8","2","7","9","8","16","12","4","10","10","143","8.9"
"Adam Thielen","WR","MIN","10","6","8","8","8","13","12","10","bye","12","9","11","5","12","5","6","7","142","8.9"
"Davante Adams","WR","GB","7","10","6","5","11","10","5","bye","10","8","10","8","6","14","7","-","-","117","8.4"
"Josh Gordon","WR","CLE","-","-","-","-","-","-","-","-","bye","-","-","-","11","6","10","8","7","42","8.4"
"Dez Bryant","WR","DAL","9","16","2","13","8","bye","10","6","11","8","14","5","7","5","4","6","8","132","8.3"
"Travis Kelce","TE","KC","7","10","1","8","11","7","5","10","9","bye","14","4","8","13","7","8","-","122","8.1"
"Zach Ertz","TE","PHI","8","10","10","8","12","5","5","6","-","bye","5","12","4","-","9","14","2","110","7.9"
"Evan Engram","TE","NYG","5","7","7","11","4","7","12","bye","10","9","6","7","8","7","13","2","-","115","7.7"
"Emmanuel Sanders","WR","DEN","6","8","15","5","bye","8","-","-","5","11","8","6","7","4","9","-","-","92","7.7"
"Sterling Shepard","WR","NYG","8","4","10","5","2","-","-","bye","9","13","-","-","6","3","16","8","-","84","7.6"
"Rob Gronkowski","TE","NE","6","9","10","5","-","10","7","9","bye","7","3","8","11","-","13","7","0","105","7.5"
"Golden Tate","WR","DET","12","4","11","5","8","7","bye","8","9","7","4","8","10","9","5","6","7","120","7.5"
"Alshon Jeffery","WR","PHI","7","13","8","6","4","10","6","8","11","bye","7","9","6","11","10","2","2","120","7.5"
"DeVante Parker","WR","MIA","bye","9","10","8","1","-","-","-","8","9","9","3","4","6","12","10","7","96","7.4"
"Dede Westbrook","WR","JAC","-","-","-","-","-","-","-","bye","-","-","6","10","9","8","2","7","9","51","7.3"
