"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Kareem Hunt","RB","CLE","2017",1,1,"ppr","1","17","148","8.7","58","1","1","5","5","98","19.6","2","1","1","45.6","45.6","76.3%"
"2","Tarik Cohen","RB","FA","2017",1,1,"ppr","2","5","66","13.2","46","1","0","8","12","47","5.9","1","0","1","25.3","25.3","0.0%"
"3","Mike Gillislee","RB","FA","2017",1,1,"ppr","3","15","45","3.0","16","0","3","0","0","0","0","0","0","1","22.5","22.5","0.0%"
"4","Leonard Fournette","RB","TB","2017",1,1,"ppr","4","26","100","3.8","17","0","1","3","3","24","8.0","0","0","1","21.4","21.4","96.9%"
"5","LeSean McCoy","RB","FA","2017",1,1,"ppr","5","22","110","5.0","27","3","0","5","6","49","9.8","0","0","1","20.9","20.9","2.0%"
"6","Todd Gurley II","RB","FA","2017",1,1,"ppr","6","19","40","2.1","12","0","1","5","6","56","11.2","0","0","1","20.6","20.6","0.1%"
"7","Ty Montgomery","RB","NE","2017",1,1,"ppr","7","19","54","2.8","8","0","1","4","4","39","9.8","0","0","1","19.3","19.3","0.5%"
"8","Ezekiel Elliott","RB","DAL","2017",1,1,"ppr","8","24","104","4.3","10","0","0","5","5","36","7.2","0","0","1","19.0","19.0","97.0%"
"9","Melvin Gordon III","RB","KC","2017",1,1,"ppr","9","18","54","3.0","21","1","0","5","6","25","5.0","1","0","1","18.9","18.9","29.3%"
"10","Dalvin Cook","RB","MIN","2017",1,1,"ppr","10","22","127","5.8","33","2","0","3","5","10","3.3","0","0","1","16.7","16.7","100.0%"
"11","Jonathan Stewart","RB","FA","2017",1,1,"ppr","11","18","65","3.6","10","0","0","2","2","17","8.5","1","0","1","16.2","16.2","0.0%"
"12","Jordan Howard","RB","FA","2017",1,1,"ppr","12","13","52","4.0","11","0","1","3","5","14","4.7","0","0","1","15.6","15.6","0.0%"
"13","Chris Thompson","RB","FA","2017",1,1,"ppr","13","3","4","1.3","4","0","0","4","5","52","13.0","1","0","1","15.6","15.6","0.0%"
"14","Theo Riddick","RB","FA","2017",1,1,"ppr","14","1","-1","-1.0","0","0","0","6","7","27","4.5","1","0","1","14.6","14.6","0.0%"
"15","Shane Vereen","RB","FA","2017",1,1,"ppr","15","0","0","0","0","0","0","9","10","51","5.7","0","0","1","14.1","14.1","0.0%"
"16","Terrance West","RB","FA","2017",1,1,"ppr","16","19","80","4.2","11","0","1","0","1","0","0","0","0","1","14.0","14.0","0.0%"
"17","Carlos Hyde","RB","FA","2017",1,1,"ppr","17","9","45","5.0","18","0","0","6","6","32","5.3","0","0","1","13.7","13.7","0.0%"
"18","David Johnson","RB","NO","2017",1,1,"ppr","18","11","23","2.1","6","0","0","6","9","67","11.2","0","1","1","13.0","13.0","0.1%"
"19","Mike Tolbert","RB","FA","2017",1,1,"ppr","19","12","42","3.5","16","0","1","1","1","12","12.0","0","0","1","12.4","12.4","0.0%"
"20","Mark Ingram II","RB","NO","2017",1,1,"ppr","20","6","17","2.8","7","0","0","5","5","54","10.8","0","0","1","12.1","12.1","4.3%"
"21","Devonta Freeman","RB","FA","2017",1,1,"ppr","21","12","37","3.1","6","0","1","2","2","2","1.0","0","0","1","11.9","11.9","0.0%"
"22","LeGarrette Blount","RB","FA","2017",1,1,"ppr","22","14","46","3.3","7","0","0","1","1","1","1.0","1","0","1","11.7","11.7","0.1%"
"23","Lamar Miller","RB","FA","2017",1,1,"ppr","23","17","65","3.8","8","0","0","2","2","31","15.5","0","0","1","11.6","11.6","0.0%"
"24","Marlon Mack","RB","DEN","2017",1,1,"ppr","24","10","24","2.4","24","1","1","1","1","21","21.0","0","0","1","11.5","11.5","5.3%"
"25","Christian McCaffrey","RB","SF","2017",1,1,"ppr","25","13","47","3.6","11","0","0","5","7","38","7.6","0","1","1","11.5","11.5","100.0%"
"26","Isaiah Crowell","RB","FA","2017",1,1,"ppr","26","17","33","1.9","6","0","0","2","2","33","16.5","0","0","1","10.6","10.6","0.1%"
"27","Marshawn Lynch","RB","FA","2017",1,1,"ppr","27","18","76","4.2","14","0","0","1","2","16","16.0","0","0","1","10.2","10.2","0.3%"
"28","James White","RB","FA","2017",1,1,"ppr","28","10","38","3.8","10","0","0","3","5","30","10.0","0","0","1","9.8","9.8","0.1%"
"29","C.J. Anderson","RB","FA","2017",1,1,"ppr","29","20","81","4.1","18","0","0","1","3","7","7.0","0","0","1","9.8","9.8","1.0%"
"30","Tevin Coleman","RB","SF","2017",1,1,"ppr","30","8","16","2.0","7","0","0","4","6","42","10.5","0","0","1","9.8","9.8","0.6%"
"31","Charcandrick West","RB","FA","2017",1,1,"ppr","31","1","21","21.0","21","1","1","1","1","4","4.0","0","0","1","9.5","9.5","0.0%"
"32","Darren Sproles","RB","FA","2017",1,1,"ppr","32","2","2","1.0","2","0","0","5","8","43","8.6","0","0","1","9.5","9.5","0.1%"
"33","Giovani Bernard","RB","TB","2017",1,1,"ppr","33","7","40","5.7","23","1","0","1","2","39","39.0","0","0","1","8.9","8.9","0.2%"
"34","Bilal Powell","RB","FA","2017",1,1,"ppr","34","7","22","3.1","11","0","0","5","6","17","3.4","0","0","1","8.9","8.9","0.0%"
"35","Kerwynn Williams","RB","FA","2017",1,1,"ppr","35","5","10","2.0","4","0","1","1","1","2","2.0","0","0","1","8.2","8.2","0.0%"
"36","DeMarco Murray","RB","FA","2017",1,1,"ppr","36","12","44","3.7","21","1","0","2","2","16","8.0","0","0","1","8.0","8.0","0.1%"
"37","Alvin Kamara","RB","NO","2017",1,1,"ppr","37","7","18","2.6","5","0","0","4","6","20","5.0","0","0","1","7.8","7.8","99.3%"
"38","Le'Veon Bell","RB","FA","2017",1,1,"ppr","38","10","32","3.2","15","0","0","3","6","15","5.0","0","0","1","7.7","7.7","0.1%"
"39","Malcolm Brown","RB","LAR","2017",1,1,"ppr","39","7","16","2.3","5","0","1","0","0","0","0","0","0","1","7.6","7.6","0.1%"
"40","Ameer Abdullah","RB","LV","2017",1,1,"ppr","40","15","30","2.0","7","0","0","3","4","11","3.7","0","0","1","7.1","7.1","3.4%"
"41","Tommy Bohanon","RB","FA","2017",1,1,"ppr","41","1","0","0.0","0","0","0","1","1","1","1.0","1","0","1","7.1","7.1","0.0%"
"42","Javorius Allen","RB","FA","2017",1,1,"ppr","42","21","71","3.4","17","0","0","0","1","0","0","0","0","1","7.1","7.1","0.1%"
"43","Jerick McKinnon","RB","KC","2017",1,1,"ppr","43","3","5","1.7","10","0","0","3","3","32","10.7","0","0","1","6.7","6.7","68.7%"
"44","Danny Woodhead","RB","FA","2017",1,1,"ppr","44","1","4","4.0","4","0","0","3","3","33","11.0","0","0","1","6.7","6.7","20.6%"
"45","Matt Forte","RB","FA","2017",1,1,"ppr","45","6","16","2.7","8","0","0","3","5","20","6.7","0","0","1","6.6","6.6","19.1%"
"46","Tyler Ervin","RB","FA","2017",1,1,"ppr","46","3","8","2.7","6","0","0","4","5","18","4.5","0","0","1","6.6","6.6","0.0%"
"47","Chris Ivory","RB","FA","2017",1,1,"ppr","47","9","42","4.7","17","0","0","1","2","11","11.0","0","0","1","6.3","6.3","0.0%"
"48","Frank Gore","RB","FA","2017",1,1,"ppr","48","10","42","4.2","16","0","0","1","1","10","10.0","0","0","1","6.2","6.2","12.1%"
"49","Chris Carson","RB","FA","2017",1,1,"ppr","49","6","39","6.5","30","1","0","1","1","10","10.0","0","0","1","5.9","5.9","0.3%"
"50","Andre Ellington","RB","FA","2017",1,1,"ppr","50","0","0","0","0","0","0","2","3","35","17.5","0","0","1","5.5","5.5","0.1%"
