"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Los Angeles Chargers","DST","LAC","2017",12,12,"ppr",1,2,2,0,0,1,0,0,1,19,19,"30.2%"
"2","New England Patriots","DST","NE","2017",12,12,"ppr",2,7,2,1,2,0,0,0,1,17,17,"54.0%"
"3","New York Giants","DST","NYG","2017",12,12,"ppr",3,6,1,0,0,1,0,0,1,15,15,"6.2%"
"4","Washington Commanders","DST","WAS","2017",12,12,"ppr",4,4,1,0,1,0,0,0,1,13,13,"54.8%"
"5","Philadelphia Eagles","DST","PHI","2017",12,12,"ppr",5,2,2,0,1,1,0,0,1,13,13,"58.2%"
"6","Jacksonville Jaguars","DST","JAC","2017",12,12,"ppr",6,1,1,1,1,1,0,0,1,11,11,"3.8%"
"7","Tennessee Titans","DST","TEN","2017",12,12,"ppr",7,8,0,1,0,0,0,0,1,11,11,"26.3%"
"8","Carolina Panthers","DST","CAR","2017",12,12,"ppr",8,3,0,1,1,1,0,1,1,11,11,"14.1%"
"9","Arizona Cardinals","DST","ARI","2017",12,12,"ppr",9,3,1,2,2,0,0,0,1,10,10,"12.3%"
"10","Baltimore Ravens","DST","BAL","2017",12,12,"ppr",10,2,2,1,1,0,0,0,1,9,9,"89.6%"
"11","Seattle Seahawks","DST","SEA","2017",12,12,"ppr",11,3,1,0,1,0,0,0,1,9,9,"20.5%"
"12","Buffalo Bills","DST","BUF","2017",12,12,"ppr",12,2,1,0,0,0,0,0,1,8,8,"99.0%"
"13","Las Vegas Raiders","DST","LV","2017",12,12,"ppr",13,5,1,0,1,0,0,0,1,8,8,"14.2%"
"14","Miami Dolphins","DST","MIA","2017",12,12,"ppr",14,1,1,1,1,1,0,0,1,7,7,"25.9%"
"15","Minnesota Vikings","DST","MIN","2017",12,12,"ppr",15,3,1,1,1,0,0,0,1,7,7,"23.7%"
"16","New Orleans Saints","DST","NO","2017",12,12,"ppr",16,4,1,0,0,0,0,0,1,6,6,"65.3%"
"17","Green Bay Packers","DST","GB","2017",12,12,"ppr",17,1,2,1,1,0,0,0,1,6,6,"80.7%"
"18","Chicago Bears","DST","CHI","2017",12,12,"ppr",18,1,0,3,2,0,0,0,1,6,6,"2.2%"
"19","Cincinnati Bengals","DST","CIN","2017",12,12,"ppr",19,4,0,0,0,0,0,0,1,5,5,"31.6%"
"20","Indianapolis Colts","DST","IND","2017",12,12,"ppr",20,0,2,0,0,0,0,0,1,5,5,"52.4%"
"21","Los Angeles Rams","DST","LAR","2017",12,12,"ppr",21,3,0,0,1,0,0,0,1,4,4,"34.3%"
"22","Denver Broncos","DST","DEN","2017",12,12,"ppr",22,2,0,1,1,0,0,0,1,4,4,"38.8%"
"23","Detroit Lions","DST","DET","2017",12,12,"ppr",23,2,0,0,0,0,0,0,1,3,3,"2.5%"
"24","Kansas City Chiefs","DST","KC","2017",12,12,"ppr",24,2,0,0,0,0,0,0,1,3,3,"47.9%"
"25","Pittsburgh Steelers","DST","PIT","2017",12,12,"ppr",25,4,0,0,0,0,0,0,1,3,3,"53.2%"
"26","New York Jets","DST","NYJ","2017",12,12,"ppr",26,3,0,0,0,0,0,0,1,2,2,"21.1%"
"27","Atlanta Falcons","DST","ATL","2017",12,12,"ppr",27,1,0,0,0,0,0,0,1,2,2,"1.7%"
"28","San Francisco 49ers","DST","SF","2017",12,12,"ppr",28,0,1,0,0,0,0,0,1,2,2,"95.5%"
"29","Tampa Bay Buccaneers","DST","TB","2017",12,12,"ppr",29,0,0,1,1,0,0,0,1,1,1,"81.2%"
"30","Houston Texans","DST","HOU","2017",12,12,"ppr",30,1,0,0,0,0,0,0,1,1,1,"0.8%"
"31","Cleveland Browns","DST","CLE","2017",12,12,"ppr",31,1,0,0,0,0,0,0,1,0,0,"37.2%"
"32","Dallas Cowboys","DST","DAL","2017",12,12,"ppr",32,0,0,0,0,0,0,0,1,0,0,"90.0%"
