"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Kareem Hunt","RB","CLE","2018",7,7,"ppr","1","15","86","5.7","21","1","1","5","6","55","11.0","2","0","1","37.1","37.1","76.3%"
"2","Marlon Mack","RB","DEN","2018",7,7,"ppr","2","19","126","6.6","23","2","1","2","3","33","16.5","1","0","1","31.9","31.9","5.3%"
"3","Todd Gurley II","RB","FA","2018",7,7,"ppr","3","15","63","4.2","18","0","2","4","5","23","5.8","1","0","1","30.6","30.6","0.1%"
"4","James White","RB","FA","2018",7,7,"ppr","4","11","40","3.6","8","0","0","8","10","57","7.1","2","0","1","29.7","29.7","0.1%"
"5","Saquon Barkley","RB","NYG","2018",7,7,"ppr","5","14","43","3.1","15","0","1","9","10","51","5.7","0","0","1","26.4","26.4","100.0%"
"6","Latavius Murray","RB","DEN","2018",7,7,"ppr","6","15","69","4.6","38","2","2","2","2","14","7.0","0","0","1","22.3","22.3","75.6%"
"7","Tarik Cohen","RB","FA","2018",7,7,"ppr","7","6","14","2.3","5","0","0","8","13","69","8.6","1","0","1","22.3","22.3","0.0%"
"8","Dion Lewis","RB","FA","2018",7,7,"ppr","8","13","91","7.0","36","2","0","6","6","64","10.7","0","0","1","21.5","21.5","2.0%"
"9","Kerryon Johnson","RB","FA","2018",7,7,"ppr","9","19","158","8.3","71","5","0","2","3","21","10.5","0","0","1","19.9","19.9","0.0%"
"10","Kenyan Drake","RB","BAL","2018",7,7,"ppr","10","6","72","12.0","54","4","1","4","8","15","3.8","0","0","1","18.7","18.7","26.8%"
"11","T.J. Yeldon","RB","FA","2018",7,7,"ppr","11","12","28","2.3","6","0","0","5","7","40","8.0","1","0","1","17.8","17.8","0.0%"
"12","Lamar Miller","RB","FA","2018",7,7,"ppr","12","22","100","4.5","16","0","1","1","3","-1","-1.0","0","0","1","16.9","16.9","0.0%"
"13","Phillip Lindsay","RB","FA","2018",7,7,"ppr","13","14","90","6.4","28","2","1","1","1","6","6.0","0","0","1","16.6","16.6","0.4%"
"14","Tevin Coleman","RB","SF","2018",7,7,"ppr","14","11","50","4.5","30","2","1","2","2","32","16.0","0","0","1","16.2","16.2","0.6%"
"15","Kapri Bibbs","RB","FA","2018",7,7,"ppr","15","2","13","6.5","13","0","0","4","5","43","10.8","1","0","1","15.6","15.6","0.1%"
"16","Alvin Kamara","RB","NO","2018",7,7,"ppr","16","17","64","3.8","12","0","1","2","2","11","5.5","0","0","1","15.5","15.5","99.3%"
"17","Derrick Henry","RB","TEN","2018",7,7,"ppr","17","12","33","2.8","7","0","1","2","2","32","16.0","0","0","1","14.5","14.5","100.0%"
"18","Nick Chubb","RB","CLE","2018",7,7,"ppr","18","18","80","4.4","21","1","1","0","2","0","0","0","0","1","14.0","14.0","99.9%"
"19","Christian McCaffrey","RB","SF","2018",7,7,"ppr","19","7","29","4.1","15","0","0","6","6","51","8.5","0","0","1","14.0","14.0","100.0%"
"20","Chris Ivory","RB","FA","2018",7,7,"ppr","20","16","81","5.1","21","2","0","3","6","25","8.3","0","0","1","13.6","13.6","0.0%"
"21","Marcus Murphy","RB","FA","2018",7,7,"ppr","21","4","53","13.3","30","2","0","5","6","17","3.4","0","0","1","12.0","12.0","0.0%"
"22","Spencer Ware","RB","FA","2018",7,7,"ppr","22","8","59","7.4","34","2","0","3","3","30","10.0","0","0","1","11.9","11.9","0.0%"
"23","Jordan Howard","RB","FA","2018",7,7,"ppr","23","12","39","3.3","6","0","1","1","1","9","9.0","0","0","1","11.8","11.8","0.0%"
"24","Austin Ekeler","RB","LAC","2018",7,7,"ppr","24","12","42","3.5","11","0","0","5","7","26","5.2","0","0","1","11.8","11.8","100.0%"
"25","Raheem Mostert","RB","MIA","2018",7,7,"ppr","25","7","59","8.4","16","0","0","4","4","19","4.8","0","0","1","11.8","11.8","81.2%"
"26","Adrian Peterson","RB","FA","2018",7,7,"ppr","26","24","99","4.1","23","2","0","1","2","8","8.0","0","0","1","11.7","11.7","2.1%"
"27","Trenton Cannon","RB","TEN","2018",7,7,"ppr","27","2","4","2.0","6","0","0","4","5","69","17.3","0","0","1","11.3","11.3","0.0%"
"28","LeGarrette Blount","RB","FA","2018",7,7,"ppr","28","10","50","5.0","13","0","1","0","0","0","0","0","0","1","11.0","11.0","0.1%"
"29","David Johnson","RB","NO","2018",7,7,"ppr","29","14","39","2.8","10","0","0","3","3","31","10.3","0","0","1","10.0","10.0","0.1%"
"30","Ronald Jones II","RB","KC","2018",7,7,"ppr","30","6","13","2.2","9","0","1","1","1","15","15.0","0","0","1","9.8","9.8","2.5%"
"31","Royce Freeman","RB","HOU","2018",7,7,"ppr","31","13","37","2.8","9","0","1","0","0","0","0","0","0","1","9.7","9.7","0.0%"
"32","Joe Mixon","RB","CIN","2018",7,7,"ppr","32","13","50","3.8","20","1","0","3","5","1","0.3","0","0","1","8.1","8.1","99.9%"
"33","Malcolm Brown","RB","LAR","2018",7,7,"ppr","33","13","65","5.0","10","0","0","1","1","6","6.0","0","0","1","8.1","8.1","0.1%"
"34","Alex Collins","RB","FA","2018",7,7,"ppr","34","11","38","3.5","9","0","0","3","4","10","3.3","0","0","1","7.8","7.8","19.0%"
"35","Ito Smith","RB","FA","2018",7,7,"ppr","35","7","16","2.3","6","0","0","2","2","29","14.5","0","0","1","6.5","6.5","0.0%"
"36","Jordan Wilkins","RB","IND","2018",7,7,"ppr","36","6","46","7.7","18","0","0","1","1","8","8.0","0","0","1","6.4","6.4","0.0%"
"37","Mark Ingram II","RB","NO","2018",7,7,"ppr","37","12","32","2.7","8","0","0","2","2","10","5.0","0","0","1","6.2","6.2","4.3%"
"38","Ezekiel Elliott","RB","DAL","2018",7,7,"ppr","38","15","33","2.2","6","0","0","2","6","9","4.5","0","0","1","6.2","6.2","97.0%"
"39","Isaiah Crowell","RB","FA","2018",7,7,"ppr","39","11","29","2.6","10","0","0","1","3","21","21.0","0","0","1","6.0","6.0","0.1%"
"40","Duke Johnson Jr.","RB","BUF","2018",7,7,"ppr","40","1","-4","-4.0","0","0","0","4","4","23","5.8","0","0","1","5.9","5.9","0.0%"
"41","Wendell Smallwood","RB","FA","2018",7,7,"ppr","41","9","32","3.6","10","0","0","2","2","5","2.5","0","0","1","5.7","5.7","0.0%"
"42","Javorius Allen","RB","FA","2018",7,7,"ppr","42","3","3","1.0","2","0","0","3","3","21","7.0","0","0","1","5.4","5.4","0.1%"
"43","Nyheim Hines","RB","BUF","2018",7,7,"ppr","43","5","47","9.4","18","0","0","1","2","-5","-5.0","0","0","1","5.2","5.2","29.1%"
"44","Chase Edmonds","RB","DEN","2018",7,7,"ppr","44","5","9","1.8","6","0","0","3","3","12","4.0","0","0","1","5.1","5.1","23.9%"
"45","Frank Gore","RB","FA","2018",7,7,"ppr","45","10","29","2.9","6","0","0","1","1","4","4.0","0","0","1","4.3","4.3","12.1%"
"46","Corey Clement","RB","ARI","2018",7,7,"ppr","46","8","6","0.8","4","0","0","2","2","16","8.0","0","0","1","4.2","4.2","0.0%"
"47","Kenjon Barner","RB","FA","2018",7,7,"ppr","47","10","36","3.6","7","0","0","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"48","Bilal Powell","RB","FA","2018",7,7,"ppr","48","5","20","4.0","11","0","0","1","1","5","5.0","0","0","1","3.5","3.5","0.0%"
"49","Kyle Juszczyk","RB","SF","2018",7,7,"ppr","49","1","-5","-5.0","0","0","0","2","3","18","9.0","0","0","1","3.3","3.3","0.4%"
"50","Peyton Barber","RB","FA","2018",7,7,"ppr","50","11","30","2.7","12","0","0","0","2","0","0","0","0","1","3.0","3.0","1.0%"
"51","Jacquizz Rodgers","RB","FA","2018",7,7,"ppr","51","3","8","2.7","3","0","0","1","1","11","11.0","0","0","1","2.9","2.9","0.0%"
"52","Tyler Ervin","RB","FA","2018",7,7,"ppr","52","0","0","0","0","0","0","1","1","19","19.0","0","0","1","2.9","2.9","0.0%"
"53","Alfred Blue","RB","FA","2018",7,7,"ppr","53","8","28","3.5","7","0","0","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"54","Ricky Ortiz","RB","FA","2018",7,7,"ppr","54","0","0","0","0","0","0","2","2","7","3.5","0","0","1","2.7","2.7","0.0%"
"55","Alfred Morris","RB","FA","2018",7,7,"ppr","55","9","25","2.8","6","0","0","0","1","0","0","0","0","1","2.5","2.5","0.0%"
"56","Sony Michel","RB","LAC","2018",7,7,"ppr","56","4","22","5.5","18","0","0","1","1","13","13.0","0","1","1","2.5","2.5","2.2%"
"57","Justin Jackson","RB","DET","2018",7,7,"ppr","57","2","3","1.5","2","0","0","1","1","11","11.0","0","0","1","2.4","2.4","1.1%"
"58","Ameer Abdullah","RB","LV","2018",7,7,"ppr","58","1","1","1.0","1","0","0","1","1","12","12.0","0","0","1","2.3","2.3","3.4%"
"59","Roc Thomas","RB","FA","2018",7,7,"ppr","59","1","23","23.0","23","1","0","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"60","Josh Adams","RB","FA","2018",7,7,"ppr","60","4","17","4.3","9","0","0","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"61","Tommy Bohanon","RB","FA","2018",7,7,"ppr","61","0","0","0","0","0","0","1","1","5","5.0","0","0","1","1.5","1.5","0.0%"
"62","Jamaal Charles","RB","FA","2018",7,7,"ppr","62","1","2","2.0","2","0","0","1","1","2","2.0","0","0","1","1.4","1.4","0.1%"
"63","Mark Walton","RB","FA","2018",7,7,"ppr","63","4","10","2.5","3","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0%"
"64","Devontae Booker","RB","FA","2018",7,7,"ppr","64","0","0","0","0","0","0","1","1","-1","-1.0","0","0","1","0.9","0.9","0.0%"
"65","Mike Boone","RB","DEN","2018",7,7,"ppr","65","4","4","1.0","9","0","0","0","1","0","0","0","0","1","0.4","0.4","5.3%"
"66","Elijhaa Penny","RB","FA","2018",7,7,"ppr","66","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"67","David Fluellen","RB","FA","2018",7,7,"ppr","67","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"68","Samaje Perine","RB","CIN","2018",7,7,"ppr","68","2","2","1.0","7","0","0","0","0","0","0","0","0","1","0.2","0.2","59.4%"
"69","David Williams","RB","FA","2018",7,7,"ppr","69","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"70","LeSean McCoy","RB","FA","2018",7,7,"ppr","70","2","1","0.5","1","0","0","0","0","0","0","0","0","1","0.1","0.1","2.0%"
"71","Dontrell Hilliard","RB","TEN","2018",7,7,"ppr","71","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.0%"
"72","Nick Bellore","RB","SEA","2018",7,7,"ppr","72","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"73","Anthony Sherman","RB","FA","2018",7,7,"ppr","73","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Cordarrelle Patterson","RB","ATL","2018",7,7,"ppr","74","1","4","4.0","4","0","0","0","0","0","0","0","1","1","0.0","0.0","85.6%"
"75","Jamize Olawale","RB","FA","2018",7,7,"ppr","75","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Brandon Bolden","RB","LV","2018",7,7,"ppr","76","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"77","C.J. Ham","RB","MIN","2018",7,7,"ppr","77","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"78","Wayne Gallman Jr.","RB","SEA","2018",7,7,"ppr","78","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"79","Dwayne Washington","RB","NO","2018",7,7,"ppr","79","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"80","Derek Watt","RB","PIT","2018",7,7,"ppr","80","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"81","Andy Janovich","RB","FA","2018",7,7,"ppr","81","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Kalen Ballage","RB","FA","2018",7,7,"ppr","82","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Patrick Ricard","RB","BAL","2018",7,7,"ppr","83","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"84","Detrez Newsome","RB","FA","2018",7,7,"ppr","84","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Gus Edwards","RB","BAL","2018",7,7,"ppr","85","2","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","39.7%"
"86","Buddy Howell","RB","FA","2018",7,7,"ppr","86","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Alex Armah Jr.","RB","WAS","2018",7,7,"ppr","87","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Damien Williams","RB","FA","2018",7,7,"ppr","88","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"89","Ryan Hewitt","RB","FA","2018",7,7,"ppr","89","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
