"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Chicago Bears","DST","CHI","2019",3,3,"ppr",1,4,3,2,3,1,0,0,1,21,21,"2.2%"
"2","New York Jets","DST","NYJ","2019",3,3,"ppr",2,1,1,1,0,2,0,0,1,16,16,"21.1%"
"3","Jacksonville Jaguars","DST","JAC","2019",3,3,"ppr",3,9,0,1,2,0,0,0,1,15,15,"3.8%"
"4","New Orleans Saints","DST","NO","2019",3,3,"ppr",4,0,0,1,1,1,0,1,1,14,14,"65.3%"
"5","New England Patriots","DST","NE","2019",3,3,"ppr",5,5,1,0,0,0,0,0,1,14,14,"54.0%"
"6","Detroit Lions","DST","DET","2019",3,3,"ppr",6,3,0,2,2,0,0,1,1,13,13,"2.5%"
"7","Green Bay Packers","DST","GB","2019",3,3,"ppr",7,6,1,2,1,0,0,0,1,13,13,"80.7%"
"8","Carolina Panthers","DST","CAR","2019",3,3,"ppr",8,8,2,0,0,0,0,0,1,13,13,"14.1%"
"9","Dallas Cowboys","DST","DAL","2019",3,3,"ppr",9,3,0,1,1,0,0,0,1,12,12,"90.0%"
"10","Pittsburgh Steelers","DST","PIT","2019",3,3,"ppr",10,1,2,3,1,0,0,0,1,11,11,"53.2%"
"11","Buffalo Bills","DST","BUF","2019",3,3,"ppr",11,2,2,2,2,0,0,0,1,11,11,"99.0%"
"12","Cleveland Browns","DST","CLE","2019",3,3,"ppr",12,2,2,1,1,0,0,0,1,9,9,"37.2%"
"13","Los Angeles Rams","DST","LAR","2019",3,3,"ppr",13,3,1,0,1,0,0,0,1,9,9,"34.3%"
"14","Houston Texans","DST","HOU","2019",3,3,"ppr",14,5,0,1,1,0,0,0,1,8,8,"0.8%"
"15","Tampa Bay Buccaneers","DST","TB","2019",3,3,"ppr",15,5,0,2,2,0,0,0,1,8,8,"81.2%"
"16","San Francisco 49ers","DST","SF","2019",3,3,"ppr",16,2,1,1,2,0,0,0,1,7,7,"95.5%"
"17","Minnesota Vikings","DST","MIN","2019",3,3,"ppr",17,4,1,0,0,0,0,0,1,7,7,"23.7%"
"18","New York Giants","DST","NYG","2019",3,3,"ppr",18,4,1,0,0,0,0,0,1,7,7,"6.2%"
"19","Cincinnati Bengals","DST","CIN","2019",3,3,"ppr",19,1,1,1,2,0,0,0,1,5,5,"31.6%"
"20","Washington Commanders","DST","WAS","2019",3,3,"ppr",20,3,1,0,0,0,0,0,1,5,5,"54.8%"
"21","Los Angeles Chargers","DST","LAC","2019",3,3,"ppr",21,2,0,1,0,0,0,0,1,4,4,"30.2%"
"22","Seattle Seahawks","DST","SEA","2019",3,3,"ppr",22,0,0,1,0,0,0,0,1,2,2,"20.5%"
"23","Miami Dolphins","DST","MIA","2019",3,3,"ppr",23,1,1,0,0,0,0,0,1,2,2,"25.9%"
"24","Philadelphia Eagles","DST","PHI","2019",3,3,"ppr",24,0,0,0,0,0,0,0,1,2,2,"58.2%"
"25","Kansas City Chiefs","DST","KC","2019",3,3,"ppr",25,3,0,0,0,0,0,0,1,2,2,"47.9%"
"26","Indianapolis Colts","DST","IND","2019",3,3,"ppr",26,0,1,0,0,0,0,0,1,2,2,"52.4%"
"27","Atlanta Falcons","DST","ATL","2019",3,3,"ppr",27,1,0,0,0,0,0,0,1,1,1,"1.7%"
"28","Tennessee Titans","DST","TEN","2019",3,3,"ppr",28,0,0,0,0,0,0,0,1,1,1,"26.3%"
"29","Denver Broncos","DST","DEN","2019",3,3,"ppr",29,0,0,0,0,0,0,0,1,0,0,"38.8%"
"30","Baltimore Ravens","DST","BAL","2019",3,3,"ppr",30,1,0,0,2,0,0,0,1,0,0,"89.6%"
"31","Arizona Cardinals","DST","ARI","2019",3,3,"ppr",31,2,0,1,2,0,0,0,1,0,0,"12.3%"
"32","Las Vegas Raiders","DST","LV","2019",3,3,"ppr",32,0,0,0,0,0,0,0,1,-1,-1,"14.2%"
