"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Denver Broncos","DST","DEN","2016",13,13,"ppr",1,1,2,1,1,1,0,0,1,17,17,"38.8%"
"2","Baltimore Ravens","DST","BAL","2016",13,13,"ppr",2,2,3,0,0,0,0,0,1,15,15,"89.6%"
"3","Chicago Bears","DST","CHI","2016",13,13,"ppr",3,6,0,0,1,0,1,0,1,15,15,"2.2%"
"4","Tampa Bay Buccaneers","DST","TB","2016",13,13,"ppr",4,2,2,0,0,1,0,0,1,12,12,"81.2%"
"5","New England Patriots","DST","NE","2016",13,13,"ppr",5,4,2,0,0,0,0,0,1,12,12,"54.0%"
"6","Indianapolis Colts","DST","IND","2016",13,13,"ppr",6,1,3,0,0,0,0,0,1,11,11,"52.4%"
"7","Kansas City Chiefs","DST","KC","2016",13,13,"ppr",7,2,1,0,0,1,0,0,1,11,11,"47.9%"
"8","Detroit Lions","DST","DET","2016",13,13,"ppr",8,1,3,0,0,0,0,0,1,11,11,"2.5%"
"9","Pittsburgh Steelers","DST","PIT","2016",13,13,"ppr",9,2,2,0,0,0,1,0,1,9,9,"53.2%"
"10","Las Vegas Raiders","DST","LV","2016",13,13,"ppr",10,4,1,1,1,0,0,0,1,8,8,"14.2%"
"11","Minnesota Vikings","DST","MIN","2016",13,13,"ppr",11,3,0,2,3,0,0,0,1,8,8,"23.7%"
"12","Green Bay Packers","DST","GB","2016",13,13,"ppr",12,2,0,1,1,0,0,0,1,8,8,"80.7%"
"13","Cincinnati Bengals","DST","CIN","2016",13,13,"ppr",13,1,3,0,0,0,0,0,1,8,8,"31.6%"
"14","Seattle Seahawks","DST","SEA","2016",13,13,"ppr",14,0,1,1,1,0,0,0,1,8,8,"20.5%"
"15","Dallas Cowboys","DST","DAL","2016",13,13,"ppr",15,3,0,1,0,0,0,0,1,6,6,"90.0%"
"16","New York Giants","DST","NYG","2016",13,13,"ppr",16,2,1,1,1,0,0,0,1,6,6,"6.2%"
"17","Arizona Cardinals","DST","ARI","2016",13,13,"ppr",17,2,1,1,1,0,0,0,1,6,6,"12.3%"
"18","Atlanta Falcons","DST","ATL","2016",13,13,"ppr",18,1,0,1,1,0,0,0,1,4,4,"1.7%"
"19","Houston Texans","DST","HOU","2016",13,13,"ppr",19,1,0,1,0,0,0,0,1,3,3,"0.8%"
"20","Philadelphia Eagles","DST","PHI","2016",13,13,"ppr",20,0,0,2,2,0,0,0,1,3,3,"58.2%"
"21","Jacksonville Jaguars","DST","JAC","2016",13,13,"ppr",21,2,0,0,0,0,0,0,1,3,3,"3.8%"
"22","Los Angeles Chargers","DST","LAC","2016",13,13,"ppr",22,1,1,0,0,0,0,0,1,3,3,"30.2%"
"23","San Francisco 49ers","DST","SF","2016",13,13,"ppr",23,1,0,1,0,0,0,0,1,3,3,"95.5%"
"24","Washington Commanders","DST","WAS","2016",13,13,"ppr",24,2,0,0,1,0,0,0,1,1,1,"54.8%"
"25","New Orleans Saints","DST","NO","2016",13,13,"ppr",25,2,0,0,0,0,0,0,1,1,1,"65.3%"
"26","Carolina Panthers","DST","CAR","2016",13,13,"ppr",26,3,1,0,1,0,0,0,1,1,1,"14.1%"
"27","Los Angeles Rams","DST","LAR","2016",13,13,"ppr",27,0,0,0,0,0,0,0,1,0,0,"34.3%"
"28","Miami Dolphins","DST","MIA","2016",13,13,"ppr",28,0,1,1,1,0,0,0,1,0,0,"25.9%"
"29","New York Jets","DST","NYJ","2016",13,13,"ppr",29,1,0,0,1,0,0,0,1,-3,-3,"21.1%"
"30","Buffalo Bills","DST","BUF","2016",13,13,"ppr",30,0,0,0,0,0,0,0,1,-4,-4,"99.0%"
