"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Ka'imi Fairbairn","K","HOU","2020",17,17,"ppr",1,4,4,100,51,0,2,0,1,1,2,3,1,17,17,"2.0%"
"2","Greg Zuerlein","K","NYJ","2020",17,17,"ppr",2,4,4,100,57,0,0,2,1,1,1,1,1,16,16,"15.9%"
"3","Ryan Succop","K","TB","2020",17,17,"ppr",3,3,3,100,38,0,2,1,0,0,5,5,1,14,14,"34.3%"
"4","Sam Sloman","K","FA","2020",17,17,"ppr",4,2,2,100,47,0,0,1,1,0,5,5,1,12,12,"0.0%"
"5","Tristan Vizcaino","K","NE","2020",17,17,"ppr",5,3,3,100,47,0,0,2,1,0,2,2,1,12,12,"0.1%"
"6","Matthew Wright","K","FA","2020",17,17,"ppr",6,3,3,100,46,0,1,0,2,0,1,1,1,12,12,"4.7%"
"7","Brandon McManus","K","DEN","2020",17,17,"ppr",7,3,6,50,37,0,2,1,0,0,2,2,1,11,11,"36.0%"
"8","Cairo Santos","K","CHI","2020",17,17,"ppr",8,3,3,100,30,0,2,1,0,0,1,1,1,10,10,"13.3%"
"9","Matt Gay","K","LAR","2020",17,17,"ppr",9,3,3,100,34,0,2,1,0,0,1,1,1,10,10,"41.5%"
"10","Dustin Hopkins","K","LAC","2020",17,17,"ppr",10,2,2,100,42,0,0,0,2,0,2,2,1,10,10,"2.7%"
"11","Wil Lutz","K","NO","2020",17,17,"ppr",11,2,2,100,48,0,0,1,1,0,3,4,1,10,10,"8.0%"
"12","Jason Sanders","K","MIA","2020",17,17,"ppr",12,2,2,100,49,0,0,1,1,0,2,2,1,9,9,"13.2%"
"13","Younghoe Koo","K","ATL","2020",17,17,"ppr",13,2,2,100,22,0,2,0,0,0,3,3,1,9,9,"46.2%"
"14","Justin Tucker","K","BAL","2020",17,17,"ppr",14,1,1,100,34,0,0,1,0,0,5,5,1,8,8,"99.0%"
"15","Jason Myers","K","SEA","2020",17,17,"ppr",15,2,2,100,36,0,0,2,0,0,2,3,1,8,8,"55.6%"
"16","Rodrigo Blankenship","K","FA","2020",17,17,"ppr",16,2,4,50,24,0,2,0,0,0,2,2,1,8,8,"0.7%"
"17","Tyler Bass","K","BUF","2020",17,17,"ppr",17,0,0,0,0,0,0,0,0,0,8,8,1,8,8,"94.4%"
"18","Dan Bailey","K","FA","2020",17,17,"ppr",18,1,2,50,23,0,1,0,0,0,4,5,1,7,7,"0.0%"
"19","Matt Prater","K","ARI","2020",17,17,"ppr",19,1,1,100,54,0,0,0,0,1,2,3,1,7,7,"14.9%"
"20","Graham Gano","K","NYG","2020",17,17,"ppr",20,1,1,100,50,0,0,0,0,1,2,3,1,7,7,"61.0%"
"21","Daniel Carlson","K","LV","2020",17,17,"ppr",21,1,1,100,33,0,0,1,0,0,3,3,1,6,6,"96.6%"
"22","Cody Parkey","K","FA","2020",17,17,"ppr",22,1,1,100,23,0,1,0,0,0,3,3,1,6,6,"0.0%"
"23","Mason Crosby","K","GB","2020",17,17,"ppr",23,0,0,0,0,0,0,0,0,0,5,5,1,5,5,"3.2%"
"24","Michael Badgley","K","DET","2020",17,17,"ppr",24,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"27.0%"
"25","Nick Folk","K","NE","2020",17,17,"ppr",25,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"75.5%"
"26","Harrison Butker","K","KC","2020",17,17,"ppr",26,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"91.8%"
"27","Austin Seibert","K","FA","2020",17,17,"ppr",27,1,1,100,38,0,0,1,0,0,0,0,1,3,3,"0.3%"
"28","Jake Elliott","K","PHI","2020",17,17,"ppr",28,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"27.9%"
"29","Aldrick Rosas","K","FA","2020",17,17,"ppr",29,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"30","Chase McLaughlin","K","IND","2020",17,17,"ppr",30,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"4.0%"
"31","Joey Slye","K","WAS","2020",17,17,"ppr",31,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"2.0%"
"32","Mike Nugent","K","FA","2020",17,17,"ppr",32,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"1.0%"
"33","Ty Long","K","FA","2020",17,17,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.7%"
