"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Hunter Henry","TE","NE","2019",6,6,"ppr","1","8","9","100","12.5","21","1","2","0","0","0","0","1","30.0","30.0","38.7%"
"2","Austin Hooper","TE","TEN","2019",6,6,"ppr","2","8","8","117","14.6","30","3","1","0","0","0","0","1","25.7","25.7","13.8%"
"3","George Kittle","TE","SF","2019",6,6,"ppr","3","8","8","103","12.9","45","3","0","0","0","0","0","1","18.3","18.3","98.9%"
"4","Mark Andrews","TE","BAL","2019",6,6,"ppr","4","6","8","99","16.5","39","3","0","0","0","0","1","1","13.9","13.9","99.9%"
"5","Ricky Seals-Jones","TE","FA","2019",6,6,"ppr","5","3","6","47","15.7","31","2","1","0","0","0","0","1","13.7","13.7","0.0%"
"6","Darren Fells","TE","FA","2019",6,6,"ppr","6","6","7","69","11.5","18","0","0","0","0","0","0","1","12.9","12.9","0.0%"
"7","Jared Cook","TE","FA","2019",6,6,"ppr","7","3","3","37","12.3","20","1","1","0","0","0","0","1","12.7","12.7","0.0%"
"8","Cameron Brate","TE","TB","2019",6,6,"ppr","8","2","4","47","23.5","37","2","1","0","0","0","0","1","12.7","12.7","1.6%"
"9","Maxx Williams","TE","ARI","2019",6,6,"ppr","9","3","3","34","11.3","20","1","1","0","0","0","0","1","12.4","12.4","0.0%"
"10","Ryan Griffin","TE","CHI","2019",6,6,"ppr","10","3","3","28","9.3","12","0","1","0","0","0","0","1","11.8","11.8","0.0%"
"11","Jason Witten","TE","FA","2019",6,6,"ppr","11","5","7","57","11.4","20","1","0","0","0","0","0","1","10.7","10.7","0.0%"
"12","Travis Kelce","TE","KC","2019",6,6,"ppr","12","4","6","58","14.5","18","0","0","0","0","0","0","1","9.8","9.8","100.0%"
"13","Dallas Goedert","TE","PHI","2019",6,6,"ppr","13","5","8","48","9.6","13","0","0","0","0","0","0","1","9.8","9.8","88.2%"
"14","Greg Olsen","TE","FA","2019",6,6,"ppr","14","4","7","52","13.0","18","0","0","0","0","0","0","1","9.2","9.2","7.0%"
"15","Mike Gesicki","TE","MIA","2019",6,6,"ppr","15","3","7","51","17.0","30","2","0","0","0","0","0","1","8.1","8.1","37.4%"
"16","Zach Ertz","TE","ARI","2019",6,6,"ppr","16","4","9","54","13.5","20","1","0","0","0","0","1","1","7.4","7.4","32.6%"
"17","Delanie Walker","TE","FA","2019",6,6,"ppr","17","3","6","43","14.3","18","0","0","0","0","0","0","1","7.3","7.3","0.1%"
"18","Marcedes Lewis","TE","GB","2019",6,6,"ppr","18","2","2","50","25.0","25","2","0","0","0","0","0","1","7.0","7.0","0.1%"
"19","Jordan Akins","TE","HOU","2019",6,6,"ppr","19","3","3","39","13.0","23","1","0","0","0","0","0","1","6.9","6.9","0.8%"
"20","Kyle Rudolph","TE","TB","2019",6,6,"ppr","20","3","3","36","12.0","18","0","0","0","0","0","0","1","6.6","6.6","0.6%"
"21","T.J. Hockenson","TE","MIN","2019",6,6,"ppr","21","4","6","21","5.3","7","0","0","0","0","0","0","1","6.1","6.1","98.5%"
"22","Rhett Ellison","TE","FA","2019",6,6,"ppr","22","3","7","30","10.0","18","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"23","Tyler Higbee","TE","LAR","2019",6,6,"ppr","23","3","3","25","8.3","9","0","0","0","0","0","0","1","5.5","5.5","71.9%"
"24","O.J. Howard","TE","HOU","2019",6,6,"ppr","24","2","4","35","17.5","30","2","0","0","0","0","0","1","5.5","5.5","0.3%"
"25","Ryan Izzo","TE","FA","2019",6,6,"ppr","25","2","4","31","15.5","20","1","0","0","0","0","0","1","5.1","5.1","0.0%"
"26","Irv Smith Jr.","TE","MIN","2019",6,6,"ppr","26","2","2","29","14.5","29","1","0","0","0","0","0","1","4.9","4.9","13.5%"
"27","C.J. Uzomah","TE","NYJ","2019",6,6,"ppr","27","2","3","26","13.0","22","1","0","0","0","0","0","1","4.6","4.6","0.3%"
"28","Jeremy Sprinkle","TE","FA","2019",6,6,"ppr","28","2","3","24","12.0","19","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"29","Nick Boyle","TE","BAL","2019",6,6,"ppr","29","2","4","18","9.0","9","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"30","Jimmy Graham","TE","FA","2019",6,6,"ppr","30","2","5","17","8.5","9","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"31","Luke Willson","TE","FA","2019",6,6,"ppr","31","2","3","16","8.0","11","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"32","Noah Fant","TE","SEA","2019",6,6,"ppr","32","2","3","16","8.0","11","0","0","0","0","0","0","1","3.6","3.6","30.3%"
"33","Anthony Firkser","TE","ATL","2019",6,6,"ppr","33","1","1","25","25.0","25","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"34","Tyler Eifert","TE","FA","2019",6,6,"ppr","34","2","2","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"35","Jaeden Graham","TE","PHI","2019",6,6,"ppr","35","1","1","21","21.0","21","1","0","0","0","0","0","1","3.1","3.1","0.0%"
"36","Gerald Everett","TE","LAC","2019",6,6,"ppr","36","2","5","9","4.5","12","0","0","0","0","0","0","1","2.9","2.9","84.7%"
"37","Charles Clay","TE","FA","2019",6,6,"ppr","37","2","2","8","4.0","6","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"38","Blake Jarwin","TE","FA","2019",6,6,"ppr","38","2","4","6","3.0","5","0","0","0","0","0","0","1","2.6","2.6","4.0%"
"39","Seth DeValve","TE","FA","2019",6,6,"ppr","39","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"40","Virgil Green","TE","FA","2019",6,6,"ppr","40","1","2","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"41","Demetrius Harris","TE","FA","2019",6,6,"ppr","41","0","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"42","Pharaoh Brown","TE","CLE","2019",6,6,"ppr","42","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"43","Levine Toilolo","TE","FA","2019",6,6,"ppr","43","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"44","Jesse James","TE","CLE","2019",6,6,"ppr","44","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"45","Jonnu Smith","TE","NE","2019",6,6,"ppr","45","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","1.1%"
"46","Josh Hill","TE","FA","2019",6,6,"ppr","46","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"47","Dalton Schultz","TE","DAL","2019",6,6,"ppr","47","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","96.1%"
"48","Vance McDonald","TE","FA","2019",6,6,"ppr","48","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"49","Geoff Swaim","TE","TEN","2019",6,6,"ppr","49","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"50","Nick Vannett","TE","NYG","2019",6,6,"ppr","50","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"51","Hayden Hurst","TE","CIN","2019",6,6,"ppr","51","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","38.8%"
"52","Nick O'Leary","TE","FA","2019",6,6,"ppr","52","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"53","Luke Stocker","TE","FA","2019",6,6,"ppr","53","1","1","0","0.0","0","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"54","Drew Sample","TE","CIN","2019",6,6,"ppr","54","1","1","-1","-1.0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"55","Will Dissly","TE","SEA","2019",6,6,"ppr","55","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.3%"
"56","Garrett Dickerson","TE","FA","2019",6,6,"ppr","56","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","J.J. Arcega-Whiteside","TE","FA","2019",6,6,"ppr","57","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
